file,config,verification_result,ranking_functions,invariants,nontermination,total_time,analysis_time,cpu_time,used_heap,termination_config,analysis_name,output_dir,relative_path
23.c,lasso,UNKNOWN,,,Non-termination arguments:,0.884s,0.134s,2.820s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/23.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/23.c
24.c,lasso,UNKNOWN,,,Non-termination arguments:,0.974s,0.234s,3.110s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/24.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/24.c
3.c,lasso,UNKNOWN,,,Non-termination arguments:,1.014s,0.222s,3.230s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/3.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/3.c
4NestedWith3Variables_true-termination.c,lasso,UNKNOWN,,,Non-termination arguments:,1.553s,0.808s,3.820s,263MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/4NestedWith3Variables_true-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C_Integer/Stroeder_15/4NestedWith3Variables_true-termination.c
5.c,lasso,UNKNOWN,,,Non-termination arguments:,0.956s,0.204s,3.020s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/5.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/5.c
8.c,lasso,UNKNOWN,,,Non-termination arguments:,0.953s,0.216s,3.030s,273MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/8.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/8.c
9.c,lasso,UNKNOWN,,,Non-termination arguments:,0.973s,0.225s,3.140s,263MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/9.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/arrays/dillig/safe/9.c
Ackermann01-2.c,lasso,UNKNOWN,,,Non-termination arguments:,0.799s,0.039s,2.630s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Ackermann01-2.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Ackermann01-2.c
Ackermann03.c,lasso,UNKNOWN,,,Non-termination arguments:,0.808s,0.040s,2.680s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Ackermann03.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Ackermann03.c
Ackermann04.c,lasso,UNKNOWN,,,Non-termination arguments:,0.782s,0.041s,2.530s,273MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Ackermann04.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Ackermann04.c
Adding_Subtracting_Zero_1_T.c,lasso,UNKNOWN,,,Non-termination arguments:,1.055s,0.302s,3.520s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Adding_Subtracting_Zero_1_T.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Adding_Subtracting_Zero_1_T.c
Addition01-2.c,lasso,UNKNOWN,,,Non-termination arguments:,0.789s,0.039s,2.570s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Addition01-2.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Addition01-2.c
Addition03-1.c,lasso,UNKNOWN,,,Non-termination arguments:,0.773s,0.036s,2.560s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Addition03-1.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Addition03-1.c
AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c,lasso,UNKNOWN,"Ranking function f(main::y, main::n) = 3*main::y + 1*main::n; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y) = -3*main::y + 4; Ranking function f(main::x) = 1*main::x; Ranking function f(main::__CPAchecker_TMP_4, main::y) = 3*main::__CPAchecker_TMP_4 - 2*main::y","Supporting invariants [1*main::n - 1*main::b >= 0]; Supporting invariants []; Supporting invariants [-1*main::n + 1*main::b >= 0]; Supporting invariants []; Supporting invariants [1*main::__CPAchecker_TMP_4 - 1*main::n >= 0, 1*main::n > 0]",Non-termination arguments:,293.267s,292.514s,300.040s,587MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c
ChenFlurMukhopadhyay-SAS2012-Ex1.01_true-termination.c,lasso,UNKNOWN,,,Non-termination arguments:,1.052s,0.282s,3.440s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex1.01_true-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.01_true-termination.c
ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c,lasso,UNKNOWN,"Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 1; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.604s,0.853s,4.830s,462MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c,lasso,UNKNOWN,,,Non-termination arguments:,1.092s,0.332s,3.610s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c
ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c,lasso,UNKNOWN,"Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 1; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -3*main::y + 3*main::__CPAchecker_TMP_0 + 2",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.435s,0.693s,4.670s,329MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c
ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c,lasso,UNKNOWN,,,Non-termination arguments:,1.114s,0.352s,3.940s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c
ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c,lasso,UNKNOWN,"Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 1; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 1*main::y - 1*main::__CPAchecker_TMP_0 + 1; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 4*main::y - 4*main::__CPAchecker_TMP_0 + 1; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 2*main::y - 2*main::__CPAchecker_TMP_0 + 3; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 3*main::y - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::y, main::__CPAchecker_TMP_0) = 1*main::y - 1*main::__CPAchecker_TMP_0 + 1",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.944s,1.194s,5.630s,510MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c
ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c,lasso,UNKNOWN,"Ranking function f(main::z, main::__CPAchecker_TMP_0) = 1*main::z - 1*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::z, main::__CPAchecker_TMP_0) = 1*main::z - 1*main::__CPAchecker_TMP_0 + 1; Ranking function f(main::z, main::__CPAchecker_TMP_0) = 3*main::z - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::z, main::__CPAchecker_TMP_0) = 3*main::z - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::z, main::__CPAchecker_TMP_0) = 3*main::z - 3*main::__CPAchecker_TMP_0 + 2; Ranking function f(main::z, main::__CPAchecker_TMP_0) = 1*main::z - 1*main::__CPAchecker_TMP_0 + 1",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.600s,0.849s,5.070s,394MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c
ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c,lasso,UNKNOWN,"Ranking function f(main::y, main::__CPAchecker_TMP_0) = -5*main::y + 5*main::__CPAchecker_TMP_0 + 4; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -5*main::y + 5*main::__CPAchecker_TMP_0 + 4; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -5*main::y + 5*main::__CPAchecker_TMP_0 + 4; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -5*main::y + 5*main::__CPAchecker_TMP_0 + 4",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.600s,0.842s,4.810s,338MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c
ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c,lasso,UNKNOWN,"Ranking function f(main::y, main::__CPAchecker_TMP_0) = -5*main::y + 5*main::__CPAchecker_TMP_0 + 4; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -5*main::y + 5*main::__CPAchecker_TMP_0 + 4; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -5*main::y + 5*main::__CPAchecker_TMP_0 + 4; Ranking function f(main::y, main::__CPAchecker_TMP_0) = -5*main::y + 5*main::__CPAchecker_TMP_0 + 4",Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,1.469s,0.718s,4.940s,336MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c
ChooseLife.c,lasso,UNKNOWN,,,Non-termination arguments:,1.208s,0.477s,3.860s,257MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChooseLife.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C_Integer/Stroeder_15/ChooseLife.c
Collatz_unknown-termination.c,lasso,UNKNOWN,Ranking function f(main::y) = 1*main::y; Ranking function f(main::y) = 1*main::y; Ranking function f(main::y) = 1*main::y,Supporting invariants []; Supporting invariants []; Supporting invariants [],Non-termination arguments:,2.490s,1.747s,11.280s,579MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Collatz_unknown-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/Ultimate/Collatz_unknown-termination.c
DivMinus.c,lasso,UNKNOWN,,,Non-termination arguments:,1.058s,0.318s,3.510s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/DivMinus.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C_Integer/Stroeder_15/DivMinus.c
EvenOdd01-1.c,lasso,UNKNOWN,,,Non-termination arguments:,0.791s,0.038s,2.600s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/EvenOdd01-1.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/EvenOdd01-1.c
Fibonacci.c,lasso,UNKNOWN,,,Non-termination arguments:,1.245s,0.491s,4.240s,278MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Fibonacci.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C_Integer/Stroeder_15/Fibonacci.c
Fibonacci01-1.c,lasso,UNKNOWN,,,Non-termination arguments:,0.805s,0.037s,2.580s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Fibonacci01-1.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Fibonacci01-1.c
Fibonacci02.c,lasso,UNKNOWN,,,Non-termination arguments:,0.783s,0.031s,2.560s,263MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Fibonacci02.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Fibonacci02.c
Fibonacci03.c,lasso,UNKNOWN,,,Non-termination arguments:,0.792s,0.039s,2.550s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Fibonacci03.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Fibonacci03.c
GopanReps-CAV2006-Fig1a_true-termination.c.c,lasso,UNKNOWN,Ranking function f(main::x) = -3*main::x + 10505,Supporting invariants [],Non-termination arguments:,288.944s,288.182s,299.940s,595MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/GopanReps-CAV2006-Fig1a_true-termination.c.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/GopanReps-CAV2006-Fig1a_true-termination.c.c
Gothenburg_true-termination.c,lasso,UNKNOWN,Ranking function f(main::x) = 3*main::x + 2,Supporting invariants [1*main::b - 1*main::a >= 0],Non-termination arguments:,290.538s,289.778s,300.330s,582MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Gothenburg_true-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/Ultimate/Gothenburg_true-termination.c
Hanoi_plus_false-termination.c,lasso,UNKNOWN,,,Non-termination arguments:,1.086s,0.329s,3.620s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Hanoi_plus_false-termination.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C_Integer/Ton_Chanh_15/Hanoi_plus_false-termination.c
