directory,filename,clean_path,benchmark_invariant,cpa_invariant,et_invariant,loopy_generated_invariant
accelerating_invariant_generation/dagger,efm.c,accelerating_invariant_generation/dagger/efm.c,X4 + X5 + X6 -1 >= 0,,,"X1 >= 0;
X2 >= 0;
X3 >= 0;
X4 >= 0;
X5 >= 0;
X6 >= 0;
X1 + X5 >= 1;
X1 + X2 >= X4 + X5;
X1 + X2 + X3 >= 1;
X4 + X5 + X6 - 1 >= 0;
X4 + X5 + X6 - 1 <= 0;
X4 + X5 <= 1"
accelerating_invariant_generation/dagger,ex1.c,accelerating_invariant_generation/dagger/ex1.c,xa + 2*ya >= 0,,,"xa + 2 * ya >= 0;
xa == 0 && ya == 0 ==> xa + 2 * ya == 0"
accelerating_invariant_generation/dagger,fig2.c,accelerating_invariant_generation/dagger/fig2.c,3*x >= y,Supporting invariants []; Supporting invariants []; Supporting invariants [2*main::x - 1*main::y >= 0]; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [8*main::x - 3*main::y >= 0]; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants []; Supporting invariants [],"y - 2 * x == \at(y - 2 * x, Pre); x >= \at(x, Pre); y >= \at(y, Pre)",
accelerating_invariant_generation/dagger,lifnat.c,accelerating_invariant_generation/dagger/lifnat.c,Ea + Ma <= 1,,,"I >= 0;
Sa >= 0;
Ea >= 0;
Ma >= 0;
Sb >= 0;
Eb >= 0;
Mb >= 0;
Ea + Ma <= 1;
Eb + Mb <= 1;
I + Sa + Ea + Ma + Sb + Eb + Mb >= 1"
accelerating_invariant_generation/dagger,lifnatprime.c,accelerating_invariant_generation/dagger/lifnatprime.c,Ea + Ma <= 1,,,"I >= 0;
Sa >= 0;
Ea >= 0;
Ma >= 0;
Sb >= 0;
Eb >= 0;
Mb >= 0;
Ea + Ma <= 1;
Eb + Mb <= 1;
I + Sa + Ea + Ma + Sb + Eb + Mb >= 1"
accelerating_invariant_generation/dagger,lifo.c,accelerating_invariant_generation/dagger/lifo.c,Ea + Ma <= 1,,,"I >= 0;
Sa >= 0;
Ea >= 0;
Ma >= 0;
Sb >= 0;
Eb >= 0;
Mb >= 0;
Ea + Ma <= 1;
Eb + Mb <= 1"
accelerating_invariant_generation/dagger,seesaw.c,accelerating_invariant_generation/dagger/seesaw.c,-x + 2*y  >= 0,,,"0 <= x;
0 <= y;
x <= 2 * y;
3 * x >= y"
accelerating_invariant_generation/dagger,substring1.c,accelerating_invariant_generation/dagger/substring1.c,j <= 100,Supporting invariants []; Supporting invariants [1*main::from + 1*main::j - 1*main::i >= 0]; Supporting invariants [-5*main::k - 3*main::j + 5*main::i + 41300 >= 0],"j - i == \at(j, Pre) - \at(i, Pre)","from >= 0;
k <= 100;
from <= k;
i >= from;
j >= 0;
i <= k;
j <= k;
i - from == j"
accelerating_invariant_generation/dagger,substring1.c,accelerating_invariant_generation/dagger/substring1.c,j <= 100,Supporting invariants []; Supporting invariants [1*main::from + 1*main::j - 1*main::i >= 0]; Supporting invariants [-5*main::k - 3*main::j + 5*main::i + 41300 >= 0],"j - i == \at(j, Pre) - \at(i, Pre)","from >= 0;
k <= 100;
from <= k;
i >= from;
j >= 0;
i <= k;
j <= k;
i - from == j"
accelerating_invariant_generation/dagger,swim.c,accelerating_invariant_generation/dagger/swim.c,x2 + x3 + x4 + x7 == q,,,"x1 >= 0;
x2 >= 0;
x3 >= 0;
x4 >= 0;
x5 >= 0;
x6 >= 0;
x7 >= 0;
x1 + x2 + x4 + x5 + x6 == p;
x2 + x3 + x4 + x7 == q;
x1 + x2 + x4 + x5 + x6 >= 1;
x2 + x3 + x4 + x7 >= 1"
accelerating_invariant_generation/dagger,swim1.c,accelerating_invariant_generation/dagger/swim1.c,x2 + x3 + x4 + x7 == q,,,"x1 >= 0;
x2 >= 0;
x3 >= 0;
x4 >= 0;
x5 >= 0;
x6 >= 0;
x7 >= 0;
x1 + x2 + x4 + x5 + x6 == p;
x2 + x3 + x4 + x7 == q;
x1 + x2 + x4 + x6 + x7 >= 1;
x2 + x3 + x4 + x7 >= 1;
x1 + x2 + x4 + x5 + x6 >= 1"
accelerating_invariant_generation/invgen,bind_expands_vars2.c,accelerating_invariant_generation/invgen/bind_expands_vars2.c,cp1_off+mc_i < MAXDATA * 2,Supporting invariants [1*main::MAXDATA > 0],0 <= mc_i && mc_i <= n2; cp1_off + mc_i < MAXDATA * 2," 0 <= mc_i;
 n2 <= MAXDATA * 2 - n1;
 cp1_off + mc_i <= MAXDATA * 2;
 cp1_off <= n1;
 n1 <= MAXDATA * 2;
 MAXDATA > 0"
accelerating_invariant_generation/invgen,bind_expands_vars2.c,accelerating_invariant_generation/invgen/bind_expands_vars2.c,cp1_off+mc_i < MAXDATA * 2,Supporting invariants [1*main::MAXDATA > 0],0 <= mc_i && mc_i <= n2; cp1_off + mc_i < MAXDATA * 2," 0 <= mc_i;
 n2 <= MAXDATA * 2 - n1;
 cp1_off + mc_i <= MAXDATA * 2;
 cp1_off <= n1;
 n1 <= MAXDATA * 2;
 MAXDATA > 0"
accelerating_invariant_generation/invgen,gulwani_cegar1.c,accelerating_invariant_generation/invgen/gulwani_cegar1.c,x < 4,,x - y == \old(x) - \old(y); x % 2 == \old(x) % 2; y % 2 == \old(y) % 2,"0 <= x;
x <= 2 * y + 2;
0 <= y;
y <= 2 * x + 2"
accelerating_invariant_generation/invgen,gulwani_cegar1.c,accelerating_invariant_generation/invgen/gulwani_cegar1.c,x < 4,,x - y == \old(x) - \old(y); x % 2 == \old(x) % 2; y % 2 == \old(y) % 2,"0 <= x;
x <= 2 * y + 2;
0 <= y;
y <= 2 * x + 2"
accelerating_invariant_generation/invgen,gulwani_cegar2.c,accelerating_invariant_generation/invgen/gulwani_cegar2.c,0<=m,,x <= n; x >= \old(x)," 0 <= m <= x;
 n > 0 ==> 0 <= m < n"
accelerating_invariant_generation/invgen,gulwani_cegar2.c,accelerating_invariant_generation/invgen/gulwani_cegar2.c,0<=m,,x <= n; x >= \old(x)," 0 <= m <= x;
 n > 0 ==> 0 <= m < n"
accelerating_invariant_generation/invgen,MADWiFi-encode_ie_ok.c,accelerating_invariant_generation/invgen/MADWiFi-encode_ie_ok.c,0<=p,Supporting invariants [1*main::bufsize > 0],,
accelerating_invariant_generation/invgen,NetBSD_g_Ctoc.c,accelerating_invariant_generation/invgen/NetBSD_g_Ctoc.c,0 <= BASE_SZ-1,,,"0 <= i;
i <= BASE_SZ;
0 <= j;
j <= BASE_SZ;
0 <= len;
len <= BASE_SZ;
i == j"
accelerating_invariant_generation/invgen,NetBSD_g_Ctoc.c,accelerating_invariant_generation/invgen/NetBSD_g_Ctoc.c,0 <= BASE_SZ-1,,,"0 <= i;
i <= BASE_SZ;
0 <= j;
j <= BASE_SZ;
0 <= len;
len <= BASE_SZ;
i == j"
accelerating_invariant_generation/invgen,NetBSD_loop.c,accelerating_invariant_generation/invgen/NetBSD_loop.c,0 <= glob2_p_off,Supporting invariants [1*main::bound_off - 1*main::glob2_pathlim_off >= 0],glob2_pathbuf_off <= glob2_p_off; glob2_p_off <= glob2_pathlim_off; 0 <= glob2_p_off; glob2_p_off < MAXPATHLEN + 1,"glob2_p_off >= glob2_pathbuf_off;
glob2_p_off <= glob2_pathlim_off + 1;
glob2_pathbuf_off == 0;
glob2_pathlim_off == MAXPATHLEN"
accelerating_invariant_generation/invgen,NetBSD_loop.c,accelerating_invariant_generation/invgen/NetBSD_loop.c,0 <= glob2_p_off,Supporting invariants [1*main::bound_off - 1*main::glob2_pathlim_off >= 0],glob2_pathbuf_off <= glob2_p_off; glob2_p_off <= glob2_pathlim_off; 0 <= glob2_p_off; glob2_p_off < MAXPATHLEN + 1,"glob2_p_off >= glob2_pathbuf_off;
glob2_p_off <= glob2_pathlim_off + 1;
glob2_pathbuf_off == 0;
glob2_pathlim_off == MAXPATHLEN"
accelerating_invariant_generation/invgen,NetBSD_loop.c,accelerating_invariant_generation/invgen/NetBSD_loop.c,0 <= glob2_p_off,Supporting invariants [1*main::bound_off - 1*main::glob2_pathlim_off >= 0],glob2_pathbuf_off <= glob2_p_off; glob2_p_off <= glob2_pathlim_off; 0 <= glob2_p_off; glob2_p_off < MAXPATHLEN + 1,"glob2_p_off >= glob2_pathbuf_off;
glob2_p_off <= glob2_pathlim_off + 1;
glob2_pathbuf_off == 0;
glob2_pathlim_off == MAXPATHLEN"
accelerating_invariant_generation/invgen,NetBSD_loop_int.c,accelerating_invariant_generation/invgen/NetBSD_loop_int.c,0 <= glob3_dc,,,"glob3_dc >= 0;
glob3_dc <= MAXPATHLEN;
glob3_pathbuf_off == buf_off;
glob3_pathend_off == buf_off;
glob3_pathlim_off == bound_off;
glob3_pattern_off == pattern_off"
accelerating_invariant_generation/invgen,NetBSD_loop_int.c,accelerating_invariant_generation/invgen/NetBSD_loop_int.c,0 <= glob3_dc,,,"glob3_dc >= 0;
glob3_dc <= MAXPATHLEN;
glob3_pathbuf_off == buf_off;
glob3_pathend_off == buf_off;
glob3_pathlim_off == bound_off;
glob3_pattern_off == pattern_off"
accelerating_invariant_generation/invgen,rajamani_1.c,accelerating_invariant_generation/invgen/rajamani_1.c,y>2,,,"0 <= x;
0 <= y;
0 <= z;
0 <= w;
z == 10 * w;
x <= y / 100 + w;
y <= 100 * x + w;
w <= y / 10;
y >= 0 ==> x <= y / 100"
accelerating_invariant_generation/invgen,rajamani_1.c,accelerating_invariant_generation/invgen/rajamani_1.c,y>2,,,"0 <= x;
0 <= y;
0 <= z;
0 <= w;
z == 10 * w;
x <= y / 100 + w;
y <= 100 * x + w;
w <= y / 10;
y >= 0 ==> x <= y / 100"
accelerating_invariant_generation/invgen,sendmail-close-angle.c,accelerating_invariant_generation/invgen/sendmail-close-angle.c,0<=buf,"Supporting invariants [1*main::bufferlen > 0, 3*main::inlen - 2 >= 0]; Supporting invariants [1*main::inlen > 0, 1*main::inlen - 1*main::in - 1*main::buflim + 1*main::buf >= 0]",," 0 <= buf;
 buf < bufferlen;
 0 <= in;
 in < inlen;
 buf <= buflim;
 buflim == bufferlen - 2;
 buf <= buflim + 1;
 in <= inlen;
 buf <= in;
 buf <= bufferlen - 1;
 buf == in;
 bufferlen > 1;
 inlen > 0;
 bufferlen < inlen;
 0 <= buf <= buflim + 1;
 0 <= in < inlen;
 buf >= in;
 0 <= buf && buf <= buflim"
accelerating_invariant_generation/invgen,sendmail-close-angle.c,accelerating_invariant_generation/invgen/sendmail-close-angle.c,0<=buf,"Supporting invariants [1*main::bufferlen > 0, 3*main::inlen - 2 >= 0]; Supporting invariants [1*main::inlen > 0, 1*main::inlen - 1*main::in - 1*main::buflim + 1*main::buf >= 0]",," 0 <= buf;
 buf < bufferlen;
 0 <= in;
 in < inlen;
 buf <= buflim;
 buflim == bufferlen - 2;
 buf <= buflim + 1;
 in <= inlen;
 buf <= in;
 buf <= bufferlen - 1;
 buf == in;
 bufferlen > 1;
 inlen > 0;
 bufferlen < inlen;
 0 <= buf <= buflim + 1;
 0 <= in < inlen;
 buf >= in;
 0 <= buf && buf <= buflim"
accelerating_invariant_generation/invgen,sendmail-close-angle.c,accelerating_invariant_generation/invgen/sendmail-close-angle.c,0<=buf,"Supporting invariants [1*main::bufferlen > 0, 3*main::inlen - 2 >= 0]; Supporting invariants [1*main::inlen > 0, 1*main::inlen - 1*main::in - 1*main::buflim + 1*main::buf >= 0]",," 0 <= buf;
 buf < bufferlen;
 0 <= in;
 in < inlen;
 buf <= buflim;
 buflim == bufferlen - 2;
 buf <= buflim + 1;
 in <= inlen;
 buf <= in;
 buf <= bufferlen - 1;
 buf == in;
 bufferlen > 1;
 inlen > 0;
 bufferlen < inlen;
 0 <= buf <= buflim + 1;
 0 <= in < inlen;
 buf >= in;
 0 <= buf && buf <= buflim"
accelerating_invariant_generation/invgen,sendmail-mime-fromqp.c,accelerating_invariant_generation/invgen/sendmail-mime-fromqp.c,0<=out,,,"0 <= out;
out < outfilelen;
0 <= nchar;
nchar <= out"
accelerating_invariant_generation/invgen,sendmail-mime-fromqp.c,accelerating_invariant_generation/invgen/sendmail-mime-fromqp.c,0<=out,,,"0 <= out;
out < outfilelen;
0 <= nchar;
nchar <= out"
accelerating_invariant_generation/invgen,sendmail-mime7to8_arr_three_chars_no_test_ok.c,accelerating_invariant_generation/invgen/sendmail-mime7to8_arr_three_chars_no_test_ok.c,0<=fb,,,"0 <= fb;
fb < fbuflen"
accelerating_invariant_generation/invgen,sendmail-mime7to8_arr_three_chars_no_test_ok.c,accelerating_invariant_generation/invgen/sendmail-mime7to8_arr_three_chars_no_test_ok.c,0<=fb,,,"0 <= fb;
fb < fbuflen"
accelerating_invariant_generation/invgen,simple.c,accelerating_invariant_generation/invgen/simple.c,x<=n,,x >= \old(x); n == \old(n),"0 <= x;
x <= n"
accelerating_invariant_generation/invgen,simple.c,accelerating_invariant_generation/invgen/simple.c,x<=n,,x >= \old(x); n == \old(n),"0 <= x;
x <= n"
accelerating_invariant_generation/invgen,simple_if.c,accelerating_invariant_generation/invgen/simple_if.c,i > 0,Supporting invariants [1*main::i - 1 >= 0],, i >= 1
accelerating_invariant_generation/invgen,simple_if.c,accelerating_invariant_generation/invgen/simple_if.c,i > 0,Supporting invariants [1*main::i - 1 >= 0],, i >= 1
accelerating_invariant_generation/invgen,split.c,accelerating_invariant_generation/invgen/split.c,i == j,"Supporting invariants [1*main::k > 0, 1*main::n >= 0]; Supporting invariants []; Supporting invariants [-3*main::k + 30751 > 0]",,
accelerating_invariant_generation/invgen,up-nested.c,accelerating_invariant_generation/invgen/up-nested.c,i>= 0,,i == 0; i >= 0; k == 0,"j <= n + 1;
i == 0;
k == 0"
accelerating_invariant_generation/invgen,up-nested.c,accelerating_invariant_generation/invgen/up-nested.c,i>= 0,,i == 0; i >= 0; k == 0,"j <= n + 1;
i == 0;
k == 0"
accelerating_invariant_generation/svcomp,count_up_down_true.c,accelerating_invariant_generation/svcomp/count_up_down_true.c,y==n,,,"0 <= y <= n;
x + y == n"
accelerating_invariant_generation/svcomp,for_infinite_loop_1_true.c,accelerating_invariant_generation/svcomp/for_infinite_loop_1_true.c,x==0,,x == 0; i >= 0,"x == 0;
i >= 0"
accelerating_invariant_generation/svcomp,for_infinite_loop_2_true.c,accelerating_invariant_generation/svcomp/for_infinite_loop_2_true.c,x==0,,x == 0; i >= 0,"i >= 0;
x == 0;
y == 0"
accelerating_invariant_generation/svcomp,sum01_true.c,accelerating_invariant_generation/svcomp/sum01_true.c,sn==n*a || sn == 0,,,"1 <= i;
 i <= n + 1 || i == 1;
 sn == (i-1) * a;
 0 <= sn;
n >= 0 ==> sn >= 0;"
accelerating_invariant_generation/svcomp,sum03_true.c,accelerating_invariant_generation/svcomp/sum03_true.c,sn==x*a || sn == 0,Supporting invariants [5*main::x - 2*main::sn >= 0]; Supporting invariants [2*main::x - 1*main::sn >= 0]; Supporting invariants [8*main::x - 3*main::sn + 12 > 0]; Supporting invariants [3*main::x - 1*main::sn >= 0]; Supporting invariants [8*main::x - 3*main::sn >= 0]; Supporting invariants []; Supporting invariants [8*main::x - 3*main::sn >= 0]; Supporting invariants [8*main::x - 3*main::sn >= 0]; Supporting invariants [],,"sn % a == 0 || sn == 0;
x >= 0;
sn == x * a"
accelerating_invariant_generation/svcomp,sum04_true.c,accelerating_invariant_generation/svcomp/sum04_true.c,sn==SIZE*a || sn == 0,,sn == \old(sn) + (i - 1) * a; 1 <= i && i <= SIZE + 1,"1 <= i <= SIZE + 1;
sn == 2 * (i - 1)"
accelerating_invariant_generation/svcomp,terminator_02_true.c,accelerating_invariant_generation/svcomp/terminator_02_true.c,x>=100 || z<=100,,,"x <= 100;
z <= 100;
(x < 100 && 100 < z) ==> (x < z)"
accelerating_invariant_generation/svcomp,trex03_true.c,accelerating_invariant_generation/svcomp/trex03_true.c,x1==0 || x2==0 || x3==0,"Supporting invariants [1*main::d2 > 0, 1*main::d1 > 0, 1*main::d3 - 1 >= 0]; Supporting invariants [1*main::d1 - 1 >= 0]; Supporting invariants [1*main::d1 - 1 >= 0]",x1 > 0 && x2 > 0 && x3 > 0; x1 <= \old(x1); x2 <= \old(x2); x3 <= \old(x3),"x1 >= 0;
x2 >= 0;
x3 >= 0;
d1 == 1;
d2 == 1;
d3 == 1"
accelerating_invariant_generation/svcomp,while_infinite_loop_1_true.c,accelerating_invariant_generation/svcomp/while_infinite_loop_1_true.c,x==0,,x == 0,x == 0
accelerating_invariant_generation/svcomp,while_infinite_loop_2_true.c,accelerating_invariant_generation/svcomp/while_infinite_loop_2_true.c,x==0,,x == 0,x == 0
code2inv,1.c,code2inv/1.c,(x >= y),,,"0 <= y <= 100000;
x >= y;
x >= 1"
code2inv,10.c,code2inv/10.c,(x != 4),,x - y == \old(x - y),"x >= 0;
y >= 0;
x <= y + 2;
y <= x + 2"
code2inv,10.c,code2inv/10.c,(x != 4),,x - y == \old(x - y),"x >= 0;
y >= 0;
x <= y + 2;
y <= x + 2"
code2inv,100.c,code2inv/100.c,(y == n),,x + y == \old(x + y); x <= \old(x); y >= \old(y),"x >= 0;
y >= 0;
n - x == y"
code2inv,101.c,code2inv/101.c,(n < 0),,,
code2inv,102.c,code2inv/102.c,(x == n),,,n >= 0 ==> (x == n || x < n);
code2inv,103.c,code2inv/103.c,(x == 100),,x <= 100; x >= \old(x),"0 <= x;
x <= 100"
code2inv,104.c,code2inv/104.c,(n < 0),,,
code2inv,105.c,code2inv/105.c,(x == n),,,
code2inv,107.c,code2inv/107.c,a <= m,,,"k == 0 || k == 1;
(k == 0 && m < a) || m >= a"
code2inv,108.c,code2inv/108.c,a <=  m,,," a <= m;
 k == 0 || m >= a"
code2inv,109.c,code2inv/109.c,a <=  m,,," 0 <= j <= k;
 (k > 0) ==> (m >= a)"
code2inv,11.c,code2inv/11.c,(y != 0),,x - y == \old(x - y)," x >= 0;
 y >= 0;
 x - y == \at(x - y, LoopEntry)"
code2inv,11.c,code2inv/11.c,(y != 0),,x - y == \old(x - y)," x >= 0;
 y >= 0;
 x - y == \at(x - y, LoopEntry)"
code2inv,110.c,code2inv/110.c,(sn == 0),Supporting invariants [1*main::i > 0],,
code2inv,111.c,code2inv/111.c,(sn == n),Supporting invariants [1*main::i > 0],sn == i - 1; i >= 1; sn >= 0; i <= n + 1,
code2inv,112.c,code2inv/112.c,(sn == 0),Supporting invariants [1*main::i > 0],"sn - i == \at(sn - i, Pre)","i == 1 || (1 < i && i <= n + 1);
sn == i - 1;"
code2inv,113.c,code2inv/113.c,(sn == n),Supporting invariants [1*main::i > 0],,
code2inv,114.c,code2inv/114.c,(sn == -1),,x - sn == \old(x - sn),sn == x
code2inv,115.c,code2inv/115.c,(sn == x),,x - sn == \old(x) - \old(sn),"sn >= 0;
x >= 0;
sn == x"
code2inv,116.c,code2inv/116.c,(sn == -1),,,"sn >= 0;
x >= 0;
sn == x"
code2inv,117.c,code2inv/117.c,(sn == x),,,"sn == x;
sn >= 0;
x >= 0"
code2inv,118.c,code2inv/118.c,(sn == 0),,sn - i == \old(sn) - \old(i); i >= \old(i); sn >= \old(sn); i <= size + 1,"i == 1 || 1 <= i <= size + 1;
sn == i - 1;
size >= 0 ==> sn <= size;"
code2inv,119.c,code2inv/119.c,(sn == size),,i - sn == \old(i) - \old(sn); i >= \old(i); sn >= \old(sn),
code2inv,12.c,code2inv/12.c,(x != 20),,,"x >= 0;
y >= 0;
x - y == \at(x, LoopEntry) - \at(y, LoopEntry)"
code2inv,120.c,code2inv/120.c,(sn == 0),,,"1 <= i <= 9;
0 <= sn <= 8;
sn == i - 1"
code2inv,121.c,code2inv/121.c,(sn == 8),,,"1 <= i <= 9;
0 <= sn <= 8;
sn == i - 1"
code2inv,122.c,code2inv/122.c,(sn == 0),,sn - i == \old(sn) - \old(i); i >= \old(i); sn >= \old(sn),
code2inv,123.c,code2inv/123.c,(sn == size),,sn == i - 1; i >= 1; sn >= 0,
code2inv,124.c,code2inv/124.c,(y == 0),,x - y == \old(x) - \old(y),"i == x + (j - y);
i - x == j - y"
code2inv,125.c,code2inv/125.c,(i != j),,x - y == \old(x) - \old(y); \old(x) - x == \old(y) - y,"i >= x;
j >= y;
i - x == j - y"
code2inv,126.c,code2inv/126.c,(y == 0),,x - y == \old(x) - \old(y); x - \old(x) == y - \old(y),"i >= x;
j >= y;
i - x == j - y"
code2inv,127.c,code2inv/127.c,(i != j),,,"i >= x;
j >= y;
i - x == j - y"
code2inv,128.c,code2inv/128.c,(x >= 1),Supporting invariants [4*main::x - 3 > 0],,"x >= 1;
\exists integer k; (k >= 0) && (x == (1 << k))"
code2inv,129.c,code2inv/129.c,(x >= 1),Supporting invariants [4*main::x - 3 > 0],,"x >= 1;
x < y ==> x * 2 > x;
x >= y ==> x >= 1"
code2inv,13.c,code2inv/13.c,(y != 0),,," x >= 0;
 y >= 0;
 (x == 4) ==> (y > 0)"
code2inv,13.c,code2inv/13.c,(y != 0),,," x >= 0;
 y >= 0;
 (x == 4) ==> (y > 0)"
code2inv,130.c,code2inv/130.c,x2 >= 0,,,
code2inv,131.c,code2inv/131.c,x3 >= 0,,," x1 >= 0;
 x2 < 0 || x3 < 0 ==> x1 == 1;
 d1 == 1;
 d2 == 1;
 d3 == 1;
 x1 <= 1;
 x2 >= 0 ==> x2 >= x1 - d1;
 x3 >= 0 ==> x3 >= x1 - d1;
 0 <= x1"
code2inv,132.c,code2inv/132.c,i >= 0,,,i >= 0
code2inv,133.c,code2inv/133.c,(x == n),,,"0 <= x;
x <= n"
code2inv,14.c,code2inv/14.c,(x != 4),,," x >= 0;
 y >= 0;
 x - y == \at(x - y, LoopEntry)"
code2inv,14.c,code2inv/14.c,(x != 4),,," x >= 0;
 y >= 0;
 x - y == \at(x - y, LoopEntry)"
code2inv,15.c,code2inv/15.c,m < n,,,"0 <= m <= x;
n > 0 ==> m < n;"
code2inv,15.c,code2inv/15.c,m < n,,,"0 <= m <= x;
n > 0 ==> m < n;"
code2inv,16.c,code2inv/16.c,m >= 0,,, 0 <= m && m <= x
code2inv,16.c,code2inv/16.c,m >= 0,,, 0 <= m && m <= x
code2inv,17.c,code2inv/17.c,m < n,,,
code2inv,18.c,code2inv/18.c,m >= 1,,,"x >= 1;
m >= 1;
m <= x"
code2inv,18.c,code2inv/18.c,m >= 1,,,"x >= 1;
m >= 1;
m <= x"
code2inv,19.c,code2inv/19.c,m < n,,," m <= x;
 (n > 0) ==> (m < n)"
code2inv,19.c,code2inv/19.c,m < n,,," m <= x;
 (n > 0) ==> (m < n)"
code2inv,19.c,code2inv/19.c,m < n,,," m <= x;
 (n > 0) ==> (m < n)"
code2inv,2.c,code2inv/2.c,(x >= y),,,"x >= 1;
y >= 0;
x >= y;
y <= 1000"
code2inv,20.c,code2inv/20.c,m >= 0,,,"0 <= x;
0 <= m;
m <= x;
x < n || x >= n"
code2inv,20.c,code2inv/20.c,m >= 0,,,"0 <= x;
0 <= m;
m <= x;
x < n || x >= n"
code2inv,21.c,code2inv/21.c,m < n,,,"1 <= x;
1 <= m;
m <= x;
(n > 1) ==> (m < n);
(n <= 1) ==> (m == 1)"
code2inv,22.c,code2inv/22.c,m >= 1,,,"1 <= x;
1 <= m;
m <= x;
x <= n ==> m >= 1"
