Filename,Relative Path,Run ID,Date Time,Duration (s),LLM Calls,Label,RAG Similarity,Invariants,Ranking Function,Z3 Result,Report Path,Error
Swingers_false-termination_true-no-overflow.c,c_bench_nonterm/Swingers_false-termination_true-no-overflow.c,08bb0ae3109b459083a76d081b02d294,2025-12-18T11:13:57.675066,16.92,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111357_08bb0ae3109b459083a76d081b02d294.json,
Flip2_false-termination_true-no-overflow.c,c_bench_nonterm/Flip2_false-termination_true-no-overflow.c,a87d7684853a4e15825bce23ceae243f,2025-12-18T11:14:42.231365,44.56,3,non-terminating,0.0,,"(i + j, i)",Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111442_a87d7684853a4e15825bce23ceae243f.json,
MirrorIntervSim_false-termination_true-no-overflow.c,c_bench_nonterm/MirrorIntervSim_false-termination_true-no-overflow.c,2aba032fb7f140d3bb3eb60419976284,2025-12-18T11:15:18.601433,36.37,3,non-terminating,0.0,,null,Failed: No Ranking Function Provided,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111518_2aba032fb7f140d3bb3eb60419976284.json,
nterm_ever_12.c,c_bench_nonterm/nterm_ever_12.c,cbe569d48b314294a6a0296e427276a0,2025-12-18T11:15:35.500307,16.90,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111535_cbe569d48b314294a6a0296e427276a0.json,
nterm_ever_11.c,c_bench_nonterm/nterm_ever_11.c,e07d597f776f40cd9d75889d3a1f1277,2025-12-18T11:16:30.854511,55.35,3,non-terminating,0.0,,50 - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111630_e07d597f776f40cd9d75889d3a1f1277.json,
determ_nterm_4.c,c_bench_nonterm/determ_nterm_4.c,c24205646a1b43289721893a597320f1,2025-12-18T11:17:37.128204,66.27,3,non-terminating,0.0,,10 - (a + b + c),Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111737_c24205646a1b43289721893a597320f1.json,
DoubleNeg_false-no-overflow_false-termination.c,c_bench_nonterm/DoubleNeg_false-no-overflow_false-termination.c,2d223357fd4f4116b09f38a26b0fe654,2025-12-18T11:18:11.520688,34.39,3,non-terminating,0.0,,i + j,Failed: Not Bounded,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111811_2d223357fd4f4116b09f38a26b0fe654.json,
Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-broken.c,c_bench_nonterm/Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-broken.c,7048ef41f5b74f4788bb4b3bae933f5f,2025-12-18T11:18:29.730226,18.21,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111829_7048ef41f5b74f4788bb4b3bae933f5f.json,
Swingers_false-termination_true-no-overflow-version-2.c,c_bench_nonterm/Swingers_false-termination_true-no-overflow-version-2.c,fa7a30a1b0de46b2a1fb637421908c32,2025-12-18T11:19:07.707681,37.98,3,non-terminating,0.0,,abs((bob + samantha) - (max + lola)),Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111907_fa7a30a1b0de46b2a1fb637421908c32.json,
Sunset_false-termination_true-no-overflow.c,c_bench_nonterm/Sunset_false-termination_true-no-overflow.c,8dbefbf673484168bc3ce7bce10e164c,2025-12-18T11:19:56.008594,48.30,3,non-terminating,0.0,,i,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_111956_8dbefbf673484168bc3ce7bce10e164c.json,
PastaC10_false-no-overflow_false-termination.c,c_bench_nonterm/PastaC10_false-no-overflow_false-termination.c,2c37de137d5f41649ba0b18d802ef082,2025-12-18T11:21:17.567777,81.56,3,non-terminating,0.0,,i - j,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112117_2c37de137d5f41649ba0b18d802ef082.json,
NO_22_false-termination_true-no-overflow.c,c_bench_nonterm/NO_22_false-termination_true-no-overflow.c,30c8490b1a0f40df964a7c8b4356e2b6,2025-12-18T11:21:32.281498,14.71,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112132_30c8490b1a0f40df964a7c8b4356e2b6.json,
nterm_04_cex.c,c_bench_nonterm/nterm_04_cex.c,d8998fe5ca194e1cb82535d113cdaec2,2025-12-18T11:22:12.823074,40.54,3,non-terminating,0.0,,null,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112212_d8998fe5ca194e1cb82535d113cdaec2.json,
ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-broken.c,c_bench_nonterm/ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-broken.c,045175f059b74c38a5226bc1cc5a70d3,2025-12-18T11:22:53.288892,40.47,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112253_045175f059b74c38a5226bc1cc5a70d3.json,
AlternKonv_false-termination_true-no-overflow.c,c_bench_nonterm/AlternKonv_false-termination_true-no-overflow.c,b34fd1f5a3a9411c8cae41869cc6434d,2025-12-18T11:23:36.930825,43.64,3,non-terminating,0.0,,null,Failed: Potential Non-Termination (2-Cycle Found),/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112336_b34fd1f5a3a9411c8cae41869cc6434d.json,
HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow-broken.c,c_bench_nonterm/HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow-broken.c,be4f5360751341e4854808ab29d674c6,2025-12-18T11:24:19.211261,42.28,3,non-terminating,0.0,,x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112419_be4f5360751341e4854808ab29d674c6.json,
Problem00_label00_true-unreach-call-nonterm-toy.c,c_bench_nonterm/Problem00_label00_true-unreach-call-nonterm-toy.c,40902f62020f4c368c50afcc2bdce0c1,2025-12-18T11:25:06.555071,47.34,3,non-terminating,0.0,,10 - a7,Failed: Invariants Not Inductive,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112506_40902f62020f4c368c50afcc2bdce0c1.json,
nonlin_div_nonterm_2.c,c_bench_nonterm/nonlin_div_nonterm_2.c,19345473aa894ea490fb98a5f17f3d9e,2025-12-18T11:25:35.602336,29.05,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112535_19345473aa894ea490fb98a5f17f3d9e.json,
ComplInterv_false-no-overflow_false-termination.c,c_bench_nonterm/ComplInterv_false-no-overflow_false-termination.c,e09a3c72fb25428d8edb47321b86539a,2025-12-18T11:26:04.776589,29.17,3,non-terminating,0.0,,null,Failed: No Ranking Function Provided,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112604_e09a3c72fb25428d8edb47321b86539a.json,
nterm_ever_05.c,c_bench_nonterm/nterm_ever_05.c,10d89ed5edb74d5dab3a183a90489de7,2025-12-18T11:26:32.403566,27.63,3,non-terminating,0.0,,1000 - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112632_10d89ed5edb74d5dab3a183a90489de7.json,
Et2_false-no-overflow_false-termination.c,c_bench_nonterm/Et2_false-no-overflow_false-termination.c,66f09a81e9594c60a6954bb1445c3263,2025-12-18T11:27:59.618785,87.21,3,non-terminating,0.0,,b,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112759_66f09a81e9594c60a6954bb1445c3263.json,
nonlin_mult_nonterm_7.c,c_bench_nonterm/nonlin_mult_nonterm_7.c,beaf2bdf93e34bfd90e628a00dd7300f,2025-12-18T11:28:19.833363,20.21,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_112819_beaf2bdf93e34bfd90e628a00dd7300f.json,
eca_core.c,c_bench_nonterm/eca_core.c,575910df69614afda072e6e1b3e44b2e,2025-12-18T11:30:09.695620,109.86,3,non-terminating,0.0,,null,"Error: File ""/tmp/tmpr0f7m6o2.py"", line 198
    vars_i = Ints(f'a17_{i} a7
                  ^
SyntaxError: unterminated string literal (detected at line 198)...",/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113009_575910df69614afda072e6e1b3e44b2e.json,
NonTerminationSimple8_false-termination_true-valid-memsafety-simplifed-2.c,c_bench_nonterm/NonTerminationSimple8_false-termination_true-valid-memsafety-simplifed-2.c,83ddf75cc2c243c5b8c92be58dd2c547,2025-12-18T11:30:45.862240,36.17,3,non-terminating,0.0,,x + 1,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113045_83ddf75cc2c243c5b8c92be58dd2c547.json,
choices_dec_4.c,c_bench_nonterm/choices_dec_4.c,a9d92f708fcd41318b172ac83c0423fb,2025-12-18T11:31:34.121752,48.26,3,non-terminating,0.0,,x + y + z + w,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113134_a9d92f708fcd41318b172ac83c0423fb.json,
choices_eq_2_nondet.c,c_bench_nonterm/choices_eq_2_nondet.c,707ea6c0d35f4f66a6f3fc7289a6d39b,2025-12-18T11:33:01.951102,87.83,3,non-terminating,0.0,,null,Error: Unknown verification output...,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113301_707ea6c0d35f4f66a6f3fc7289a6d39b.json,
Ex08_false-termination_true-no-overflow-version2.c,c_bench_nonterm/Ex08_false-termination_true-no-overflow-version2.c,4dc923a0ddd34cdc8dfa6c01722395f3,2025-12-18T11:33:21.687851,19.74,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113321_4dc923a0ddd34cdc8dfa6c01722395f3.json,
MenloPark_true-no-overflow_true-termination_true-valid-memsafety_modif_broken3.c,c_bench_nonterm/MenloPark_true-no-overflow_true-termination_true-valid-memsafety_modif_broken3.c,17914c7dc92e4682994088147bccee4f,2025-12-18T11:34:51.677745,89.99,3,non-terminating,0.0,,null,Error: Unknown verification output...,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113451_17914c7dc92e4682994088147bccee4f.json,
Lcm_false-no-overflow_false-termination.c,c_bench_nonterm/Lcm_false-no-overflow_false-termination.c,4ad9a1df62e64970a9b5b5490e1ad83e,2025-12-18T11:36:22.019934,90.34,3,non-terminating,0.0,,am + bm,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113622_4ad9a1df62e64970a9b5b5490e1ad83e.json,
Factorial_false-no-overflow_false-termination.c,c_bench_nonterm/Factorial_false-no-overflow_false-termination.c,b880d5a3e0474cfba9b78c48689ba8b4,2025-12-18T11:36:53.367826,31.35,3,non-terminating,0.0,,j - fac,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113653_b880d5a3e0474cfba9b78c48689ba8b4.json,
CookSeeZuleger-TACAS2013-Fig8a-modified-true-termination_true-no-overflow-broken-2.c,c_bench_nonterm/CookSeeZuleger-TACAS2013-Fig8a-modified-true-termination_true-no-overflow-broken-2.c,bd297bbecd0c4b6a8559403d5b561dcb,2025-12-18T11:37:22.099810,28.73,3,non-terminating,0.0,,abs(x - K),Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113722_bd297bbecd0c4b6a8559403d5b561dcb.json,
2Nested_false-termination_true-valid-memsafety.c,c_bench_nonterm/2Nested_false-termination_true-valid-memsafety.c,d52176547a5f4891a03007eb668bbeb3,2025-12-18T11:37:43.714918,21.61,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113743_d52176547a5f4891a03007eb668bbeb3.json,
nonlin_mod_nonterm_2.c,c_bench_nonterm/nonlin_mod_nonterm_2.c,749e61131e2b48d5b4b80a65075fd58a,2025-12-18T11:38:13.499534,29.78,3,non-terminating,0.0,,x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113813_749e61131e2b48d5b4b80a65075fd58a.json,
ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-no-overflow.c,c_bench_nonterm/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-no-overflow.c,344f8869890444b1bd373115ff0735eb,2025-12-18T11:38:52.860709,39.36,3,non-terminating,0.0,,null,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113852_344f8869890444b1bd373115ff0735eb.json,
Singapore_plus_false-no-overflow.c,c_bench_nonterm/Singapore_plus_false-no-overflow.c,75c2785efc794874a15b334c1ee6b2f3,2025-12-18T11:39:15.305139,22.44,2,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_113915_75c2785efc794874a15b334c1ee6b2f3.json,
choices_dec_2.c,c_bench_nonterm/choices_dec_2.c,2b96ba4184414b1fab245cf15e1504da,2025-12-18T11:40:04.714622,49.41,3,non-terminating,0.0,,x + y,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_114004_2b96ba4184414b1fab245cf15e1504da.json,
c.07_true-termination_true-no-overflow-broken1.c,c_bench_nonterm/c.07_true-termination_true-no-overflow-broken1.c,027557e003504df2a95fe18a6b5a0c9b,2025-12-18T11:41:29.642290,84.93,3,terminating,0.0,,"(k - j, i)","Error: File ""/tmp/tmpw4zqvh3v.py"", line 153
    #
IndentationError: expected an indented block after 'if' statement on line 152...",/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_114129_027557e003504df2a95fe18a6b5a0c9b.json,
ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c,c_bench_nonterm/ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c,bcdfcbbc00a341e28d1788c70a9abefb,2025-12-18T11:42:48.224279,78.58,3,non-terminating,0.0,,4*x - 5*y,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251218_114248_bcdfcbbc00a341e28d1788c70a9abefb.json,
