merge_key,GT,ET1_Label,ET1_Z3,ET2_Label,ET2_Z3,CPA_Pred,CPA_Raw
CookSeeZuleger-TACAS2013-Fig7a-true-termination_true-no-overflow.c,terminating,non-terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
CookSeeZuleger-TACAS2013-Fig7b-true-termination_true-no-overflow.c,terminating,error,,error,,terminating,YES
CookSeeZuleger-TACAS2013-Fig8a-modified-true-termination_true-no-overflow-broken-1.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
CookSeeZuleger-TACAS2013-Fig8a-modified-true-termination_true-no-overflow-broken-2.c,non-terminating,non-terminating,"Error: Traceback (most recent call last):
  File ""/tmp/tmp5zkduk2v.py"", line 38, in <module>
    loop_condition = substitute(loop_condition, subs)
  File ""/home/clexma/Desktop/fox3/TermDB/EvolveTerm/.venv_ev...",non-terminating,Failed: Not Decreasing,non-terminating,NO
CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow-broken-3.c,non-terminating,terminating,Verified,terminating,Verified,non-terminating,NO
CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow-broken-4.c,non-terminating,terminating,Verified,terminating,Verified,non-terminating,NO
CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
Copenhagen_disj_true-termination_true-valid-memsafety.c,terminating,terminating,Verified,terminating,Error: Unknown verification output...,unknown,MAYBE
Copenhagen_disj_true_version.c,terminating,terminating,Failed: Not Decreasing,terminating,Skipped,terminating,YES
Copenhagen_true-no-overflow_true-termination_true-valid-memsafety.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
DivWithoutMinus_false-no-overflow_false-termination.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Skipped,non-terminating,NO
DoubleNeg_false-no-overflow_false-termination.c,non-terminating,non-terminating,Failed: Not Bounded,non-terminating,Failed: Not Bounded,non-terminating,NO
DoublePos_false-no-overflow_false-termination.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
Et1_false-no-overflow_true-termination.c,terminating,error,,error,,terminating,YES
Et2_false-no-overflow_false-termination.c,non-terminating,error,,non-terminating,Failed: Not Decreasing,non-terminating,NO
Et4_false-no-overflow_false-termination.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
Even_false-no-overflow_false-termination.c,non-terminating,non-terminating,Failed: Not Bounded,non-terminating,Failed: Not Bounded,non-terminating,NO
Ex08_false-termination_true-no-overflow-version1.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
Ex08_false-termination_true-no-overflow-version2.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,TIMEOUT
Ex08_false-termination_true-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
Factorial_false-no-overflow_false-termination.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
Flip2_false-termination_true-no-overflow.c,non-terminating,terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
Flip_false-termination_true-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Potential infinite loop detected (cycle found),unknown,MAYBE
Gauss_false-no-overflow_false-termination.c,non-terminating,non-terminating,Failed: Not Bounded,non-terminating,Failed: Not Bounded,non-terminating,NO
Gothenburg_false-no-overflow.c,terminating,terminating,"Error: File ""/tmp/tmp5y345e93.py"", line 171
    decreasing = Implies(And(loop_condition, invariants, transition),
                        ^
SyntaxError: '(' was never closed...",terminating,Failed: Not Bounded,terminating,YES
Gothenburg_v2_false-no-overflow.c,terminating,terminating,Failed: Not Bounded,terminating,Failed: Not Bounded,terminating,YES
Gothenburg_v3_false-no-overflow.c,terminating,terminating,Verified,terminating,Skipped,unknown,MAYBE
Gothenburg_v4_false-no-overflow.c,terminating,terminating,Failed: Not Bounded,terminating,Failed: No ranking function provided and potential non-termination detected,unknown,MAYBE
GulavaniGulwani-CAV2008-Fig1a_true-termination.c,terminating,terminating,Failed: Not Bounded,terminating,Failed: Not Decreasing,terminating,YES
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-broken.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Bounded,non-terminating,NO
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version1.c,terminating,terminating,Failed: Not Decreasing,terminating,Skipped,unknown,FAILED
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version2.c,terminating,terminating,Skipped,terminating,Skipped,unknown,FAILED
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,terminating,terminating,Failed: Not decreasing,terminating,Skipped,unknown,FAILED
HarrisLalNoriRajamani-SAS2010-Fig2_false-no-overflow.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination-broken.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination-version.c,terminating,terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,terminating,YES
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow-broken.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow-version.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination-broken.c,non-terminating,non-terminating,Failed: No Ranking Function Provided,non-terminating,Failed: Not Decreasing,non-terminating,NO
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination-version.c,terminating,terminating,Verified,terminating,Verified,unknown,MAYBE
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,terminating,terminating,Failed: No Ranking Function Provided,terminating,Failed: Not Decreasing,unknown,MAYBE
HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination-version.c,terminating,terminating,Skipped,terminating,Verified,unknown,MAYBE
HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
Lcm_false-no-overflow_false-termination.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
LeikeHeizmann-WST2014-Ex5_false-termination.c,non-terminating,non-terminating,Failed: No Ranking Function Proposed,non-terminating,Skipped,unknown,MAYBE
Lobnya-Boolean-Reordered_true-termination_true-valid-memsafety.c,terminating,terminating,Failed: Not Bounded,terminating,Failed: Not Bounded,unknown,MAYBE
Masse-VMCAI2014-Fig1a_true-termination.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
Masse-VMCAI2014-Fig1b_true-termination-version-1.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
Masse-VMCAI2014-Fig1b_true-termination-version-2.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
Masse-VMCAI2014-Fig1b_true-termination.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
Masse-alloca_true-termination-broken.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
McCarthyIterative_true-termination_true-no-overflow.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
MenloPark_true-no-overflow_true-termination_true-valid-memsafety-modif.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
MenloPark_true-no-overflow_true-termination_true-valid-memsafety.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
MenloPark_true-no-overflow_true-termination_true-valid-memsafety_modif_broken1.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Skipped,unknown,MAYBE
MenloPark_true-no-overflow_true-termination_true-valid-memsafety_modif_broken2.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
MenloPark_true-no-overflow_true-termination_true-valid-memsafety_modif_broken3.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Error: Unknown verification output...,non-terminating,NO
Middle_false-no-overflow_false-termination.c,non-terminating,non-terminating,Error: Unknown verification output...,non-terminating,Failed: Loop is non-terminating (no valid ranking function exists),non-terminating,NO
MirrorIntervSim_false-termination_true-no-overflow.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: No Ranking Function Provided,non-terminating,NO
Mysore_false-no-overflow.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
NO_13_false-termination_true-no-overflow.c,non-terminating,non-terminating,Failed: No Ranking Function Provided,non-terminating,Failed: Not Decreasing,unknown,MAYBE
NO_22_false-termination_true-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
NO_24_false-termination_true-no-overflow.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
NarrowKonv_false-termination_true-no-overflow.c,non-terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,unknown,MAYBE
Narrowing_false-termination_true-no-overflow.c,non-terminating,non-terminating,Failed: Not Decreasing,terminating,Skipped,unknown,FAILED
NonTermination2_false-no-overflow-version.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
NonTermination2_false-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: No ranking function provided,unknown,MAYBE
NonTerminationSimple5_false-termination_true-valid-memsafety-version.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
NonTerminationSimple5_false-termination_true-valid-memsafety.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
NonTerminationSimple7_true-no-overflow_false-termination_true-valid-memsafety-version.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
NonTerminationSimple7_true-no-overflow_false-termination_true-valid-memsafety.c,non-terminating,non-terminating,Failed: Not Terminating (No Ranking Function Exists),non-terminating,Skipped,non-terminating,NO
NonTerminationSimple8_false-termination_true-valid-memsafety-simplifed-1.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
NonTerminationSimple8_false-termination_true-valid-memsafety-simplifed-2.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
NonTerminationSimple8_false-termination_true-valid-memsafety.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
NonTerminationSimple9_false-no-overflow-version.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
NonTerminationSimple9_false-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
NoriSharma-2013FSE-Fig8-true-termination-broken.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,non-terminating,NO
NoriSharma-2013FSE-Fig8-true-termination-modif.c,terminating,non-terminating,Skipped,non-terminating,Failed: Not Decreasing,terminating,YES
NoriSharma-2013FSE-Fig8-true-termination.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-broken.c,non-terminating,error,,non-terminating,Skipped,non-terminating,NO
Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-version.c,terminating,terminating,Verified,terminating,Verified,unknown,MAYBE
Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
Parallel_true-no-overflow_true-termination_true-valid-memsafety-modif.c,non-terminating,non-terminating,Failed: Not Bounded,non-terminating,Error: Unknown verification output...,non-terminating,NO
Parallel_true-no-overflow_true-termination_true-valid-memsafety.c,terminating,terminating,Error: Unknown verification output...,terminating,Error: Unknown verification output...,terminating,YES
PastaC10_false-no-overflow_false-termination.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
Piecewise_true-no-overflow_true-termination_true-valid-memsafety.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination-modif1.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination-modif2.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif1.c,terminating,error,,terminating,Failed: Not Decreasing,terminating,YES
PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif2.c,terminating,terminating,Failed: Not Decreasing,error,,terminating,YES
PodelskiRybalchenko-LICS2004-Fig2_true-termination-simpl.c,terminating,terminating,Verified,terminating,Skipped,terminating,YES
PodelskiRybalchenko-LICS2004-Fig2_true-termination.c,terminating,error,,error,,terminating,YES
PodelskiRybalchenko-TACAS2011-Fig4_true-termination_true-no-overflow.c,terminating,terminating,Error: Unknown verification output...,terminating,Verified,terminating,YES
PodelskiRybalchenko-TACAS2011-broken-Fig3_true-termination.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
PodelskiRybalchenko-VMCAI2004-Ex1_false-no-overflow-version.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
PodelskiRybalchenko-VMCAI2004-Ex1_false-no-overflow.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
PodelskiRybalchenko-simpl1.c,terminating,terminating,Skipped,terminating,Skipped,unknown,MAYBE
PodelskiRybalchenko-simpl2.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
PodelskiRybalchenko-simpl3.c,terminating,terminating,Verified,terminating,Verified,terminating,YES
Problem00_label00_true-unreach-call-nonterm-toy.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Invariants Not Inductive,non-terminating,NO
Problem00_label00_true-unreach-call-toy.c,terminating,terminating,Skipped,terminating,Failed: Invariants Not Inductive,terminating,YES
Pure2Phase_false-no-overflow.c,terminating,non-terminating,Error: Unknown verification output...,terminating,Failed: Not Decreasing,terminating,YES
Pure2Phase_true-termination_true-valid-memsafety.c,terminating,terminating,Failed: Not Decreasing,non-terminating,Error: Unknown verification output...,terminating,YES
Pure3Phase_false-no-overflow.c,terminating,non-terminating,Skipped,terminating,Error: Unknown verification output...,unknown,MAYBE
Singapore_false-no-overflow-broken.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Skipped,non-terminating,NO
Singapore_false-no-overflow-broken2.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: No ranking function provided,unknown,MAYBE
Singapore_false-no-overflow-version.c,terminating,terminating,Failed: Not Decreasing,terminating,Failed: Not Decreasing,terminating,YES
Singapore_false-no-overflow.c,terminating,terminating,Failed: Not Decreasing,terminating,Skipped,terminating,YES
Singapore_plus_false-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
Singapore_v1_false-termination_true-valid-memsafety.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,non-terminating,NO
Singapore_v2_false-termination_true-valid-memsafety.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: No Ranking Function Provided,unknown,MAYBE
Sunset_false-termination_true-no-overflow.c,non-terminating,terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
Swingers_false-termination_true-no-overflow-version-1.c,non-terminating,terminating,Failed: Not Decreasing,non-terminating,Skipped,unknown,FAILED
Swingers_false-termination_true-no-overflow-version-2.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,unknown,MAYBE
Swingers_false-termination_true-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Skipped,unknown,MAYBE
TelAviv-Amir-Minimum-alloca_true-termination.c,terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,terminating,YES
Thun_false-no-overflow.c,terminating,terminating,Skipped,terminating,Skipped,terminating,YES
Toulouse-BranchesToLoop-alloca_true-termination.c,terminating,terminating,Skipped,terminating,Skipped,terminating,YES
UpAndDownIneq_false-termination_true-no-overflow.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
UpAndDown_false-termination_true-no-overflow.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
Urban-WST2013-Fig1_false-termination_true-no-overflow.c,non-terminating,non-terminating,Skipped,non-terminating,Failed: Not Terminating (Infinite Loop Possible),non-terminating,NO
UrbanMine-ESOP2014-Fig3_true-termination_true-no-overflow.c,terminating,error,,non-terminating,Skipped,terminating,YES
WhileSingle_false-termination_true-no-overflow.c,non-terminating,non-terminating,Failed: Not Decreasing,non-terminating,Failed: Not Decreasing,non-terminating,NO
