file,result,error,time_taken
"TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig7b_true-termination.c",YES,"",0.37
"TPDB_Y2024_filtered_VBS/Stroeder_15/HeizmannHoenickeLeikePodelski-ATVA2013-Fig1_true-termination.c",Maybe,"",0.88
"TPDB_Y2024_filtered_VBS/Stroeder_15/Toulouse-MultiBranchesToLoop_true-termination.c",Maybe,"",1.63
"TPDB_Y2024_filtered_VBS/Stroeder_15/Pure3Phase_true-termination.c",Maybe,"",1.07
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c",YES,"",0.24
"TPDB_Y2024_filtered_VBS/Stroeder_15/Ex04.c",Maybe,"",0.08
"TPDB_Y2024_filtered_VBS/Stroeder_15/NonTermination1_false-termination.c",Maybe,"",0.19
"TPDB_Y2024_filtered_VBS/Stroeder_15/Pure2Phase_true-termination.c",Maybe,"",0.33
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_ex2.c",Maybe,"",0.72
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c",Maybe,"",0.75
"TPDB_Y2024_filtered_VBS/Stroeder_15/WhileTrue_false-termination.c",Maybe,"",0.08
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB7.c",YES,"",0.11
"TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple6_false-termination.c",Maybe,"",0.33
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.05.c",Maybe,"",6.50
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.10.c",Maybe,"",0.65
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c",YES,"",0.30
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c",Maybe,"",0.57
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c",YES,"",0.25
"TPDB_Y2024_filtered_VBS/Stroeder_15/UpAndDownIneq.c",Maybe,"",0.18
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.11.c",YES,"",0.25
"TPDB_Y2024_filtered_VBS/Stroeder_15/HeizmannHoenickeLeikePodelski-ATVA2013-Fig4_true-termination.c",YES,"",0.13
"TPDB_Y2024_filtered_VBS/Stroeder_15/Lobnya-Boolean-Reordered_true-termination.c",Maybe,"",0.50
"TPDB_Y2024_filtered_VBS/Stroeder_15/Ex08.c",Maybe,"",0.42
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c",Failed,"Unexpected output: 2LS version 0.10.0
Parsing /root/term/TerminationDatabase/TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c
Converting
Type-checking AliasDarteFeautrierGo...",0.22
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c",Maybe,"",1.20
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.01_true-termination.c",Maybe,"",0.32
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c",YES,"",0.76
"TPDB_Y2024_filtered_VBS/Stroeder_15/Narrowing.c",Maybe,"",0.38
"TPDB_Y2024_filtered_VBS/Stroeder_15/GulavaniGulwani-CAV2008-Fig1a_true-termination.c",YES,"",0.22
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Fig1_true-termination.c",YES,"",0.94
"TPDB_Y2024_filtered_VBS/Stroeder_15/Waldkirch_true-termination.c",YES,"",0.12
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c",Maybe,"",0.30
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c",YES,"",0.24
"TPDB_Y2024_filtered_VBS/Stroeder_15/collatz.c",Maybe,"",2.27
"TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-TACAS2014-Ex9_true-termination.c",YES,"",0.20
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c",YES,"",0.30
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB6.c",YES,"",0.15
"TPDB_Y2024_filtered_VBS/Stroeder_15/NO_03.c",Maybe,"",0.20
"TPDB_Y2024_filtered_VBS/Stroeder_15/DivMinus2.c",Maybe,"",1.45
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB2.c",YES,"",0.18
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB3.c",Maybe,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c",YES,"",0.09
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA4.c",YES,"",0.13
"TPDB_Y2024_filtered_VBS/Stroeder_15/genady_true-termination.c",YES,"",0.21
"TPDB_Y2024_filtered_VBS/Stroeder_15/Thun_true-termination.c",Maybe,"",0.54
"TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-WST2014-Ex6_false-termination.c",Maybe,"",0.74
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c",Maybe,"",0.55
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaC2.c",Maybe,"",0.46
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_c.07.c",YES,"",0.38
"TPDB_Y2024_filtered_VBS/Stroeder_15/MirrorIntervSim.c",Maybe,"",0.13
"TPDB_Y2024_filtered_VBS/Stroeder_15/UrbanMine-ESOP2014-Fig3_true-termination.c",Maybe,"",0.36
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.04.c",YES,"",0.27
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_easySum.c",YES,"",0.24
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c",YES,"",0.21
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.04.c",YES,"",0.16
"TPDB_Y2024_filtered_VBS/Stroeder_15/GulavaniGulwani-CAV2008-Fig1c_true-termination.c",YES,"",0.19
"TPDB_Y2024_filtered_VBS/Stroeder_15/gcd1_true-termination.c",YES,"",0.45
"TPDB_Y2024_filtered_VBS/Stroeder_15/NoriSharma-FSE2013-Fig7_true-termination.c",Maybe,"",9.60
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c",Maybe,"",0.67
"TPDB_Y2024_filtered_VBS/Stroeder_15/ColonSipma-TACAS2001-Fig1_true-termination.c",YES,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c",Maybe,"",0.99
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c",Maybe,"",0.29
"TPDB_Y2024_filtered_VBS/Stroeder_15/Masse-VMCAI2014-Ex6_true-termination.c",YES,"",0.24
"TPDB_Y2024_filtered_VBS/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c",Maybe,"",0.82
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.14.c",YES,"",0.61
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.09-no-inv_assume.c",Maybe,"",5.87
"TPDB_Y2024_filtered_VBS/Stroeder_15/Factorial.c",Maybe,"",0.80
"TPDB_Y2024_filtered_VBS/Stroeder_15/Cousot.c",Maybe,"",0.09
"TPDB_Y2024_filtered_VBS/Stroeder_15/Rotation180_false-termination.c",Maybe,"",0.18
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c",Maybe,"",0.72
"TPDB_Y2024_filtered_VBS/Stroeder_15/Sequence.c",YES,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_c.02.c",YES,"",0.41
"TPDB_Y2024_filtered_VBS/Stroeder_15/GCD4.c",YES,"",0.52
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_ex1.c",YES,"",0.20
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_java_AG313.c",YES,"",0.25
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c",YES,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c",YES,"",0.41
"TPDB_Y2024_filtered_VBS/Stroeder_15/GulavaniGulwani-CAV2008-Fig1b_true-termination.c",YES,"",0.31
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c",Maybe,"",9.33
"TPDB_Y2024_filtered_VBS/Stroeder_15/GCD2.c",Maybe,"",0.81
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaC3.c",YES,"",0.18
"TPDB_Y2024_filtered_VBS/Stroeder_15/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c",Maybe,"",0.54
"TPDB_Y2024_filtered_VBS/Stroeder_15/ConvLower.c",Maybe,"",0.11
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c",Maybe,"",0.16
"TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-LICS2004-Fig2-TACAS2011-Fig3_true-termination.c",Maybe,"",76.54
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB14.c",YES,"",0.41
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.08.c",YES,"",0.24
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.21_true-termination.c",YES,"",0.22
"TPDB_Y2024_filtered_VBS/Stroeder_15/McCarthyIterative.c",YES,"",0.18
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.07.c",YES,"",0.23
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c",Maybe,"",4.67
"TPDB_Y2024_filtered_VBS/Stroeder_15/AlternDivWide.c",Maybe,"",0.26
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c",Maybe,"",0.56
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c",Maybe,"",0.81
"TPDB_Y2024_filtered_VBS/Stroeder_15/PlusSwap.c",YES,"",0.37
"TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-TACAS2014-Ex7_true-termination.c",YES,"",0.29
"TPDB_Y2024_filtered_VBS/Stroeder_15/Velroyen_false-termination.c",Maybe,"",0.10
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c",YES,"",0.91
"TPDB_Y2024_filtered_VBS/Stroeder_15/Madrid_false-termination.c",Maybe,"",0.09
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB15.c",YES,"",0.27
"TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-LICS2004-Fig1_true-termination.c",Maybe,"",0.16
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c",Maybe,"",1.45
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c",Maybe,"",0.11
"TPDB_Y2024_filtered_VBS/Stroeder_15/LogAG.c",Maybe,"",1.39
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_c.01_assume.c",Maybe,"",0.29
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c",YES,"",0.14
"TPDB_Y2024_filtered_VBS/Stroeder_15/Marbie2.c",Maybe,"",0.07
"TPDB_Y2024_filtered_VBS/Stroeder_15/Mysore_true-termination.c",Maybe,"",0.57
"TPDB_Y2024_filtered_VBS/Stroeder_15/NO_02.c",Maybe,"",0.20
"TPDB_Y2024_filtered_VBS/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig1_true-termination.c",YES,"",0.21
"TPDB_Y2024_filtered_VBS/Stroeder_15/WhileSingle.c",Maybe,"",0.10
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c",Maybe,"",0.43
"TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-TACAS2011-Fig1_true-termination.c",YES,"",0.13
"TPDB_Y2024_filtered_VBS/Stroeder_15/Gauss.c",Maybe,"",0.52
"TPDB_Y2024_filtered_VBS/Stroeder_15/LogMult.c",Maybe,"",0.96
"TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c",Maybe,"",0.49
"TPDB_Y2024_filtered_VBS/Stroeder_15/WhilePart.c",Maybe,"",0.12
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c",Maybe,"",0.32
"TPDB_Y2024_filtered_VBS/Stroeder_15/Bangalore_true-termination.c",YES,"",0.14
