file,result_2ls_SVComp_copy1,time_taken_2ls_SVComp_copy1,result_2ls_SVComp_copy3-2,time_taken_2ls_SVComp_copy3-2,consistency
SVComp_C/ldv-sets/test_mutex_double_lock.c,Failed,0.03,,,Miss
SVComp_C/list-ext2-properties/list_and_tree_cnstr-2.c,Maybe,15.74,Maybe,15.67,True
SVComp_C/list-ext2-properties/list_and_tree_cnstr-1.c,Maybe,16.31,Maybe,15.89,True
SVComp_C/signedintegeroverflow-regression/UsualArithmeticConversions.c,YES,0.16,YES,0.2,True
SVComp_C/signedintegeroverflow-regression/Multiplication-1.c,YES,0.18,YES,0.17,True
SVComp_C/signedintegeroverflow-regression/ConversionToSignedInt.c,YES,0.14,YES,0.17,True
SVComp_C/signedintegeroverflow-regression/IntegerPromotion-1.c,YES,0.18,YES,0.18,True
SVComp_C/signedintegeroverflow-regression/NoNegativeIntegerConstant.c,YES,0.34,YES,0.46,True
SVComp_C/psyco/psyco_abp_1-1.c,Maybe,45.23,Maybe,42.68,True
SVComp_C/psyco/psyco_security.c,Maybe,10.34,Maybe,10.32,True
SVComp_C/psyco/psyco_abp_1-3.c,Maybe,35.67,Maybe,33.33,True
SVComp_C/psyco/psyco_net_1.c,TIMEOUT,304.74,TIMEOUT,308.13,True
SVComp_C/psyco/psyco_io_1.c,Maybe,10.41,Maybe,11.31,True
SVComp_C/loop-simple/nested_6.c,Maybe,2.7,Maybe,2.78,True
SVComp_C/loop-simple/nested_1b.c,Maybe,0.16,Maybe,0.17,True
SVComp_C/loop-simple/deep-nested.c,Maybe,0.79,Maybe,0.82,True
SVComp_C/loop-simple/nested_2.c,Maybe,0.43,Maybe,0.43,True
SVComp_C/loop-simple/nested_4.c,Maybe,1.33,Maybe,1.23,True
SVComp_C/loop-simple/nested_1.c,Maybe,0.22,Maybe,0.22,True
SVComp_C/loop-simple/nested_5.c,Maybe,1.52,Maybe,1.52,True
SVComp_C/loop-simple/nested_3.c,Maybe,0.76,Maybe,0.76,True
SVComp_C/ldv-regression/test_malloc-2.c,YES,0.23,YES,0.17,True
SVComp_C/ldv-regression/test26-1.c,Maybe,0.24,Maybe,0.23,True
SVComp_C/ldv-regression/test12.c,Maybe,0.17,Maybe,0.14,True
SVComp_C/ldv-regression/test14.c,Maybe,0.43,Maybe,0.31,True
SVComp_C/ldv-regression/test02.c,Maybe,0.08,Maybe,0.09,True
SVComp_C/ldv-regression/test06.c,YES,0.43,YES,0.3,True
SVComp_C/ldv-regression/test_union_cast-1.c,YES,0.14,YES,0.14,True
SVComp_C/ldv-regression/test25-1.c,Maybe,1.39,Maybe,1.41,True
SVComp_C/ldv-regression/fo_test.c,Maybe,4.61,Maybe,4.07,True
SVComp_C/ldv-regression/test15.c,Maybe,0.18,Maybe,0.18,True
SVComp_C/ldv-regression/test28-1.c,Maybe,0.1,Maybe,0.1,True
SVComp_C/ldv-regression/test27-1.c,Maybe,3.4,Maybe,4.18,True
SVComp_C/ldv-regression/rule60_list.c,Maybe,0.6,Maybe,0.43,True
SVComp_C/ldv-regression/test07.c,Maybe,0.63,Maybe,0.63,True
SVComp_C/ldv-regression/test01.c,YES,0.2,YES,0.18,True
SVComp_C/ldv-regression/test30-1.c,Maybe,0.34,Maybe,0.32,True
SVComp_C/ldv-regression/test05.c,Maybe,0.29,Maybe,0.27,True
SVComp_C/ldv-regression/test21-2.c,Maybe,0.51,Maybe,0.36,True
SVComp_C/ldv-regression/nested_structure_noptr-1.c,YES,0.14,YES,0.11,True
SVComp_C/ldv-regression/stateful_check.c,Maybe,1.45,Maybe,1.0,True
SVComp_C/ldv-regression/test10.c,Maybe,0.38,Maybe,0.28,True
SVComp_C/ldv-regression/test16.c,Maybe,0.49,Maybe,0.36,True
SVComp_C/ldv-regression/test29-1.c,Maybe,0.12,Maybe,0.11,True
SVComp_C/ldv-regression/test08.c,YES,0.8,YES,0.57,True
SVComp_C/ldv-regression/test13.c,Maybe,0.45,Maybe,0.34,True
SVComp_C/ldv-regression/sizeofparameters_test.c,Failed,0.76,Failed,0.58,True
SVComp_C/ldv-regression/test20.c,Maybe,0.17,Maybe,0.15,True
SVComp_C/ldv-regression/test_address.c,Maybe,0.16,Maybe,0.15,True
SVComp_C/ldv-regression/nested_structure_ptr-2.c,YES,0.14,YES,0.11,True
SVComp_C/ldv-regression/test29-2.c,YES,0.11,YES,0.09,True
SVComp_C/ldv-regression/alt_test.c,Failed,0.28,,,Miss
SVComp_C/ldv-regression/test_malloc-1.c,YES,0.63,YES,0.45,True
SVComp_C/ldv-regression/test03.c,Maybe,0.36,Maybe,0.26,True
SVComp_C/ldv-regression/test09.c,Maybe,0.64,Maybe,0.45,True
SVComp_C/ldv-regression/test11.c,Maybe,0.7,Maybe,0.67,True
SVComp_C/ldv-regression/test19.c,Maybe,0.38,Maybe,0.28,True
SVComp_C/ldv-regression/rule60_list2.c,Maybe,0.26,Maybe,0.26,True
SVComp_C/ldv-regression/test17.c,Maybe,0.16,Maybe,0.13,True
SVComp_C/ldv-regression/test04.c,Maybe,0.32,Maybe,0.32,True
SVComp_C/ldv-regression/nested_structure-2.c,YES,0.14,YES,0.11,True
SVComp_C/ldv-regression/test_union_cast-2.c,YES,0.13,YES,0.13,True
SVComp_C/ldv-regression/test26-2.c,Maybe,0.23,Maybe,0.22,True
SVComp_C/ldv-regression/test18.c,Maybe,0.2,Maybe,0.2,True
SVComp_C/ldv-regression/test24-1.c,Maybe,0.74,Maybe,0.73,True
SVComp_C/ldv-regression/test28-2.c,YES,0.12,YES,0.11,True
SVComp_C/ldv-regression/test30-2.c,Maybe,0.33,Maybe,0.32,True
SVComp_C/ldv-regression/test21-1.c,Maybe,0.51,Maybe,0.51,True
SVComp_C/ldv-regression/test_overflow.c,Failed,1.41,,,Miss
SVComp_C/ldv-regression/rule60_list2.c_1.c,Maybe,0.28,Maybe,0.26,True
SVComp_C/loop-invariants/bin-suffix-5.c,Maybe,0.25,Maybe,0.24,True
SVComp_C/loop-invariants/eq2.c,Maybe,0.28,Maybe,0.28,True
SVComp_C/loop-invariants/mod4.c,Maybe,0.25,Maybe,0.25,True
SVComp_C/loop-invariants/const.c,Maybe,0.4,Maybe,0.39,True
SVComp_C/loop-invariants/eq1.c,Maybe,0.5,Maybe,0.5,True
SVComp_C/loop-invariants/linear-inequality-inv-b.c,Maybe,0.21,Maybe,0.21,True
SVComp_C/loop-invariants/even.c,Maybe,0.27,Maybe,0.89,True
SVComp_C/loop-invariants/odd.c,Maybe,0.23,Maybe,0.24,True
SVComp_C/loop-invariants/linear-inequality-inv-a.c,Maybe,0.34,Maybe,0.36,True
SVComp_C/loop-invariants/linear-inequality-inv-c.c,Maybe,0.43,Maybe,0.42,True
SVComp_C/memsafety-ext/tree_stack.c,Maybe,0.86,Maybe,0.87,True
SVComp_C/memsafety-ext/tree_parent_ptr.c,Maybe,1.26,Maybe,1.25,True
SVComp_C/memsafety-ext/tree_cnstr.c,Maybe,0.98,Maybe,0.98,True
SVComp_C/memsafety-ext/tree_dsw.c,Maybe,1.12,Maybe,1.12,True
SVComp_C/termination-restricted-15/java_Continue1.c,YES,0.22,YES,0.21,True
SVComp_C/termination-restricted-15/a.09_assume.c,YES,0.13,YES,0.16,True
SVComp_C/termination-restricted-15/NO_01.c,Maybe,0.12,Maybe,0.11,True
SVComp_C/termination-restricted-15/WhileDecr.c,YES,0.11,YES,0.12,True
SVComp_C/termination-restricted-15/GCD3.c,YES,0.68,YES,0.68,True
SVComp_C/termination-restricted-15/NO_00.c,Maybe,0.14,Maybe,0.12,True
SVComp_C/termination-restricted-15/a.05.c,YES,0.13,YES,0.13,True
SVComp_C/termination-restricted-15/java_Break.c,YES,0.22,YES,0.21,True
SVComp_C/termination-restricted-15/c.03.c,YES,0.2,YES,0.2,True
SVComp_C/termination-restricted-15/c.01_assume.c,YES,0.2,YES,0.2,True
SVComp_C/termination-restricted-15/Flip2.c,Maybe,1.05,Maybe,1.14,True
SVComp_C/termination-restricted-15/PastaB4.c,YES,0.22,YES,0.23,True
SVComp_C/termination-restricted-15/b.17.c,YES,0.23,YES,0.32,True
SVComp_C/termination-restricted-15/AlternKonv.c,Maybe,0.35,Maybe,0.35,True
SVComp_C/termination-restricted-15/PastaB16.c,YES,0.14,YES,0.19,True
SVComp_C/termination-restricted-15/MinusUserDefined.c,Maybe,0.65,Maybe,0.66,True
SVComp_C/termination-restricted-15/a.08.c,YES,0.14,YES,0.14,True
SVComp_C/termination-restricted-15/NO_22.c,Maybe,0.13,Maybe,0.12,True
SVComp_C/termination-restricted-15/Ex03.c,Maybe,0.15,Maybe,0.14,True
SVComp_C/termination-restricted-15/ComplInterv2.c,Maybe,0.12,Maybe,0.11,True
SVComp_C/termination-restricted-15/UpAndDown.c,Maybe,0.3,Maybe,0.31,True
SVComp_C/termination-restricted-15/c.07.c,YES,0.4,YES,0.41,True
SVComp_C/termination-restricted-15/NO_21.c,Maybe,0.13,Maybe,0.13,True
SVComp_C/termination-restricted-15/PastaB1.c,YES,0.13,YES,0.13,True
SVComp_C/termination-restricted-15/NO_04.c,Maybe,1.5,Maybe,1.56,True
SVComp_C/termination-restricted-15/ex3a.c,YES,0.24,YES,0.24,True
SVComp_C/termination-restricted-15/Ex05.c,Maybe,0.06,Maybe,0.07,True
SVComp_C/termination-restricted-15/Flip.c,Maybe,111.47,Maybe,111.42,True
SVComp_C/termination-restricted-15/PastaA1.c,YES,0.27,YES,0.26,True
SVComp_C/termination-restricted-15/NO_24.c,Maybe,0.12,Maybe,0.14,True
SVComp_C/termination-restricted-15/b.15.c,YES,0.26,YES,0.26,True
SVComp_C/termination-restricted-15/b.01.c,YES,0.13,YES,0.14,True
SVComp_C/termination-restricted-15/PastaB7.c,YES,0.09,YES,0.11,True
SVComp_C/termination-restricted-15/UpAndDownIneq.c,Maybe,0.24,Maybe,0.23,True
SVComp_C/termination-restricted-15/Ex08.c,Maybe,0.3,Maybe,0.43,True
SVComp_C/termination-restricted-15/Narrowing.c,Maybe,0.37,Maybe,0.38,True
SVComp_C/termination-restricted-15/a.07.c,YES,0.25,YES,0.25,True
SVComp_C/termination-restricted-15/java_Nested.c,YES,0.6,YES,0.59,True
SVComp_C/termination-restricted-15/c.01-no-inv.c,Maybe,0.36,Maybe,0.35,True
SVComp_C/termination-restricted-15/PastaB6.c,YES,0.16,YES,0.15,True
SVComp_C/termination-restricted-15/NO_03.c,Maybe,0.19,Maybe,0.19,True
SVComp_C/termination-restricted-15/DivMinus2.c,Maybe,1.43,Maybe,1.47,True
SVComp_C/termination-restricted-15/PastaB2.c,YES,0.2,YES,0.19,True
SVComp_C/termination-restricted-15/PastaA4.c,YES,0.18,YES,0.17,True
SVComp_C/termination-restricted-15/MirrorIntervSim.c,Maybe,0.13,Maybe,0.12,True
SVComp_C/termination-restricted-15/b.06.c,YES,0.25,YES,0.26,True
SVComp_C/termination-restricted-15/java_AG313.c,YES,0.25,YES,0.26,True
SVComp_C/termination-restricted-15/b.10.c,YES,0.17,YES,0.17,True
SVComp_C/termination-restricted-15/b.07.c,YES,0.11,YES,0.11,True
SVComp_C/termination-restricted-15/Sequence.c,YES,0.21,YES,0.22,True
SVComp_C/termination-restricted-15/GCD4.c,YES,0.52,YES,0.52,True
SVComp_C/termination-restricted-15/ex3b.c,YES,0.27,YES,0.28,True
SVComp_C/termination-restricted-15/GCD2.c,Maybe,0.79,Maybe,0.8,True
SVComp_C/termination-restricted-15/PastaC3.c,YES,0.23,YES,0.24,True
SVComp_C/termination-restricted-15/ConvLower.c,Maybe,0.11,Maybe,0.11,True
SVComp_C/termination-restricted-15/PastaB14.c,YES,0.39,YES,0.39,True
SVComp_C/termination-restricted-15/McCarthyIterative.c,YES,0.21,YES,0.19,True
SVComp_C/termination-restricted-15/PastaB15.c,YES,0.28,YES,0.27,True
SVComp_C/termination-restricted-15/b.03_assume.c,YES,0.18,YES,0.17,True
SVComp_C/termination-restricted-15/LogAG.c,Maybe,2.01,Maybe,2.01,True
SVComp_C/termination-restricted-15/Loop-2.c,Maybe,0.14,Maybe,0.13,True
SVComp_C/termination-restricted-15/java_Sequence.c,YES,0.33,YES,0.33,True
SVComp_C/termination-restricted-15/b.09-no-inv_assume.c,Maybe,6.16,Maybe,6.23,True
SVComp_C/termination-restricted-15/b.05.c,YES,0.21,YES,0.2,True
SVComp_C/termination-restricted-15/NO_02.c,Maybe,0.2,Maybe,0.15,True
SVComp_C/termination-restricted-15/WhileSingle.c,Maybe,0.1,Maybe,0.11,True
SVComp_C/termination-restricted-15/b.02.c,YES,0.18,YES,0.13,True
SVComp_C/termination-restricted-15/b.11.c,YES,0.2,YES,0.2,True
SVComp_C/termination-restricted-15/WhilePart.c,Maybe,0.13,Maybe,0.1,True
SVComp_C/termination-restricted-15/b.14.c,YES,0.61,YES,0.61,True
SVComp_C/termination-restricted-15/Log.c,YES,0.53,YES,0.54,True
SVComp_C/termination-restricted-15/IntPath.c,Maybe,0.17,Maybe,0.17,True
SVComp_C/termination-restricted-15/DivMinus.c,YES,0.3,YES,0.29,True
SVComp_C/termination-restricted-15/Sunset.c,Maybe,0.17,Maybe,0.17,True
SVComp_C/termination-restricted-15/b.18.c,YES,0.37,YES,0.38,True
SVComp_C/termination-restricted-15/PastaA7.c,YES,0.25,YES,0.25,True
SVComp_C/termination-restricted-15/b.16.c,YES,0.19,YES,0.19,True
SVComp_C/termination-restricted-15/PastaB17.c,YES,0.23,YES,0.31,True
SVComp_C/termination-restricted-15/Ex02.c,Maybe,0.11,Maybe,0.1,True
SVComp_C/termination-restricted-15/c.02.c,YES,0.16,YES,0.23,True
SVComp_C/termination-restricted-15/a.10.c,YES,0.23,YES,0.24,True
SVComp_C/termination-restricted-15/PastaA10.c,YES,0.22,YES,0.23,True
SVComp_C/termination-restricted-15/PastaC9.c,YES,0.39,YES,0.39,True
SVComp_C/termination-restricted-15/b.12.c,YES,0.2,YES,0.2,True
SVComp_C/termination-restricted-15/GCD-1.c,Maybe,36.68,Maybe,36.65,True
SVComp_C/termination-restricted-15/a.01.c,YES,0.26,YES,0.19,True
SVComp_C/termination-restricted-15/b.13.c,YES,0.14,YES,0.14,True
SVComp_C/termination-restricted-15/c.08.c,YES,0.24,YES,0.17,True
SVComp_C/termination-restricted-15/PastaC7.c,YES,0.3,YES,0.3,True
SVComp_C/termination-restricted-15/a.06.c,YES,0.18,YES,0.14,True
SVComp_C/termination-restricted-15/Swingers.c,Maybe,0.21,Maybe,0.2,True
SVComp_C/termination-restricted-15/a.04.c,YES,0.16,YES,0.16,True
SVComp_C/termination-restricted-15/TwoFloatInterv.c,Maybe,0.14,Maybe,0.14,True
SVComp_C/termination-restricted-15/NarrowKonv.c,Maybe,0.18,Maybe,0.18,True
SVComp_C/termination-restricted-15/NO_13.c,Maybe,0.57,Maybe,0.56,True
SVComp_C/termination-restricted-15/MinusBuiltIn.c,YES,0.11,YES,0.1,True
SVComp_C/termination-restricted-15/Ex06.c,Maybe,0.14,Maybe,0.14,True
SVComp_C/termination-restricted-15/NO_23.c,Maybe,0.1,Maybe,0.1,True
SVComp_C/termination-restricted-15/b.09_assume.c,YES,0.21,YES,0.21,True
SVComp_C/termination-restricted-15/Nested-2.c,YES,0.29,YES,0.29,True
SVComp_C/termination-restricted-15/Ex07.c,Maybe,0.13,Maybe,0.11,True
SVComp_C/termination-restricted-15/b.04.c,YES,0.16,YES,0.15,True
SVComp_C/termination-restricted-15/b.03-no-inv_assume.c,YES,0.13,YES,0.11,True
SVComp_C/ldv-linux-3.0/module_get_put-drivers-bluetooth-btmrvl.ko.cil.out.c,Failed,0.06,Failed,0.05,True
SVComp_C/ldv-linux-3.0/module_get_put-drivers-net-pppox.ko.cil.out.c,Failed,0.05,Failed,0.05,True
SVComp_C/floats-cbmc-regression/float22.c,Maybe,0.33,Maybe,0.31,True
SVComp_C/floats-cbmc-regression/float20.c,TIMEOUT,300.11,,,Miss
SVComp_C/floats-cbmc-regression/float1.c,YES,0.13,YES,0.13,True
SVComp_C/floats-cbmc-regression/float12.c,Maybe,0.13,Maybe,0.11,True
SVComp_C/floats-cbmc-regression/float6.c,Maybe,0.14,Maybe,0.14,True
SVComp_C/floats-cbmc-regression/float2.c,Maybe,0.12,Maybe,0.11,True
SVComp_C/floats-cbmc-regression/float-to-double2.c,YES,0.09,YES,0.08,True
SVComp_C/floats-cbmc-regression/float-no-simp1.c,YES,0.11,YES,0.11,True
SVComp_C/floats-cbmc-regression/float11.c,YES,0.13,YES,0.11,True
SVComp_C/floats-cbmc-regression/float-no-simp6.c,Maybe,0.11,Maybe,0.09,True
SVComp_C/floats-cbmc-regression/float-no-simp3.c,Maybe,0.15,Maybe,0.13,True
SVComp_C/floats-cbmc-regression/float-no-simp7.c,Maybe,0.21,Maybe,0.2,True
SVComp_C/floats-cbmc-regression/float13.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/floats-cbmc-regression/float-zero-sum1.c,Maybe,0.37,Maybe,0.37,True
SVComp_C/floats-cbmc-regression/float3.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/floats-cbmc-regression/float5.c,Maybe,0.12,Maybe,0.12,True
SVComp_C/locks/test_locks_8.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/locks/test_locks_7.c,TIMEOUT,300.08,TIMEOUT,300.11,True
SVComp_C/locks/test_locks_12.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/locks/test_locks_14-2.c,Maybe,1.91,Maybe,1.6,True
SVComp_C/locks/test_locks_6.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/locks/test_locks_15-1.c,Maybe,2.37,Maybe,2.35,True
SVComp_C/locks/test_locks_5.c,TIMEOUT,300.02,TIMEOUT,300.11,True
SVComp_C/locks/test_locks_11.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/locks/test_locks_14-1.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/locks/test_locks_10.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/locks/test_locks_15-2.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/locks/test_locks_13.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/locks/test_locks_9.c,TIMEOUT,300.11,TIMEOUT,300.11,True
SVComp_C/list-ext-properties/simple-ext.c,Maybe,6.6,Maybe,6.56,True
SVComp_C/list-ext-properties/test-0158_1-1.c,YES,0.29,YES,0.29,True
SVComp_C/list-ext-properties/test-0019_1-2.c,YES,0.46,YES,0.44,True
SVComp_C/list-ext-properties/test-0019_1-1.c,YES,0.63,YES,0.45,True
SVComp_C/list-ext-properties/test-0158_1-2.c,YES,0.53,YES,0.38,True
SVComp_C/list-ext-properties/test-0232_1-1.c,Maybe,3.39,Maybe,2.77,True
SVComp_C/list-ext-properties/test-0232_1-2.c,Maybe,1.68,Maybe,1.71,True
SVComp_C/termination-bwb/not-01.c,YES,0.22,YES,0.16,True
SVComp_C/termination-bwb/parity1.c,YES,0.26,YES,0.36,True
SVComp_C/termination-bwb/counting-bits-BK1.c,YES,0.35,YES,0.26,True
SVComp_C/termination-bwb/counting-bits-set.c,YES,0.38,YES,0.38,True
SVComp_C/termination-bwb/counting-bits-BK.c,YES,0.31,YES,0.29,True
SVComp_C/termination-bwb/and-05-false.c,Maybe,0.22,Maybe,0.29,True
SVComp_C/termination-bwb/or-05-false.c,Maybe,0.15,Maybe,0.13,True
SVComp_C/termination-bwb/and-04.c,YES,0.14,YES,0.14,True
SVComp_C/termination-bwb/not-05-false.c,Maybe,0.26,Maybe,0.19,True
SVComp_C/termination-bwb/consecutive-zero-bits-trailing.c,YES,0.18,YES,0.17,True
SVComp_C/termination-bwb/and-02.c,Maybe,0.54,Maybe,0.54,True
SVComp_C/termination-bwb/not-04.c,Maybe,0.3,Maybe,0.22,True
SVComp_C/termination-bwb/not-05.c,YES,0.15,YES,0.14,True
SVComp_C/termination-bwb/not-02.c,Maybe,2.99,Maybe,3.34,True
SVComp_C/termination-bwb/not-03-false.c,Maybe,0.17,Maybe,0.18,True
SVComp_C/termination-bwb/not-03.c,YES,0.14,YES,0.14,True
SVComp_C/termination-bwb/not-02-false.c,Maybe,0.28,Maybe,0.28,True
SVComp_C/termination-bwb/and-06.c,Maybe,0.3,Maybe,0.31,True
SVComp_C/termination-bwb/and-03-false.c,Maybe,0.14,Maybe,0.11,True
SVComp_C/termination-bwb/and-01.c,Maybe,0.2,Maybe,0.26,True
SVComp_C/termination-bwb/or-01.c,Maybe,2.46,Maybe,2.22,True
SVComp_C/termination-bwb/or-02.c,Maybe,0.38,Maybe,0.54,True
SVComp_C/termination-bwb/parity0.c,YES,0.23,YES,0.23,True
SVComp_C/termination-bwb/xor-01.c,YES,0.15,YES,0.16,True
SVComp_C/termination-bwb/or-04.c,Maybe,0.26,Maybe,0.35,True
SVComp_C/termination-bwb/or-06.c,YES,0.11,YES,0.14,True
SVComp_C/termination-bwb/and-assume.c,Maybe,0.26,Maybe,0.2,True
SVComp_C/termination-bwb/and-05.c,YES,0.11,YES,0.14,True
SVComp_C/termination-bwb/not-04-false.c,Maybe,0.16,Maybe,0.15,True
SVComp_C/termination-bwb/and-03.c,Maybe,0.13,Maybe,0.17,True
SVComp_C/termination-bwb/and-04-false.c,Maybe,0.37,Maybe,0.37,True
SVComp_C/termination-bwb/or-05.c,Maybe,0.38,Maybe,0.38,True
SVComp_C/termination-bwb/reverse-bits1.c,Maybe,1.1,Maybe,1.11,True
SVComp_C/termination-bwb/or-03.c,YES,0.18,YES,0.23,True
SVComp_C/loop-invgen/sendmail-close-angle.c,Maybe,12.04,Maybe,12.17,True
SVComp_C/loop-invgen/NetBSD_loop.c,YES,0.19,YES,0.18,True
SVComp_C/loop-invgen/nested6.c,Failed,0.05,,,Miss
SVComp_C/loop-invgen/apache-escape-absolute.c,Failed,0.05,,,Miss
SVComp_C/loop-invgen/id_trans.c,YES,0.2,YES,0.15,True
SVComp_C/loop-invgen/seq-3.c,Failed,0.05,,,Miss
SVComp_C/loop-invgen/up.c,YES,0.45,YES,0.32,True
SVComp_C/loop-invgen/SpamAssassin-loop.c,Maybe,0.7,Maybe,0.7,True
SVComp_C/loop-invgen/nest-if3.c,Failed,0.05,,,Miss
SVComp_C/loop-invgen/fragtest_simple.c,Failed,0.05,,,Miss
SVComp_C/loop-invgen/down.c,YES,0.34,YES,0.24,True
SVComp_C/loop-invgen/string_concat-noarr.c,Failed,0.05,,,Miss
SVComp_C/loop-invgen/MADWiFi-encode_ie_ok.c,Failed,0.05,,,Miss
SVComp_C/loop-invgen/large_const.c,YES,0.54,YES,0.39,True
SVComp_C/loop-invgen/half_2.c,Failed,0.05,,,Miss
SVComp_C/loop-invgen/nested9.c,Failed,0.05,,,Miss
SVComp_C/loop-invgen/apache-get-tag.c,Maybe,0.66,Maybe,0.67,True
SVComp_C/loop-invgen/id_build.c,YES,0.3,YES,0.3,True
SVComp_C/loop-invgen/heapsort.c,Failed,0.04,,,Miss
SVComp_C/loops/insertion_sort-2-2.c,Maybe,2.42,Maybe,2.14,True
SVComp_C/loops/sum04-2.c,Maybe,0.39,Maybe,0.42,True
SVComp_C/loops/trex02-2.c,Maybe,0.39,Maybe,0.55,True
SVComp_C/loops/terminator_02-2.c,YES,0.47,YES,0.46,True
SVComp_C/loops/while_infinite_loop_2.c,Maybe,0.1,Maybe,0.1,True
SVComp_C/loops/sum03-1.c,Maybe,0.2,Maybe,0.27,True
SVComp_C/loops/trex04.c,Maybe,1.28,Maybe,1.27,True
SVComp_C/loops/while_infinite_loop_3.c,Maybe,0.13,Maybe,0.15,True
SVComp_C/loops/trex03-2.c,YES,0.29,YES,0.28,True
SVComp_C/loops/eureka_05.c,Failed,0.22,,,Miss
SVComp_C/loops/veris.c_OpenSER_cases1_stripFullBoth_arr.c,Maybe,1.76,Maybe,1.21,True
SVComp_C/loops/count_up_down-1.c,Maybe,0.24,Maybe,0.24,True
SVComp_C/loops/invert_string-1.c,Maybe,1.8,Maybe,1.71,True
SVComp_C/loops/terminator_03-2.c,YES,0.2,YES,0.19,True
SVComp_C/loops/trex03-1.c,Maybe,0.28,Maybe,0.22,True
SVComp_C/loops/while_infinite_loop_4.c,Maybe,0.16,Maybe,0.16,True
SVComp_C/loops/count_up_down-2.c,Maybe,0.2,Maybe,0.15,True
SVComp_C/loops/string-2.c,Maybe,1.81,Maybe,1.91,True
SVComp_C/loops/n.c11.c,Maybe,0.19,Maybe,0.15,True
SVComp_C/loops/string-1.c,Maybe,1.86,Maybe,1.37,True
SVComp_C/loops/nec11.c,Maybe,0.31,Maybe,0.24,True
SVComp_C/loops/trex01-1.c,Maybe,0.48,Maybe,0.68,True
SVComp_C/loops/matrix-1.c,Maybe,0.97,Maybe,0.68,True
SVComp_C/loops/sum03-2.c,Maybe,0.14,Maybe,0.18,True
