file,config,verification_result,ranking_functions,invariants,nontermination,total_time,analysis_time,cpu_time,used_heap,termination_config,analysis_name,output_dir,relative_path
39.c,lasso,FALSE,"Ranking function f(main::c, main::n) = -1*main::c + 1*main::n; Ranking function f(main::c, main::n) = -1*main::c + 1*main::n",Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::n=0, main::__CPAchecker_TMP_0=0} Honda state: {main::c=1, main::n=1, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::c=0, main::n=0, main::__CPAchecker_TMP_0=0}, {main::c=0, main::n=0, main::__CPAchecker_TMP_0=0}, {main::c=0, main::n=0, main::__CPAchecker_TMP_0=0}] Lambdas: [1, 1, 1] Nus: [1, 1]",1.245s,0.484s,4.090s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/39.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/39.c
45.c,lasso,FALSE,"Ranking function f(main::c, main::n) = -1*main::c + 1*main::n; Ranking function f(main::c, main::n) = -1*main::c + 1*main::n",Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0} Honda state: {main::c=1, main::n=1, main::__CPAchecker_TMP_1=-1, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=-1, main::n=-1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=1, main::n=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}] Lambdas: [1, 1, 1] Nus: [1, 1]",1.248s,0.506s,4.090s,273MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/45.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/45.c
46.c,lasso,FALSE,"Ranking function f(main::c, main::n) = -1*main::c + 1*main::n; Ranking function f(main::c, main::n) = -1*main::c + 1*main::n",Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0} Honda state: {main::c=1, main::n=1, main::__CPAchecker_TMP_1=-1, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=-1, main::n=-1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=1, main::n=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}] Lambdas: [1, 1, 1] Nus: [1, 1]",1.257s,0.508s,4.210s,275MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/46.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/46.c
47.c,lasso,FALSE,"Ranking function f(main::c, main::n) = -1*main::c + 1*main::n; Ranking function f(main::c, main::n) = -1*main::c + 1*main::n",Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0} Honda state: {main::c=1, main::n=1, main::__CPAchecker_TMP_1=-1, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=-1, main::n=-1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=1, main::n=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}] Lambdas: [1, 1, 1] Nus: [1, 1]",1.256s,0.511s,4.340s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/47.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/47.c
48.c,lasso,FALSE,"Ranking function f(main::c, main::n) = -1*main::c + 1*main::n; Ranking function f(main::c, main::n) = -1*main::c + 1*main::n",Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0} Honda state: {main::c=1, main::n=1, main::__CPAchecker_TMP_1=-1, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=-1, main::n=-1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=1, main::n=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}] Lambdas: [1, 1, 1] Nus: [1, 1]",1.233s,0.490s,4.160s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/48.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/48.c
49.c,lasso,FALSE,"Ranking function f(main::c, main::n) = -1*main::c + 1*main::n; Ranking function f(main::c, main::n) = -1*main::c + 1*main::n",Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0} Honda state: {main::c=1, main::n=1, main::__CPAchecker_TMP_1=-1, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=-1, main::n=-1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=1, main::n=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}] Lambdas: [1, 1, 1] Nus: [1, 1]",1.241s,0.493s,4.200s,273MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/49.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/49.c
58.c,lasso,FALSE,"Ranking function f(main::c, main::n) = -1*main::c + 1*main::n; Ranking function f(main::c, main::n) = -1*main::c + 1*main::n",Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0} Honda state: {main::c=1, main::n=1, main::__CPAchecker_TMP_1=-1, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=-1, main::n=-1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=1, main::n=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}] Lambdas: [1, 1, 1] Nus: [1, 1]",1.242s,0.509s,4.170s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/58.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/58.c
59.c,lasso,FALSE,"Ranking function f(main::c, main::n) = -1*main::c + 1*main::n; Ranking function f(main::c, main::n) = -1*main::c + 1*main::n",Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0} Honda state: {main::c=1, main::n=1, main::__CPAchecker_TMP_1=-1, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=-1, main::n=-1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=1, main::n=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}] Lambdas: [1, 1, 1] Nus: [1, 1]",1.236s,0.500s,4.190s,262MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/59.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/59.c
60.c,lasso,FALSE,"Ranking function f(main::c, main::n) = -1*main::c + 1*main::n; Ranking function f(main::c, main::n) = -1*main::c + 1*main::n",Supporting invariants [1*main::n > 0]; Supporting invariants [1*main::n > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0} Honda state: {main::c=1, main::n=1, main::__CPAchecker_TMP_1=-1, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::c=0, main::n=0, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=-1, main::n=-1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}, {main::c=1, main::n=1, main::__CPAchecker_TMP_1=0, main::__CPAchecker_TMP_0=0}] Lambdas: [1, 1, 1] Nus: [1, 1]",1.248s,0.501s,4.400s,273MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/60.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/60.c
63.c,lasso,TRUE,Ranking function f(main::x) = -12*main::x + 131,Supporting invariants [1*main::x > 0],Non-termination arguments:,1.118s,0.340s,3.610s,231MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/63.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/63.c
64.c,lasso,TRUE,Ranking function f(main::x) = -12*main::x + 131,Supporting invariants [1*main::x > 0],Non-termination arguments:,1.081s,0.317s,3.430s,241MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/64.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/64.c
65.c,lasso,TRUE,Ranking function f(main::x) = -3*main::x + 301,Supporting invariants [1*main::x > 0],Non-termination arguments:,1.093s,0.347s,3.610s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/65.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/65.c
66.c,lasso,TRUE,Ranking function f(main::x) = -3*main::x + 301,Supporting invariants [1*main::x > 0],Non-termination arguments:,1.064s,0.323s,3.440s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/66.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/66.c
71.c,lasso,FALSE,Ranking function f(main::c) = -1*main::c + 37; Ranking function f(main::c) = -3*main::c + 109,Supporting invariants [1*main::z > 0]; Supporting invariants [1*main::y > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::z=0, main::__CPAchecker_TMP_0=0, main::y=0} Honda state: {main::c=36, main::z=4608, main::__CPAchecker_TMP_0=-1, main::y=127} Generalized eigenvectors: [{main::c=0, main::z=0, main::__CPAchecker_TMP_0=0, main::y=0}, {main::c=0, main::z=0, main::__CPAchecker_TMP_0=1, main::y=0}, {main::c=0, main::z=0, main::__CPAchecker_TMP_0=-1, main::y=0}] Lambdas: [1, 0, 0] Nus: [1, 0]",210.000s,209.249s,227.390s,594MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/71.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/71.c
73.c,lasso,FALSE,Ranking function f(main::c) = -1*main::c + 37; Ranking function f(main::c) = -3*main::c + 109,Supporting invariants [1*main::z > 0]; Supporting invariants [1*main::y > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::z=0, main::__CPAchecker_TMP_0=0, main::y=0} Honda state: {main::c=36, main::z=4608, main::__CPAchecker_TMP_0=-1, main::y=127} Generalized eigenvectors: [{main::c=0, main::z=0, main::__CPAchecker_TMP_0=0, main::y=0}, {main::c=0, main::z=0, main::__CPAchecker_TMP_0=1, main::y=0}, {main::c=0, main::z=0, main::__CPAchecker_TMP_0=-1, main::y=0}] Lambdas: [1, 0, 0] Nus: [1, 0]",210.956s,210.219s,228.170s,595MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/73.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/73.c
74.c,lasso,FALSE,Ranking function f(main::c) = -1*main::c + 37; Ranking function f(main::c) = -3*main::c + 109,Supporting invariants [1*main::z > 0]; Supporting invariants [1*main::y > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::z=0, main::__CPAchecker_TMP_0=0, main::y=0} Honda state: {main::c=36, main::z=4608, main::__CPAchecker_TMP_0=-1, main::y=127} Generalized eigenvectors: [{main::c=0, main::z=0, main::__CPAchecker_TMP_0=0, main::y=0}, {main::c=0, main::z=0, main::__CPAchecker_TMP_0=1, main::y=0}, {main::c=0, main::z=0, main::__CPAchecker_TMP_0=-1, main::y=0}] Lambdas: [1, 0, 0] Nus: [1, 0]",195.396s,194.643s,213.410s,599MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/74.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/74.c
76.c,lasso,FALSE,Ranking function f(main::c) = -1*main::c + 37; Ranking function f(main::c) = -3*main::c + 109,Supporting invariants [1*main::z > 0]; Supporting invariants [1*main::y > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::c=0, main::z=0, main::__CPAchecker_TMP_0=0, main::y=0} Honda state: {main::c=36, main::z=4608, main::__CPAchecker_TMP_0=-1, main::y=127} Generalized eigenvectors: [{main::c=0, main::z=0, main::__CPAchecker_TMP_0=0, main::y=0}, {main::c=0, main::z=0, main::__CPAchecker_TMP_0=1, main::y=0}, {main::c=0, main::z=0, main::__CPAchecker_TMP_0=-1, main::y=0}] Lambdas: [1, 0, 0] Nus: [1, 0]",193.114s,192.362s,210.620s,595MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/76.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/76.c
77.c,lasso,FALSE,"Ranking function f(main::i, main::y) = -1*main::i + 1*main::y; Ranking function f(main::x, main::i) = 3*main::x - 3*main::i + 8",Supporting invariants []; Supporting invariants [-1*main::y + 1*main::x + 1 > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::y=0, main::x=0, main::i=0, main::__CPAchecker_TMP_0=0} Honda state: {main::y=0, main::x=0, main::i=0, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::y=1, main::x=0, main::i=1, main::__CPAchecker_TMP_0=0}, {main::y=-1, main::x=0, main::i=-1, main::__CPAchecker_TMP_0=1}, {main::y=0, main::x=0, main::i=0, main::__CPAchecker_TMP_0=-1}] Lambdas: [1, 0, 1] Nus: [1, 0]",1.185s,0.433s,4.010s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/77.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/77.c
78.c,lasso,FALSE,"Ranking function f(main::i, main::y) = -1*main::i + 1*main::y; Ranking function f(main::x, main::i) = 3*main::x - 3*main::i + 8",Supporting invariants []; Supporting invariants [-1*main::y + 1*main::x + 1 > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::y=0, main::x=0, main::i=0, main::__CPAchecker_TMP_0=0} Honda state: {main::y=0, main::x=0, main::i=0, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::y=1, main::x=0, main::i=1, main::__CPAchecker_TMP_0=0}, {main::y=-1, main::x=0, main::i=-1, main::__CPAchecker_TMP_0=1}, {main::y=0, main::x=0, main::i=0, main::__CPAchecker_TMP_0=-1}] Lambdas: [1, 0, 1] Nus: [1, 0]",1.203s,0.444s,4.190s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/78.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/78.c
79.c,lasso,FALSE,"Ranking function f(main::i, main::y) = -1*main::i + 1*main::y; Ranking function f(main::x, main::i) = 3*main::x - 3*main::i + 8",Supporting invariants []; Supporting invariants [-1*main::y + 1*main::x + 1 > 0],"Non-termination arguments:; Non-Termination argument consisting of: Initial state: {main::y=0, main::x=0, main::i=0, main::__CPAchecker_TMP_0=0} Honda state: {main::y=0, main::x=0, main::i=0, main::__CPAchecker_TMP_0=-1} Generalized eigenvectors: [{main::y=1, main::x=0, main::i=1, main::__CPAchecker_TMP_0=0}, {main::y=-1, main::x=0, main::i=-1, main::__CPAchecker_TMP_0=1}, {main::y=0, main::x=0, main::i=0, main::__CPAchecker_TMP_0=-1}] Lambdas: [1, 0, 1] Nus: [1, 0]",1.185s,0.433s,4.020s,252MB,lassoRankerAnalysis.properties,lassoRankerAnalysis,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/79.c_lasso_out,Datasets/Loopy_dataset_InvarBenchmark/loop_invariants/code2inv/79.c
