Filename,Relative Path,Run ID,Date Time,Duration (s),LLM Calls,Label,RAG Similarity,Invariants,Ranking Function,Z3 Result,Report Path,Error,merge_key,Category,Category_GT,CPA_Verified,verification_result
simple_vardep_1.c,loop_invariants/sv-benchmarks/loop-crafted/simple_vardep_1.c,cb5ac06a92284c8b9f4e116ba8df93fe,2025-12-15T17:51:22.759715,88.98,4.0,terminating,0.0,,0x0fffffff - k,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_175122_cb5ac06a92284c8b9f4e116ba8df93fe.json,,simple_vardep_1.c,loop_invariants,loop_invariants,False,UNKNOWN
loop3.c,loop_invariants/sv-benchmarks/loop-floats-scientific-comp/loop3.c,f54d274693e6402d998000257d21e0d3,2025-12-15T17:52:44.329878,81.57,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_175244_f54d274693e6402d998000257d21e0d3.json,,loop3.c,loop_invariants,,,
loop1-1.c,loop_invariants/sv-benchmarks/loop-floats-scientific-comp/loop1-1.c,531c7f91b501448ca2f9dc74c99bad51,2025-12-15T17:54:06.928949,82.6,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_175406_531c7f91b501448ca2f9dc74c99bad51.json,,loop1-1.c,loop_invariants,,False,UNKNOWN
loop2-2.c,loop_invariants/sv-benchmarks/loop-floats-scientific-comp/loop2-2.c,3af815d1766847a288a697813ce1ccc0,2025-12-15T17:55:51.722574,104.79,5.0,non-terminating,0.0,,,Failed: No Ranking Function Provided,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_175551_3af815d1766847a288a697813ce1ccc0.json,,loop2-2.c,loop_invariants,,,
simple_3-2.c,loop_invariants/sv-benchmarks/loop-acceleration/simple_3-2.c,,2025-12-15T17:55:56.789337,,,error,,,,,,Embedding provider error: Connection error.,simple_3-2.c,loop_invariants,loop_invariants,,
underapprox_1-2.c,loop_invariants/sv-benchmarks/loop-acceleration/underapprox_1-2.c,0177caa708944e39bb4bb625466527fb,2025-12-15T17:56:56.391051,59.6,5.0,terminating,0.0,,6 - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_175656_0177caa708944e39bb4bb625466527fb.json,,underapprox_1-2.c,loop_invariants,loop_invariants,,
simple_2-1.c,loop_invariants/sv-benchmarks/loop-acceleration/simple_2-1.c,8b75b2af59014820bd500e27da01c679,2025-12-15T17:58:33.008379,96.62,5.0,terminating,0.0,,0x0fffffff - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_175833_8b75b2af59014820bd500e27da01c679.json,,simple_2-1.c,loop_invariants,loop_invariants,,
simple_1-2.c,loop_invariants/sv-benchmarks/loop-acceleration/simple_1-2.c,1915a8397d5144348b4783e8f86379ff,2025-12-15T17:59:58.482881,85.47,4.0,terminating,0.0,,0x0fffffff - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_175958_1915a8397d5144348b4783e8f86379ff.json,,simple_1-2.c,loop_invariants,loop_invariants,,
simple_4-2.c,loop_invariants/sv-benchmarks/loop-acceleration/simple_4-2.c,1686252f0dfc4020b680f8307d0d1f6a,2025-12-15T18:01:26.946858,88.46,4.0,terminating,0.0,,x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180126_1686252f0dfc4020b680f8307d0d1f6a.json,,simple_4-2.c,loop_invariants,loop_invariants,,
diamond_1-1.c,loop_invariants/sv-benchmarks/loop-acceleration/diamond_1-1.c,05ec0b0c72ce41b7bf3dcb802e4b9ae0,2025-12-15T18:02:43.885046,76.94,4.0,terminating,0.0,,99 - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180243_05ec0b0c72ce41b7bf3dcb802e4b9ae0.json,,diamond_1-1.c,loop_invariants,,,
const_1-1.c,loop_invariants/sv-benchmarks/loop-acceleration/const_1-1.c,89b77050714f477981f82a77fde4bf0f,2025-12-15T18:04:09.535645,85.65,4.0,terminating,0.0,,1024 - y,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180409_89b77050714f477981f82a77fde4bf0f.json,,const_1-1.c,loop_invariants,loop_invariants,,
multivar_1-1.c,loop_invariants/sv-benchmarks/loop-acceleration/multivar_1-1.c,949d8ac206a342ef9ab0b3d0809998d5,2025-12-15T18:05:03.244591,53.71,4.0,terminating,0.0,y == x,1024 - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180503_949d8ac206a342ef9ab0b3d0809998d5.json,,multivar_1-1.c,loop_invariants,loop_invariants,False,UNKNOWN
diamond_2-2.c,loop_invariants/sv-benchmarks/loop-acceleration/diamond_2-2.c,9710e0abef0145d281b48062d2d3c6ad,2025-12-15T18:06:48.153283,104.91,5.0,terminating,0.0,,99 - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180648_9710e0abef0145d281b48062d2d3c6ad.json,,diamond_2-2.c,loop_invariants,,,
phases_2-2.c,loop_invariants/sv-benchmarks/loop-acceleration/phases_2-2.c,ac68633b032b4eddbe20b835ccd9dbf0,2025-12-15T18:08:30.134841,101.98,5.0,terminating,0.0,,"(y - x, x)",Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180830_ac68633b032b4eddbe20b835ccd9dbf0.json,,phases_2-2.c,loop_invariants,loop_invariants,,
overflow_1-1.c,loop_invariants/sv-benchmarks/loop-acceleration/overflow_1-1.c,e7f176e0bf6f4432827a4dec5ae541f6,2025-12-15T18:09:54.050191,83.92,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_180954_e7f176e0bf6f4432827a4dec5ae541f6.json,,overflow_1-1.c,loop_invariants,,,
underapprox_2-2.c,loop_invariants/sv-benchmarks/loop-acceleration/underapprox_2-2.c,c3253d5a603440f39bf87e6807c1aa5d,2025-12-15T18:11:11.366300,77.32,4.0,terminating,0.0,,6 - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_181111_c3253d5a603440f39bf87e6807c1aa5d.json,,underapprox_2-2.c,loop_invariants,loop_invariants,,
phases_1-1.c,loop_invariants/sv-benchmarks/loop-acceleration/phases_1-1.c,0eaaf500c6104b1aac01f4df40827e7d,2025-12-15T18:12:33.014719,81.65,4.0,terminating,0.0,,0x0fffffff - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_181233_0eaaf500c6104b1aac01f4df40827e7d.json,,phases_1-1.c,loop_invariants,loop_invariants,,
sumt8.c,loop_invariants/sv-benchmarks/loops-crafted-1/sumt8.c,f08f46bf82a9478f9ed302818356266d,2025-12-15T18:13:40.092152,67.08,4.0,terminating,0.0,,n - l,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_181340_f08f46bf82a9478f9ed302818356266d.json,,sumt8.c,loop_invariants,loop_invariants,False,UNKNOWN
sumt7.c,loop_invariants/sv-benchmarks/loops-crafted-1/sumt7.c,f28f7d701d6c43bdae2b8980a9d31a3a,2025-12-15T18:15:25.825570,105.73,4.0,terminating,0.0,,n - l,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_181525_f28f7d701d6c43bdae2b8980a9d31a3a.json,,sumt7.c,loop_invariants,loop_invariants,False,UNKNOWN
loopv3.c,loop_invariants/sv-benchmarks/loops-crafted-1/loopv3.c,b4cb5f36e52e48a6b5d5e42fe5cd2c83,2025-12-15T18:16:50.256361,84.43,4.0,terminating,0.0,i >= \old(i); i % 4 == \old(i) % 4,SIZE - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_181650_b4cb5f36e52e48a6b5d5e42fe5cd2c83.json,,loopv3.c,loop_invariants,loop_invariants,,
iftelse.c,loop_invariants/sv-benchmarks/loops-crafted-1/iftelse.c,b7297b9448c54e5291d7372f107ed3f3,2025-12-15T18:18:23.937752,93.68,4.0,terminating,0.0,,n - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_181823_b7297b9448c54e5291d7372f107ed3f3.json,,iftelse.c,loop_invariants,loop_invariants,False,UNKNOWN
loopv1.c,loop_invariants/sv-benchmarks/loops-crafted-1/loopv1.c,e01466ceaeae4ada9370ff9c4d2d6a6e,2025-12-15T18:20:14.565185,110.63,4.0,terminating,0.0,\old(i) <= i; (i - \old(i)) % 3 == 0,n - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_182014_e01466ceaeae4ada9370ff9c4d2d6a6e.json,,loopv1.c,loop_invariants,loop_invariants,True,TRUE
sumt4.c,loop_invariants/sv-benchmarks/loops-crafted-1/sumt4.c,e6c0022e60704b3fbf48b502a6a5de4b,2025-12-15T18:21:31.028651,76.46,4.0,terminating,0.0,,n - l,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_182131_e6c0022e60704b3fbf48b502a6a5de4b.json,,sumt4.c,loop_invariants,loop_invariants,,
mono-crafted_11.c,loop_invariants/sv-benchmarks/loops-crafted-1/mono-crafted_11.c,f690fc10cc7e46ea95aca97d84a3e37e,2025-12-15T18:23:04.714143,93.69,4.0,terminating,0.0,,100000000 - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_182304_f690fc10cc7e46ea95aca97d84a3e37e.json,,mono-crafted_11.c,loop_invariants,loop_invariants,,
sumt9.c,loop_invariants/sv-benchmarks/loops-crafted-1/sumt9.c,0f67463dc2c64d3999102e968beb4172,2025-12-15T18:24:27.623351,82.91,4.0,terminating,0.0,,n - l,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_182427_0f67463dc2c64d3999102e968beb4172.json,,sumt9.c,loop_invariants,loop_invariants,False,UNKNOWN
sum_natnum.c,loop_invariants/sv-benchmarks/loops-crafted-1/sum_natnum.c,9e993f05685f431c9093bb4d4cd6e460,2025-12-15T18:25:27.292602,59.67,4.0,terminating,0.0,0 <= i && i <= SIZE; sum == i * (i + 1) / 2,SIZE - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_182527_9e993f05685f431c9093bb4d4cd6e460.json,,sum_natnum.c,loop_invariants,loop_invariants,False,UNKNOWN
sumt2.c,loop_invariants/sv-benchmarks/loops-crafted-1/sumt2.c,28688decab9444bdb06fd8b1b45ca75b,2025-12-15T18:26:57.296933,90.0,4.0,terminating,0.0,,n - l,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_182657_28688decab9444bdb06fd8b1b45ca75b.json,,sumt2.c,loop_invariants,loop_invariants,False,UNKNOWN
sumt3.c,loop_invariants/sv-benchmarks/loops-crafted-1/sumt3.c,8e217ce4e9e849ba864918ec6277584f,2025-12-15T18:28:24.681117,87.38,4.0,terminating,0.0,,n - l,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_182824_8e217ce4e9e849ba864918ec6277584f.json,,sumt3.c,loop_invariants,loop_invariants,False,UNKNOWN
vnew2.c,loop_invariants/sv-benchmarks/loops-crafted-1/vnew2.c,0fdb7c2ca2524cbd9a7d8ad75541be7a,2025-12-15T18:29:22.586057,57.9,4.0,terminating,0.0,j - i == \old(j) - \old(i); k - i == \old(k) - \old(i),n - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_182922_0fdb7c2ca2524cbd9a7d8ad75541be7a.json,,vnew2.c,loop_invariants,,,
mono-crafted_10.c,loop_invariants/sv-benchmarks/loops-crafted-1/mono-crafted_10.c,30402ebccbac4ca591eda4e0af8e2b8d,2025-12-15T18:31:06.846971,104.26,5.0,terminating,0.0,5000000; 9999999,y - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_183106_30402ebccbac4ca591eda4e0af8e2b8d.json,,mono-crafted_10.c,loop_invariants,loop_invariants,,
mono-crafted_12.c,loop_invariants/sv-benchmarks/loops-crafted-1/mono-crafted_12.c,6f2b7f8bb5b748028667078fc8ebad6c,2025-12-15T18:32:37.333733,90.49,4.0,terminating,0.0,,y - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_183237_6f2b7f8bb5b748028667078fc8ebad6c.json,,mono-crafted_12.c,loop_invariants,loop_invariants,,
sumt5.c,loop_invariants/sv-benchmarks/loops-crafted-1/sumt5.c,e67ceda99d774ccfa4e2b71ebca96e02,2025-12-15T18:33:43.363131,66.03,4.0,terminating,0.0,,n - l,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_183343_e67ceda99d774ccfa4e2b71ebca96e02.json,,sumt5.c,loop_invariants,loop_invariants,False,UNKNOWN
mono-crafted_9.c,loop_invariants/sv-benchmarks/loops-crafted-1/mono-crafted_9.c,b6a502d190e940d782008a204c6b9406,2025-12-15T18:35:11.820935,88.46,4.0,terminating,0.0,,1000000 - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_183511_b6a502d190e940d782008a204c6b9406.json,,mono-crafted_9.c,loop_invariants,loop_invariants,,
mono-crafted_6.c,loop_invariants/sv-benchmarks/loops-crafted-1/mono-crafted_6.c,b5718b4c2a644a23a09658184a0bfc9f,2025-12-15T18:36:49.327937,97.51,4.0,terminating,0.0,,1000000 - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_183649_b5718b4c2a644a23a09658184a0bfc9f.json,,mono-crafted_6.c,loop_invariants,,,
Mono1_1-2.c,loop_invariants/sv-benchmarks/loops-crafted-1/Mono1_1-2.c,b158eab055c546e6bf959b0db2a2b9c2,2025-12-15T18:38:03.448507,74.12,4.0,terminating,0.0,,100000000 - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_183803_b158eab055c546e6bf959b0db2a2b9c2.json,,Mono1_1-2.c,loop_invariants,loop_invariants,,
sumt6.c,loop_invariants/sv-benchmarks/loops-crafted-1/sumt6.c,fba7ad5aa2e0454090416e2c90920e0c,2025-12-15T18:39:22.351109,78.9,4.0,terminating,0.0,,n - l,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_183922_fba7ad5aa2e0454090416e2c90920e0c.json,,sumt6.c,loop_invariants,loop_invariants,False,UNKNOWN
mono-crafted_8.c,loop_invariants/sv-benchmarks/loops-crafted-1/mono-crafted_8.c,a78547c862a245a486635966ccf2ba6f,2025-12-15T18:40:38.583345,76.23,4.0,terminating,0.0,0; 9999999,y - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_184038_a78547c862a245a486635966ccf2ba6f.json,,mono-crafted_8.c,loop_invariants,loop_invariants,,
mod3.c,loop_invariants/sv-benchmarks/loop-industry-pattern/mod3.c,ce6622169bcf4e648a5e5c5a6b5d1a7c,2025-12-15T18:42:15.919359,97.34,5.0,non-terminating,0.0,,,Failed: No ranking function provided,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_184215_ce6622169bcf4e648a5e5c5a6b5d1a7c.json,,mod3.c,loop_invariants,loop_invariants,,
ddlm2013.c,loop_invariants/sv-benchmarks/loop-lit/ddlm2013.c,f33dfa3e21c245c5bad8c1e38b3c948a,2025-12-15T18:43:43.554106,87.63,4.0,non-terminating,0.0,,,Skipped,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_184343_f33dfa3e21c245c5bad8c1e38b3c948a.json,,ddlm2013.c,loop_invariants,,False,UNKNOWN
cggmp2005_variant.c,loop_invariants/sv-benchmarks/loop-lit/cggmp2005_variant.c,1fdbbc8c45c94d82a7eab9826fb1d58f,2025-12-15T18:44:56.943804,73.39,4.0,terminating,0.0,"lo + hi == \at(lo + hi, Pre); lo + mid == \at(lo + mid, Pre); hi - mid == \at(hi - mid, Pre); mid >= 0",mid,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_184456_1fdbbc8c45c94d82a7eab9826fb1d58f.json,,cggmp2005_variant.c,loop_invariants,loop_invariants,True,TRUE
gsv2008.c,loop_invariants/sv-benchmarks/loop-lit/gsv2008.c,1023c4f23aab45218c19400c8890de3c,2025-12-15T18:46:32.305902,95.36,5.0,terminating,0.0,,-x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_184632_1023c4f23aab45218c19400c8890de3c.json,,gsv2008.c,loop_invariants,,,
jm2006_variant.c,loop_invariants/sv-benchmarks/loop-lit/jm2006_variant.c,3efeb62139624246afdc24d37e5aec2f,2025-12-15T18:48:46.096720,133.79,5.0,terminating,0.0,x + z == \old(x + z); y - 2*x == \old(y - 2*x); y + 2*z == \old(y + 2*z),x,Error: Unknown verification output...,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_184846_3efeb62139624246afdc24d37e5aec2f.json,,jm2006_variant.c,loop_invariants,loop_invariants,,
gj2007b.c,loop_invariants/sv-benchmarks/loop-lit/gj2007b.c,0963daea33f24260b2a857f04a35027d,2025-12-15T18:50:35.460060,109.36,5.0,terminating,0.0,,n - x,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_185035_0963daea33f24260b2a857f04a35027d.json,,gj2007b.c,loop_invariants,loop_invariants,,
afnp2014.c,loop_invariants/sv-benchmarks/loop-lit/afnp2014.c,9ea5257b789143999c746d9403de9bcc,2025-12-15T18:51:54.676336,79.22,4.0,terminating,0.0,,1000 - y,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_185154_9ea5257b789143999c746d9403de9bcc.json,,afnp2014.c,loop_invariants,loop_invariants,,
css2003.c,loop_invariants/sv-benchmarks/loop-lit/css2003.c,4fbe54723f0047d98dfec07b28f563bf,2025-12-15T18:52:54.050899,59.37,4.0,terminating,0.0,,LARGE_INT - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_185254_4fbe54723f0047d98dfec07b28f563bf.json,,css2003.c,loop_invariants,loop_invariants,,
cggmp2005.c,loop_invariants/sv-benchmarks/loop-lit/cggmp2005.c,0d5686e5a9b6435ba5977d9adf13ea5e,2025-12-15T18:54:16.531963,82.48,4.0,terminating,0.0,,j - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_185416_0d5686e5a9b6435ba5977d9adf13ea5e.json,,cggmp2005.c,loop_invariants,loop_invariants,,
gj2007.c,loop_invariants/sv-benchmarks/loop-lit/gj2007.c,8799242decf24839a4632eb2625ea0b4,2025-12-15T18:55:37.687887,81.16,4.0,terminating,0.0,,100 - x,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_185537_8799242decf24839a4632eb2625ea0b4.json,,gj2007.c,loop_invariants,loop_invariants,,
bhmr2007.c,loop_invariants/sv-benchmarks/loop-lit/bhmr2007.c,caa9f372f67a4e708b2fce761204689d,2025-12-15T18:57:02.087411,84.4,4.0,terminating,0.0,,n - i,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_185702_caa9f372f67a4e708b2fce761204689d.json,,bhmr2007.c,loop_invariants,loop_invariants,True,TRUE
jm2006.c,loop_invariants/sv-benchmarks/loop-lit/jm2006.c,8823c6795d8f42ffb99bc41540c88a8b,2025-12-15T18:58:10.050677,67.96,5.0,terminating,0.0,y - x == \old(y) - \old(x),x,Failed: Not Bounded,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_185810_8823c6795d8f42ffb99bc41540c88a8b.json,,jm2006.c,loop_invariants,loop_invariants,True,TRUE
hhk2008.c,loop_invariants/sv-benchmarks/loop-lit/hhk2008.c,85c0b6e6ed6641b89880d727b5834fae,2025-12-15T18:59:01.925401,51.87,4.0,terminating,0.0,cnt + res == \old(cnt) + \old(res); res - \old(res) == \old(cnt) - cnt,cnt,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_185901_85c0b6e6ed6641b89880d727b5834fae.json,,hhk2008.c,loop_invariants,loop_invariants,False,UNKNOWN
gr2006.c,loop_invariants/sv-benchmarks/loop-lit/gr2006.c,f8e81f01a16c49c29830317502054426,2025-12-15T19:01:50.381654,168.46,5.0,terminating,0.0,,,Failed: Not Decreasing,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_190150_f8e81f01a16c49c29830317502054426.json,,gr2006.c,loop_invariants,loop_invariants,,
sendmail-close-angle.c,loop_invariants/sv-benchmarks/loop-invgen/sendmail-close-angle.c,9ecea62058e440c1a12f861511277759,2025-12-15T19:03:16.139158,85.76,4.0,terminating,0.0,,bufferlen - buf,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_190316_9ecea62058e440c1a12f861511277759.json,,sendmail-close-angle.c,loop_invariants,other,True,TRUE
sendmail-close-angle.c,loop_invariants/sv-benchmarks/loop-invgen/sendmail-close-angle.c,9ecea62058e440c1a12f861511277759,2025-12-15T19:03:16.139158,85.76,4.0,terminating,0.0,,bufferlen - buf,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_190316_9ecea62058e440c1a12f861511277759.json,,sendmail-close-angle.c,loop_invariants,other,True,TRUE
sendmail-close-angle.c,loop_invariants/sv-benchmarks/loop-invgen/sendmail-close-angle.c,9ecea62058e440c1a12f861511277759,2025-12-15T19:03:16.139158,85.76,4.0,terminating,0.0,,bufferlen - buf,Verified,/home/clexma/Desktop/fox3/TermDB/EvolveTerm/results/reports/report_20251215_190316_9ecea62058e440c1a12f861511277759.json,,sendmail-close-angle.c,loop_invariants,loop_invariants,True,TRUE
