file,result,llm_result,result_2ls,result_irank_complex,result_irank_simple,path
pals_opt-floodmax.3_false-unreach-call.1.ufo.BOUNDED-6.pals.c,NO,Failed,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
pals_STARTPALS_ActiveStandby_false-unreach-call.1.ufo.BOUNDED-10.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
pals_STARTPALS_Triplicated_false-unreach-call.1.ufo.BOUNDED-10.pals.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
pc_sfifo_1_false-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
Primes_true-unreach-call.c,NO,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
Problem02_label00_true-unreach-call.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
recHanoi01_true-unreach-call_true-termination.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
s3_clnt_1_false-unreach-call.cil.c,YES,NO,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
s3_srvr_14_false-unreach-call.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
s3_srvr_1_false-unreach-call.cil.c,NO,NO,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
standard_compare_true-unreach-call_ground.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
standard_copy7_true-unreach-call_ground.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
standard_password_true-unreach-call_ground.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
stateful_check_false-unreach-call.c,NO,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
sum_2x3_false-unreach-call.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
sum_non_eq_false-unreach-call.c,NO,NO,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
test_locks_15_true-unreach-call_false-termination.c,NO,NO,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
token_ring.01_false-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
token_ring.05_false-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
transmitter.01_false-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
transmitter.06_false-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories
2Nested_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
4NestedWith3Variables_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
aaron2_true-termination.c,YES,Failed,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
aaron3_true-termination.c,YES,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c,YES,YES,Maybe,Failed,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c,YES,YES,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-random2d_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,YES,Failed,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AlternDiv.c,NO,Failed,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AlternDivWide.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AlternDivWidening.c,NO,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
AlternKonv.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Avery-FLOPS2006-Table1_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
Bangalore_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
Ben-Amram-LMCS2010-Ex2.3_true-termination.c,YES,NO,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Benghazi_true-termination.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c,NO,Failed,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
BradleyMannaSipma-CAV2005-Fig1_true-termination.c,YES,YES,YES,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
BrockschmidtCookFuhs-CAV2013-Fig1_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,YES,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Cairo_true-termination.c,YES,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c,YES,NO,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c,YES,YES,Maybe,Failed,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,YES,Failed,Maybe,Failed,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,YES,NO,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,YES,YES,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
ChawdharyCookGulwaniSagivYang-ESOP2008-random2d_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex1.01_true-termination.c,YES,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,YES,YES,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,YES,YES,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,YES,YES,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.09_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.18_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.19_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.21_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c,YES,NO,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChenFlurMukhopadhyay-SAS2012-Fig1_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Choose.c,NO,NO,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ChooseLife.c,NO,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ColonSipma-TACAS2001-Fig1_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
ComplInterv2.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ComplInterv3.c,NO,Failed,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ComplxStruc.c,NO,NO,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
ConvLower.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
CookSeeZuleger-TACAS2013-Fig1_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
CookSeeZuleger-TACAS2013-Fig7a_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
CookSeeZuleger-TACAS2013-Fig7b_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
CookSeeZuleger-TACAS2013-Fig8a_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
CookSeeZuleger-TACAS2013-Fig8b_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Copenhagen_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
Cousot.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
DivMinus.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
DivMinus2.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
DivWithoutMinus.c,NO,Failed,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
easy1_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
easy2_true-termination.c,YES,Failed,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
Et1.c,YES,Failed,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Et2.c,NO,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Et4.c,NO,YES,Failed,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Even.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Ex01.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Ex02.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Ex03.c,NO,Failed,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Ex04.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Ex05.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Ex06.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Ex07.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Ex08.c,NO,NO,Maybe,Failed,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Fibonacci.c,NO,NO,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Flip.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Flip2.c,NO,Failed,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Gauss.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
GCD.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
gcd1_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
GCD2.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
GCD3.c,YES,Failed,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
GCD4.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
genady_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
GopanReps-CAV2006-Fig1a_true-termination.c.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Gothenburg_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
GulavaniGulwani-CAV2008-Fig1a_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
GulavaniGulwani-CAV2008-Fig1b_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
GulavaniGulwani-CAV2008-Fig1c_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
HeizmannHoenickeLeikePodelski-ATVA2013-Fig1_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
HeizmannHoenickeLeikePodelski-ATVA2013-Fig4_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,YES,Failed,YES,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c,YES,NO,YES,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
IntPath.c,YES,NO,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
Lcm.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
LeikeHeizmann-TACAS2014-Ex1_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15
LeikeHeizmann-TACAS2014-Ex7_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
LeikeHeizmann-TACAS2014-Ex8_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
LeikeHeizmann-TACAS2014-Ex9_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15
