tool,source_file,dataset,rows,metric_type,metric_name,metric_value
CPAChecker,Results/Archived/CPA_TPDB_Certain_lasso+general.csv,TPDB_Certain,578,result_counts,result_lasso,MAYBE=292; YES=175; NO=96; TIMEOUT=10; ERROR=5
CPAChecker,Results/Archived/CPA_TPDB_Certain_lasso+general.csv,TPDB_Certain,578,result_counts,result_general,MAYBE=339; YES=160; ERROR=61; TIMEOUT=18
CPAChecker,Results/Archived/CPA_TPDB_Certain_lasso+general_cp2.csv,TPDB_Certain,578,result_counts,result_lasso,MAYBE=288; YES=177; NO=99; ERROR=7; TIMEOUT=7
CPAChecker,Results/Archived/CPA_TPDB_Certain_lasso+general_cp2.csv,TPDB_Certain,578,result_counts,result_general,MAYBE=333; YES=164; ERROR=67; TIMEOUT=14
CPAChecker,Results/CPA_aeval_lasso_1217.csv,aeval,347,result_counts,result_lasso,NO=125; MAYBE=116; YES=93; FAILED=8; TIMEOUT=5
CPAChecker,Results/CPA_aeval_lasso_1217.csv,aeval,347,result_counts,result_general,(blank)=347
CPAChecker,Results/CPA_aeval_lasso_1217.csv,aeval,347,time_stats,cost_time_lasso,"count=347,mean=16.140,median=1.630,min=0.560,max=190.150"
CPAChecker,Results/CPA_aeval_lasso_1217.csv,aeval,347,time_stats,cost_time_general,"count=347,mean=0.000,median=0.000,min=0.000,max=0.000"
CPAChecker,Results/CPA_Outputs/CPA_loopy_lasso+general_1211.csv,Loopy,950,result_counts,result_lasso,YES=449; MAYBE=373; NO=116; FAILED=8; TIMEOUT=4
CPAChecker,Results/CPA_Outputs/CPA_loopy_lasso+general_1211.csv,Loopy,950,result_counts,result_general,YES=455; MAYBE=358; NO=136; FAILED=1
CPAChecker,Results/CPA_Outputs/CPA_loopy_lasso+general_1211.csv,Loopy,950,time_stats,cost_time_lasso,"count=950,mean=17.034,median=1.630,min=1.160,max=310.120"
CPAChecker,Results/CPA_Outputs/CPA_loopy_lasso+general_1211.csv,Loopy,950,time_stats,cost_time_general,"count=950,mean=88.533,median=2.000,min=1.250,max=303.350"
CPAChecker,Results/CPA_Outputs/Loopy_CPA-Lasso_terminating.csv,Loopy,353,result_counts,verification_result,TRUE=353
CPAChecker,Results/CPA_Outputs/Loopy_CPA-Lasso_unknown.csv,Loopy,354,result_counts,verification_result,UNKNOWN=354
CPAChecker,Results/CPA_Outputs/Loopy_CPA-Lasso_with_invariants.csv,Loopy,154,result_counts,verification_result,TRUE=80; UNKNOWN=50; FALSE=24
CPAChecker,Results/CPA_Outputs/Loopy_CPA-all_summary_sample_updated.csv,Loopy,1644,result_counts,verification_result,TRUE=714; UNKNOWN=694; FALSE=226; (blank)=10
CPAChecker,Results/CPA_Outputs/Loopy_summary_sample.csv,Loopy,1644,result_counts,verification_result,TRUE=714; UNKNOWN=694; FALSE=226; (blank)=10
SVMRanker,Experiments/LLM_Pipeline_Exp/Pipeline_parsed_results.csv,LLM_Pipeline_Exp,226,result_counts,terminating,UNKNOWN=91; TERMINATE=78; NONTERM=51; (blank)=6
SVMRanker,Experiments/LLM_Pipeline_Exp/Pipeline_parsed_results.csv,LLM_Pipeline_Exp,226,time_stats,svmranker_time,"count=226,mean=3.556,median=0.918,min=0.767,max=300.015"
SVMRanker,Experiments/LLM_Pipeline_Exp/Pipeline_parsed_results.csv,LLM_Pipeline_Exp,226,time_stats,llm_run_time,"count=226,mean=11.533,median=8.481,min=5.570,max=307.080"
SVMRanker,Experiments/LLM_Pipeline_Exp/Compare_pipe&svm.csv,LLM_Pipeline_Exp,226,result_counts,pipe_terminating,UNKNOWN=91; TERMINATE=78; NONTERM=51; (blank)=6
SVMRanker,Experiments/LLM_Pipeline_Exp/Compare_pipe&svm.csv,LLM_Pipeline_Exp,226,result_counts,svmrank_terminating,TERMINATE=85; UNKNOWN=83; NONTERM=52; error=4; unknown=2
SVMRanker,Experiments/LLM_Pipeline_Exp/Compare_pipe&svm.csv,LLM_Pipeline_Exp,226,time_stats,pipe_svmranker_time,"count=226,mean=3.556,median=0.918,min=0.767,max=300.015"
SVMRanker,Experiments/LLM_Pipeline_Exp/Compare_pipe&svm.csv,LLM_Pipeline_Exp,226,time_stats,svmrank_time,"count=226,mean=10.692,median=1.570,min=0.716,max=300.014"
SVMRanker,Experiments/LLM_Pipeline_Exp/Compare_pipe&svm.csv,LLM_Pipeline_Exp,226,time_stats,pipe_llm_run_time,"count=226,mean=11.533,median=8.481,min=5.570,max=307.080"
SVMRanker,Experiments/LLM_Pipeline_Exp/Compare_pipe&svm.csv,LLM_Pipeline_Exp,226,time_stats,pipe_time,"count=226,mean=15.089,median=9.538,min=6.465,max=607.095"
