file,result,llm_result_chatgpt4o,result_2ls,result_irank_complex,result_irank_simple,path,is_stable_chatgpt4o,llm_result_o4mini,is_stable_o4mini,llm_result_claude3.7,is_stable_claude3.7,llm_result_deepseekr1,is_stable_deepseekr1
sum_2x3_false-unreach-call.c,YES,YES,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,YES,True,YES,True,Failed,False
sum_non_eq_false-unreach-call.c,NO,NO,YES,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,Failed,False,MISSING,
test_locks_15_true-unreach-call_false-termination.c,NO,NO,Failed,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,NO,True,MISSING,
token_ring.01_false-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,Failed,False,MISSING,
token_ring.05_false-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,NO,True,MISSING,
transmitter.01_false-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,Failed,False,MISSING,
transmitter.06_false-unreach-call_false-termination.cil.c,NO,NO,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\SV-COMP_Mixed_Categories,True,NO,True,NO,True,MISSING,
2Nested_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
4NestedWith3Variables_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,YES,True,MISSING,
aaron2_true-termination.c,YES,Failed,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,False,YES,True,YES,True,YES,True
aaron3_true-termination.c,YES,YES,Maybe,Failed,Failed,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c,YES,YES,Maybe,Failed,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,NO,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,NO,True
AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c,YES,YES,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-random2d_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,YES,Failed,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,False,YES,True,YES,True,MISSING,
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
AlternDiv.c,NO,Failed,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,False,NO,True,NO,True,MISSING,
AlternDivWide.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,YES,True,MISSING,
AlternDivWidening.c,NO,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,YES,True,MISSING,
AlternKonv.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,YES,True,MISSING,
Avery-FLOPS2006-Table1_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
Bangalore_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
Ben-Amram-LMCS2010-Ex2.3_true-termination.c,YES,NO,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,Failed,False,YES,True
Benghazi_true-termination.c,YES,YES,Failed,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c,NO,Failed,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,False,NO,True,NO,True,MISSING,
BradleyMannaSipma-CAV2005-Fig1_true-termination.c,YES,YES,YES,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,NO,True
BrockschmidtCookFuhs-CAV2013-Fig1_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,YES,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
Cairo_true-termination.c,YES,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c,YES,NO,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,Failed,False,Failed,False,YES,True
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c,YES,YES,Maybe,Failed,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,YES,Failed,Maybe,Failed,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,False,YES,True,YES,True,NO,True
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,YES,NO,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,Failed,False
ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,YES,YES,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChawdharyCookGulwaniSagivYang-ESOP2008-random2d_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex1.01_true-termination.c,YES,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,YES,YES,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,Failed,False
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,YES,YES,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,YES,YES,Maybe,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex2.09_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex2.18_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,NO,True
ChenFlurMukhopadhyay-SAS2012-Ex2.19_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex2.21_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,Failed,False
ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c,YES,NO,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,Failed,False
ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,Failed,False
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ChenFlurMukhopadhyay-SAS2012-Fig1_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,Failed,False
Choose.c,NO,NO,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ChooseLife.c,NO,YES,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ColonSipma-TACAS2001-Fig1_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
ComplInterv2.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ComplInterv3.c,NO,Failed,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,False,NO,True,NO,True,MISSING,
ComplxStruc.c,NO,NO,Maybe,MAYBE,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
ConvLower.c,NO,YES,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
CookSeeZuleger-TACAS2013-Fig1_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
CookSeeZuleger-TACAS2013-Fig7a_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
CookSeeZuleger-TACAS2013-Fig7b_true-termination.c,YES,YES,YES,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
CookSeeZuleger-TACAS2013-Fig8a_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,Failed,False
CookSeeZuleger-TACAS2013-Fig8b_true-termination.c,YES,YES,Maybe,YES,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
Copenhagen_true-termination.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,MISSING,
Cousot.c,NO,NO,Maybe,NO,MAYBE,TPDB_Y2024_filtered_VBS\Stroeder_15,True,NO,True,NO,True,MISSING,
DivMinus.c,YES,YES,YES,YES,YES,TPDB_Y2024_filtered_VBS\Stroeder_15,True,YES,True,YES,True,YES,True
