file,pipe_terminating,pipe_mode,pipe_depth,pipe_svmranker_time,pipe_llm_run_time,pipe_time,svmrank_time,svmrank_terminating,svmrank_type,svmrank_depth
126,TERMINATE,1-nested,2,0.920345,8.6614,9.581745,1.716932,TERMINATE,multi,2
127,TERMINATE,4-multi,1,1.26983,8.3031,9.57293,1.172023,TERMINATE,multi,1
129,UNKNOWN,4-nested,0,2.369581,13.493,15.862581,35.000611,UNKNOWN,multi,0
13,NONTERM,1-nested,0,0.768758,8.0075,8.776258,0.71738,NONTERM,multi,0
131,NONTERM,1-nested,0,0.81815,7.2715,8.08965,0.717447,NONTERM,multi,0
132,TERMINATE,4-nested,1,0.818621,8.0896,8.908221,0.871388,TERMINATE,multi,1
133,TERMINATE,4-nested,1,0.868842,7.466,8.334842,0.917701,TERMINATE,multi,1
136,UNKNOWN,1-nested,0,1.070518,8.2341,9.304618,14.092105,UNKNOWN,multi,0
140,NONTERM,4-nested,0,0.818682,9.1246,9.943282,0.770127,NONTERM,multi,0
144,TERMINATE,4-nested,2,1.470406,9.8856,11.356006,3.977772,TERMINATE,multi,2
146,,4-nested,,12.49975,23.0168,35.51655,300.008172,error,multi,
147,,4-nested,,20.464795,29.8806,50.345395,300.008255,error,multi,
148,TERMINATE,1-nested,1,0.819165,5.6457,6.464865,1.119737,TERMINATE,multi,1
149,TERMINATE,4-nested,1,0.818264,8.8903,9.708564,0.774325,TERMINATE,multi,1
15,UNKNOWN,4-multi,0,77.030107,84.0224,161.052507,74.491991,UNKNOWN,multi,0
150,TERMINATE,4-nested,1,0.870899,9.9889,10.859799,0.76752,TERMINATE,multi,1
151,TERMINATE,4-nested,1,0.867776,8.0324,8.900176,1.119813,TERMINATE,multi,1
152,TERMINATE,1-nested,1,0.872184,10.3818,11.253984,0.818138,TERMINATE,multi,1
153,TERMINATE,1-nested,1,0.817872,6.9022,7.720072,1.569964,TERMINATE,multi,1
154,UNKNOWN,1-nested,0,0.96867,8.5016,9.47027,2.276971,TERMINATE,multi,2
155,UNKNOWN,4-multi,0,6.633476,15.3417,21.975176,6.633133,UNKNOWN,multi,0
156,TERMINATE,1-nested,2,0.920699,5.5696,6.490299,1.619806,TERMINATE,multi,2
157,UNKNOWN,1-nested,0,0.971278,7.0925,8.063778,1.670437,TERMINATE,multi,2
158,TERMINATE,4-nested,1,0.76981,11.0362,11.80601,1.167567,TERMINATE,multi,1
159,TERMINATE,4-nested,1,0.76965,10.5103,11.27995,0.721511,TERMINATE,multi,1
160,TERMINATE,4-multi,1,0.816879,16.0084,16.825279,0.767442,TERMINATE,multi,1
161,TERMINATE,1-nested,1,1.117704,9.5474,10.665104,1.818877,TERMINATE,multi,1
162,TERMINATE,4-multi,1,0.868001,9.4617,10.329701,0.921737,TERMINATE,multi,1
163,TERMINATE,4-nested,1,0.819761,9.3016,10.121361,0.771137,TERMINATE,multi,1
164,TERMINATE,4-nested,1,0.871005,8.3875,9.258505,1.46999,TERMINATE,multi,1
165,TERMINATE,1-nested,1,0.818221,7.6051,8.423321,0.823998,TERMINATE,multi,1
166,TERMINATE,4-nested,1,0.818386,11.7874,12.605786,1.567118,TERMINATE,multi,1
167,TERMINATE,4-multi,1,0.969077,10.5239,11.492977,0.922914,TERMINATE,multi,1
168,TERMINATE,4-nested,1,0.817361,8.7527,9.570061,0.769903,TERMINATE,multi,1
169,UNKNOWN,1-nested,0,0.96815,9.0964,10.06455,1.569961,UNKNOWN,multi,0
170,UNKNOWN,1-nested,0,0.967928,7.6029,8.570828,23.972163,UNKNOWN,multi,0
171,TERMINATE,1-nested,1,0.818935,6.4317,7.250635,0.970039,TERMINATE,multi,1
2,TERMINATE,1-nested,2,0.918414,7.606,8.524414,1.569263,TERMINATE,multi,2
21,UNKNOWN,4-nested,0,1.721506,13.0485,14.770006,1.769539,UNKNOWN,multi,0
22,UNKNOWN,4-nested,0,1.669698,9.7072,11.376898,3.971217,UNKNOWN,multi,0
23,UNKNOWN,1-nested,0,1.017277,8.132,9.149277,3.926503,UNKNOWN,multi,0
24,UNKNOWN,1-nested,0,0.970633,9.4699,10.440533,1.921133,UNKNOWN,multi,0
25,UNKNOWN,1-nested,0,1.320414,6.7571,8.077514,8.738607,UNKNOWN,multi,0
26,UNKNOWN,4-multi,0,7.784762,14.8799,22.664662,10.699216,UNKNOWN,multi,0
27,UNKNOWN,4-multi,0,76.201158,86.0581,162.259258,73.702352,UNKNOWN,multi,0
29,TERMINATE,4-nested,1,0.818478,13.5185,14.336978,1.667856,TERMINATE,multi,1
2Nested-2,TERMINATE,1-nested,2,0.867388,6.6634,7.530788,1.570984,TERMINATE,multi,2
2Nested_false-termination_true-valid-memsafety,UNKNOWN,1-nested,0,0.967091,9.273,10.240091,16.493531,UNKNOWN,multi,0
30,TERMINATE,4-multi,1,1.018157,12.1117,13.129857,0.92301,TERMINATE,multi,1
31,UNKNOWN,4-multi,0,11.642211,18.1749,29.817111,10.896111,UNKNOWN,multi,0
32,UNKNOWN,4-nested,0,2.071913,12.7047,14.776613,11.038484,UNKNOWN,multi,0
34,UNKNOWN,4-nested,0,1.720142,8.6826,10.402742,29.490301,UNKNOWN,multi,0
35,NONTERM,1-nested,0,0.819937,8.4239,9.243837,0.717869,NONTERM,multi,0
36,TERMINATE,4-nested,1,0.819232,10.5112,11.330432,0.770616,TERMINATE,multi,1
38,UNKNOWN,1-nested,0,0.918295,7.4767,8.394995,23.963315,UNKNOWN,multi,0
39,NONTERM,4-multi,0,0.817732,8.877,9.694732,0.768384,NONTERM,multi,0
4,UNKNOWN,4-multi,0,10.333968,18.6098,28.943768,10.239821,UNKNOWN,multi,0
40,NONTERM,4-multi,0,0.817366,7.575,8.392366,0.718946,NONTERM,multi,0
42,NONTERM,4-nested,0,0.766712,10.0943,10.861012,0.767358,NONTERM,multi,0
43,NONTERM,4-nested,0,0.869826,8.6646,9.534426,0.719194,NONTERM,multi,0
46,UNKNOWN,4-nested,0,2.071347,9.5506,11.621947,20.413187,UNKNOWN,multi,0
47,NONTERM,4-multi,0,0.818463,6.8248,7.643263,0.718966,NONTERM,multi,0
48,NONTERM,1-nested,0,0.769002,26.4686,27.237602,0.767748,NONTERM,multi,0
49,NONTERM,4-nested,0,0.820664,9.1114,9.932064,0.718578,NONTERM,multi,0
4NestedWith3Variables-2,UNKNOWN,1-nested,0,1.017531,9.75,10.767531,12.945741,TERMINATE,multi,4
50,UNKNOWN,4-nested,0,1.072474,7.7012,8.773674,1.220097,UNKNOWN,multi,0
51,TERMINATE,4-nested,2,0.967274,15.1633,16.130574,1.619433,TERMINATE,multi,2
52,TERMINATE,4-nested,1,0.819587,9.1668,9.986387,0.820767,TERMINATE,multi,1
53,NONTERM,1-nested,0,0.819535,16.3622,17.181735,0.717134,NONTERM,multi,0
55,TERMINATE,4-multi,1,1.469745,8.3938,9.863545,1.417891,TERMINATE,multi,1
57,TERMINATE,1-nested,1,0.867119,8.8932,9.760319,1.067723,TERMINATE,multi,1
58,TERMINATE,4-nested,1,0.823316,10.4285,11.251816,0.717029,TERMINATE,multi,1
59,NONTERM,1-nested,0,0.818865,7.1239,7.942765,0.767667,NONTERM,multi,0
6,TERMINATE,4-multi,4,5.975972,12.8394,18.815372,2.976634,UNKNOWN,multi,0
60,NONTERM,4-multi,0,0.820063,10.8031,11.623163,0.767708,NONTERM,multi,0
61,TERMINATE,4-nested,1,0.817795,22.9499,23.767695,0.816645,TERMINATE,multi,1
62,UNKNOWN,4-nested,0,1.420365,10.1249,11.545265,0.918432,unknown,multi,
63,NONTERM,4-nested,0,0.819561,7.8407,8.660261,0.770379,NONTERM,multi,0
65,NONTERM,4-multi,0,0.82002,9.7188,10.53882,0.768666,NONTERM,multi,0
66,TERMINATE,4-multi,2,1.769233,7.9261,9.695333,1.72051,TERMINATE,multi,2
67,TERMINATE,4-multi,2,2.522709,9.9634,12.486109,2.422485,TERMINATE,multi,2
68,TERMINATE,4-multi,3,4.625942,12.5812,17.207142,4.526451,TERMINATE,multi,3
7,TERMINATE,4-multi,4,44.909264,56.5261,101.435364,42.415757,TERMINATE,multi,4
70,NONTERM,1-nested,0,0.817184,6.2513,7.068484,0.820999,NONTERM,multi,0
71,,4-nested,,5.375896,13.8416,19.217496,2.12005,UNKNOWN,multi,0
72,TERMINATE,4-nested,2,0.921592,13.8947,14.816292,2.075121,TERMINATE,multi,2
73,TERMINATE,4-nested,2,0.970691,10.6704,11.641091,7.585101,TERMINATE,multi,2
74,UNKNOWN,4-multi,0,4.479123,14.1362,18.615323,4.380283,UNKNOWN,multi,0
75,UNKNOWN,1-nested,0,0.867573,6.3477,7.215273,3.97453,UNKNOWN,multi,0
78,UNKNOWN,1-nested,0,1.021184,6.3451,7.366284,17.998551,UNKNOWN,multi,0
79,NONTERM,1-nested,0,0.822846,7.4333,8.256146,0.7672,NONTERM,multi,0
8,,4-multi,,300.01534,307.0796,607.09494,300.014062,error,multi,
80,UNKNOWN,1-nested,0,0.969763,8.6053,9.575063,15.943312,UNKNOWN,multi,0
81,UNKNOWN,4-nested,0,4.528263,22.6384,27.166663,1.767529,UNKNOWN,multi,0
82,UNKNOWN,1-nested,0,1.021904,6.9103,7.932204,24.519719,UNKNOWN,multi,0
83,TERMINATE,1-nested,1,0.818479,7.9603,8.778779,1.269452,TERMINATE,multi,1
84,UNKNOWN,1-nested,0,0.970381,10.3045,11.274881,4.02716,UNKNOWN,multi,0
85,UNKNOWN,1-nested,0,1.220537,7.9792,9.199737,10.38324,UNKNOWN,multi,0
86,UNKNOWN,1-nested,0,0.968044,7.6568,8.624844,10.795507,UNKNOWN,multi,0
87,NONTERM,1-nested,0,0.821739,7.7628,8.584539,0.775811,NONTERM,multi,0
88,UNKNOWN,1-nested,0,0.970032,6.836,7.806032,9.487425,UNKNOWN,multi,0
89,NONTERM,1-nested,0,0.816874,7.3945,8.211374,0.767543,NONTERM,multi,0
9,NONTERM,4-nested,0,0.767825,7.7518,8.519625,0.71859,NONTERM,multi,0
90,NONTERM,1-nested,0,0.820266,6.4289,7.249166,0.718755,NONTERM,multi,0
93,UNKNOWN,1-nested,0,0.917848,6.1209,7.038748,4.026218,UNKNOWN,multi,0
94,UNKNOWN,1-nested,0,0.968571,5.7719,6.740471,3.872589,UNKNOWN,multi,0
95,NONTERM,1-nested,0,0.819224,7.3888,8.208024,0.722938,NONTERM,multi,0
96,UNKNOWN,1-nested,0,0.919305,8.7867,9.706005,22.714002,UNKNOWN,multi,0
97,UNKNOWN,1-nested,0,0.917263,6.5043,7.421563,1.722498,UNKNOWN,multi,0
98,UNKNOWN,1-nested,0,0.969848,6.6087,7.578548,29.132674,UNKNOWN,multi,0
99,UNKNOWN,1-nested,0,1.220034,8.3217,9.541734,9.494412,UNKNOWN,multi,0
a.09_assume,TERMINATE,1-nested,1,0.817,7.3624,8.1794,1.520624,TERMINATE,multi,1
a.09_assume_false-no-overflow,TERMINATE,1-nested,1,0.820107,17.4577,18.277807,1.370615,TERMINATE,multi,1
AliasDarteFeautrierGonnord-SAS2010-exmini,UNKNOWN,1-nested,0,1.068617,7.3139,8.382517,19.114184,TERMINATE,multi,4
AliasDarteFeautrierGonnord-SAS2010-terminate,UNKNOWN,1-nested,0,1.117463,6.7494,7.866863,19.560239,TERMINATE,multi,4
b.03-no-inv_assume,NONTERM,4-nested,0,0.817763,8.8828,9.700563,0.769256,NONTERM,multi,0
b.03_assume,TERMINATE,4-nested,1,0.819387,8.8917,9.711087,1.721936,TERMINATE,multi,2
b.03_assume_false-no-overflow,TERMINATE,1-nested,2,0.967586,8.2289,9.196486,1.469991,TERMINATE,multi,2
b.04,TERMINATE,4-multi,1,1.571616,9.5894,11.161016,1.467438,TERMINATE,multi,1
Bangalore-1,NONTERM,1-nested,0,0.81673,11.0873,11.90403,0.772218,NONTERM,multi,0
Bangalore_v2,NONTERM,1-nested,0,0.818027,6.8689,7.686927,0.767545,NONTERM,multi,0
Bangalore_v3,NONTERM,1-nested,0,0.819253,10.4747,11.293953,0.769301,NONTERM,multi,0
Bangalore_v4,NONTERM,1-nested,0,0.819828,9.0003,9.820128,0.76883,NONTERM,multi,0
Cairo,UNKNOWN,4-nested,0,1.518843,10.4323,11.951143,3.927705,UNKNOWN,multi,0
Cairo_step2-2,UNKNOWN,1-nested,0,0.919628,9.1014,10.021028,3.974371,UNKNOWN,multi,0
ChenFlurMukhopadhyay-SAS2012-Ex2.01,TERMINATE,1-nested,2,0.868002,7.1007,7.968702,1.569779,TERMINATE,multi,2
ChenFlurMukhopadhyay-SAS2012-Ex2.02,UNKNOWN,1-nested,0,0.968999,6.3566,7.325599,15.658601,UNKNOWN,multi,0
ChenFlurMukhopadhyay-SAS2012-Ex2.07,TERMINATE,1-nested,1,0.820955,6.7828,7.603755,1.218409,TERMINATE,multi,1
ChenFlurMukhopadhyay-SAS2012-Ex2.08,TERMINATE,1-nested,2,0.91916,6.1567,7.07586,1.573933,TERMINATE,multi,2
ChenFlurMukhopadhyay-SAS2012-Ex2.10,TERMINATE,4-nested,1,0.769633,7.0172,7.786833,0.818062,TERMINATE,multi,1
ChenFlurMukhopadhyay-SAS2012-Ex2.11,UNKNOWN,4-nested,0,1.820519,9.7792,11.599719,2.318377,UNKNOWN,multi,0
ChenFlurMukhopadhyay-SAS2012-Ex2.12,NONTERM,1-nested,0,0.817457,6.739,7.556457,0.768834,NONTERM,multi,0
ChenFlurMukhopadhyay-SAS2012-Ex2.13,TERMINATE,4-nested,2,0.917648,9.5251,10.442748,1.523513,TERMINATE,multi,2
ChenFlurMukhopadhyay-SAS2012-Ex2.14,NONTERM,1-nested,0,0.820134,9.3558,10.175934,0.76584,NONTERM,multi,0
ChenFlurMukhopadhyay-SAS2012-Ex2.15,NONTERM,1-nested,0,0.768941,9.2528,10.021741,0.815154,NONTERM,multi,0
ChenFlurMukhopadhyay-SAS2012-Ex2.16,TERMINATE,1-nested,2,0.919759,5.9463,6.866059,1.518776,TERMINATE,multi,2
ChenFlurMukhopadhyay-SAS2012-Ex3.02,NONTERM,1-nested,0,0.767437,7.0581,7.825537,0.771137,NONTERM,multi,0
ChenFlurMukhopadhyay-SAS2012-Ex3.03,UNKNOWN,1-nested,0,1.022835,6.699,7.721835,3.873993,TERMINATE,multi,3
ChenFlurMukhopadhyay-SAS2012-Ex3.04,TERMINATE,1-nested,2,0.9175,8.8292,9.7467,17.954687,TERMINATE,multi,4
ChenFlurMukhopadhyay-SAS2012-Ex3.05,TERMINATE,1-nested,2,0.919724,8.8906,9.810324,2.724324,TERMINATE,multi,2
ColonSipma-TACAS2001-Fig1,UNKNOWN,1-nested,0,1.120636,9.0131,10.133736,20.120255,TERMINATE,multi,4
ComplInterv_false-no-overflow_false-termination,UNKNOWN,1-nested,0,0.919176,9.506,10.425176,1.520487,UNKNOWN,multi,0
ConvLower,NONTERM,1-nested,0,0.818174,7.7195,8.537674,0.822636,NONTERM,multi,0
CookSeeZuleger-TACAS2013-Fig1,,4-multi,,0.820004,6.9451,7.765104,0.769961,error,multi,
CookSeeZuleger-TACAS2013-Fig8a-modified,UNKNOWN,4-nested,0,2.024781,11.0566,13.081381,1.973065,UNKNOWN,multi,0
CookSeeZuleger-TACAS2013-Fig8a,TERMINATE,4-nested,3,1.218894,10.6109,11.829794,1.470688,UNKNOWN,multi,0
CookSeeZuleger-TACAS2013-Fig8b,NONTERM,4-multi,0,0.81777,13.4918,14.30957,0.820199,NONTERM,multi,0
Copenhagen,TERMINATE,1-nested,1,0.818791,7.9255,8.744291,1.419271,TERMINATE,multi,1
Copenhagen_disj-1,UNKNOWN,1-nested,0,1.067216,7.8127,8.879916,7.983573,UNKNOWN,multi,0
Cousot_false-no-overflow_false-termination,UNKNOWN,1-nested,0,1.071855,5.7641,6.835955,12.497701,UNKNOWN,multi,0
DoubleNeg_false-no-overflow_false-termination,,4-nested,,5.576093,13.084,18.660093,22.777973,UNKNOWN,multi,0
Even_false-no-overflow_false-termination,UNKNOWN,1-nested,0,1.019317,6.9991,8.018417,10.48998,UNKNOWN,multi,0
Ex01_false-no-overflow_false-termination,UNKNOWN,1-nested,0,0.921704,10.8311,11.752804,3.776697,UNKNOWN,multi,0
Ex02,NONTERM,1-nested,0,0.816564,6.7927,7.609264,0.767627,NONTERM,multi,0
Ex04_false-no-overflow_false-termination,UNKNOWN,1-nested,0,0.919257,8.5134,9.432657,3.876293,UNKNOWN,multi,0
Ex07,NONTERM,1-nested,0,0.819217,7.0261,7.845317,0.769169,NONTERM,multi,0
GulavaniGulwani-CAV2008-Fig1c,TERMINATE,4-nested,1,0.82121,10.4113,11.23251,1.572671,TERMINATE,multi,1
Hanoi_2vars,UNKNOWN,1-nested,0,0.971955,5.5988,6.570755,16.507565,UNKNOWN,multi,0
Hanoi_3vars,UNKNOWN,1-nested,0,0.968464,6.8219,7.790364,54.528687,UNKNOWN,multi,0
Hanoi_plus,UNKNOWN,1-nested,0,1.019521,5.7743,6.793821,17.962495,UNKNOWN,multi,0
LeikeHeizmann-TACAS2014-Ex1,TERMINATE,1-nested,1,0.817735,10.0197,10.837435,0.818082,TERMINATE,multi,1
LeikeHeizmann-TACAS2014-Ex9,TERMINATE,4-nested,1,0.816145,9.9292,10.745345,1.220334,TERMINATE,multi,1
LeikeHeizmann-TACAS2014-Fig1,TERMINATE,1-nested,2,0.919155,10.0423,10.961455,1.621979,TERMINATE,multi,2
LeikeHeizmann-WST2014-Ex5,UNKNOWN,1-nested,0,1.122138,8.0258,9.147938,7.583999,UNKNOWN,multi,0
LeikeHeizmann-WST2014-Ex6,UNKNOWN,1-nested,0,0.921266,5.8104,6.731666,23.408385,UNKNOWN,multi,0
Marbie1_false-no-overflow_false-termination,UNKNOWN,1-nested,0,0.919763,6.0122,6.931963,3.778169,UNKNOWN,multi,0
Marbie2_false-no-overflow_false-termination,UNKNOWN,1-nested,0,0.922122,7.0997,8.021822,3.926411,UNKNOWN,multi,0
Masse-VMCAI2014-Ex6,UNKNOWN,1-nested,0,0.968902,6.8796,7.848502,1.974741,UNKNOWN,multi,0
Middle_false-no-overflow_false-termination,UNKNOWN,1-nested,0,1.017016,7.4992,8.516216,23.976494,UNKNOWN,multi,0
NonTermination1,UNKNOWN,1-nested,0,0.918358,7.009,7.927358,4.176906,UNKNOWN,multi,0
NonTerminationSimple2,UNKNOWN,1-nested,0,0.869795,7.4709,8.340695,3.729471,UNKNOWN,multi,0
NonTerminationSimple3,NONTERM,1-nested,0,0.820638,7.9382,8.758838,0.769441,NONTERM,multi,0
Overflow_false-no-overflow_true-termination,UNKNOWN,4-nested,0,1.669486,10.6473,12.316786,3.976124,UNKNOWN,multi,0
PastaA10,UNKNOWN,4-nested,0,1.971994,9.4843,11.456294,4.376389,UNKNOWN,multi,0
PastaA4,TERMINATE,1-nested,1,0.817476,6.4627,7.280176,1.366568,TERMINATE,multi,1
PastaA5_false-no-overflow_true-termination,TERMINATE,1-nested,1,0.868972,8.461,9.329972,1.420933,TERMINATE,multi,1
PastaA6_false-no-overflow_true-termination,TERMINATE,4-nested,1,0.819344,9.6781,10.497444,1.62178,TERMINATE,multi,1
PastaA7,UNKNOWN,1-nested,0,1.070641,7.3825,8.453141,2.62425,TERMINATE,multi,2
PastaA8_false-no-overflow_true-termination,TERMINATE,4-nested,1,0.820973,11.9027,12.723673,1.217666,TERMINATE,multi,1
PastaB1,TERMINATE,1-nested,1,0.869115,7.0243,7.893415,1.324813,TERMINATE,multi,1
PastaB11_false-no-overflow_true-termination,TERMINATE,4-nested,1,0.820765,7.5512,8.371965,1.319567,TERMINATE,multi,1
PastaB2,TERMINATE,4-nested,1,0.817928,10.6839,11.501828,1.220232,TERMINATE,multi,1
PastaB4,TERMINATE,4-nested,1,0.820204,8.4579,9.278104,1.47283,TERMINATE,multi,1
PastaB6,TERMINATE,4-nested,1,0.869939,8.3088,9.178739,0.76704,TERMINATE,multi,1
PastaB7,UNKNOWN,4-nested,0,2.171628,11.0578,13.229428,2.625005,TERMINATE,multi,2
PastaC3,UNKNOWN,1-nested,0,1.018084,7.7907,8.808784,8.488641,UNKNOWN,multi,0
PastaC7,TERMINATE,4-nested,1,0.819188,12.177,12.996188,1.768716,TERMINATE,multi,1
PastaC7_false-no-overflow,TERMINATE,1-nested,1,0.818141,7.4967,8.314841,1.820363,TERMINATE,multi,1
PodelskiRybalchenko-TACAS2011-Fig1,TERMINATE,4-nested,1,0.818703,11.8807,12.699403,0.767209,TERMINATE,multi,1
Sunset,UNKNOWN,1-nested,0,0.918333,6.5103,7.428633,1.572244,UNKNOWN,multi,0
TrueDiv_false-no-overflow_false-termination,UNKNOWN,1-nested,0,0.967704,6.2444,7.212104,1.52279,UNKNOWN,multi,0
TwoFloatInterv,UNKNOWN,1-nested,0,0.767955,8.7084,9.476355,0.770548,unknown,multi,
Urban-WST2013-Fig1,NONTERM,1-nested,0,0.820457,8.2299,9.050357,0.723272,NONTERM,multi,0
Waldkirch,TERMINATE,1-nested,1,0.819539,5.8298,6.649339,0.7698,TERMINATE,multi,1
WhileDecr,TERMINATE,4-nested,1,0.81677,11.2939,12.11067,0.818159,TERMINATE,multi,1
WhileIncrPart_false-no-overflow_false-termination,UNKNOWN,1-nested,0,0.922391,9.8018,10.724191,1.469961,UNKNOWN,multi,0
WhileIncr_false-no-overflow_false-termination,UNKNOWN,1-nested,0,0.919833,6.5888,7.508633,3.725345,UNKNOWN,multi,0
WhilePart,NONTERM,1-nested,0,0.766647,8.3128,9.079447,0.766315,NONTERM,multi,0
WhileSingle,NONTERM,1-nested,0,0.773022,7.4949,8.267922,0.770665,NONTERM,multi,0
WhileTrueInc_false-no-overflow_false-termination,UNKNOWN,1-nested,0,0.968502,6.6322,7.600702,3.875147,UNKNOWN,multi,0
