file,terminating,type,depth,time
ChenFlurMukhopadhyay-SAS2012-Ex2.07,TERMINATE,multi,1,1.218409
ChenFlurMukhopadhyay-SAS2012-Ex2.08,TERMINATE,multi,2,1.573933
ChenFlurMukhopadhyay-SAS2012-Ex2.10,TERMINATE,multi,1,0.818062
ChenFlurMukhopadhyay-SAS2012-Ex2.11,UNKNOWN,multi,0,2.318377
ChenFlurMukhopadhyay-SAS2012-Ex2.12,NONTERM,multi,0,0.768834
ChenFlurMukhopadhyay-SAS2012-Ex2.13,TERMINATE,multi,2,1.523513
ChenFlurMukhopadhyay-SAS2012-Ex2.14,NONTERM,multi,0,0.76584
ChenFlurMukhopadhyay-SAS2012-Ex2.15,NONTERM,multi,0,0.815154
ChenFlurMukhopadhyay-SAS2012-Ex2.16,TERMINATE,multi,2,1.518776
ChenFlurMukhopadhyay-SAS2012-Ex3.02,NONTERM,multi,0,0.771137
ChenFlurMukhopadhyay-SAS2012-Ex3.03,TERMINATE,multi,3,3.873993
ChenFlurMukhopadhyay-SAS2012-Ex3.04,TERMINATE,multi,4,17.954687
ChenFlurMukhopadhyay-SAS2012-Ex3.05,TERMINATE,multi,2,2.724324
ColonSipma-TACAS2001-Fig1,TERMINATE,multi,4,20.120255
ComplInterv_false-no-overflow_false-termination,UNKNOWN,multi,0,1.520487
ConvLower,NONTERM,multi,0,0.822636
CookSeeZuleger-TACAS2013-Fig1,error,multi,,0.769961
CookSeeZuleger-TACAS2013-Fig8a-modified,UNKNOWN,multi,0,1.973065
CookSeeZuleger-TACAS2013-Fig8a,UNKNOWN,multi,0,1.470688
CookSeeZuleger-TACAS2013-Fig8b,NONTERM,multi,0,0.820199
Copenhagen,TERMINATE,multi,1,1.419271
Copenhagen_disj-1,UNKNOWN,multi,0,7.983573
Cousot_false-no-overflow_false-termination,UNKNOWN,multi,0,12.497701
DoubleNeg_false-no-overflow_false-termination,UNKNOWN,multi,0,22.777973
Even_false-no-overflow_false-termination,UNKNOWN,multi,0,10.48998
Ex01_false-no-overflow_false-termination,UNKNOWN,multi,0,3.776697
Ex02,NONTERM,multi,0,0.767627
Ex04_false-no-overflow_false-termination,UNKNOWN,multi,0,3.876293
Ex07,NONTERM,multi,0,0.769169
GulavaniGulwani-CAV2008-Fig1c,TERMINATE,multi,1,1.572671
Hanoi_2vars,UNKNOWN,multi,0,16.507565
Hanoi_3vars,UNKNOWN,multi,0,54.528687
Hanoi_plus,UNKNOWN,multi,0,17.962495
LeikeHeizmann-TACAS2014-Ex1,TERMINATE,multi,1,0.818082
LeikeHeizmann-TACAS2014-Ex9,TERMINATE,multi,1,1.220334
LeikeHeizmann-TACAS2014-Fig1,TERMINATE,multi,2,1.621979
LeikeHeizmann-WST2014-Ex5,UNKNOWN,multi,0,7.583999
LeikeHeizmann-WST2014-Ex6,UNKNOWN,multi,0,23.408385
Marbie1_false-no-overflow_false-termination,UNKNOWN,multi,0,3.778169
Marbie2_false-no-overflow_false-termination,UNKNOWN,multi,0,3.926411
Masse-VMCAI2014-Ex6,UNKNOWN,multi,0,1.974741
Middle_false-no-overflow_false-termination,UNKNOWN,multi,0,23.976494
NonTermination1,UNKNOWN,multi,0,4.176906
NonTerminationSimple2,UNKNOWN,multi,0,3.729471
NonTerminationSimple3,NONTERM,multi,0,0.769441
Overflow_false-no-overflow_true-termination,UNKNOWN,multi,0,3.976124
PastaA10,UNKNOWN,multi,0,4.376389
PastaA4,TERMINATE,multi,1,1.366568
PastaA5_false-no-overflow_true-termination,TERMINATE,multi,1,1.420933
PastaA6_false-no-overflow_true-termination,TERMINATE,multi,1,1.62178
PastaA7,TERMINATE,multi,2,2.62425
PastaA8_false-no-overflow_true-termination,TERMINATE,multi,1,1.217666
PastaB1,TERMINATE,multi,1,1.324813
PastaB11_false-no-overflow_true-termination,TERMINATE,multi,1,1.319567
PastaB2,TERMINATE,multi,1,1.220232
PastaB4,TERMINATE,multi,1,1.47283
PastaB6,TERMINATE,multi,1,0.76704
PastaB7,TERMINATE,multi,2,2.625005
PastaC3,UNKNOWN,multi,0,8.488641
PastaC7,TERMINATE,multi,1,1.768716
PastaC7_false-no-overflow,TERMINATE,multi,1,1.820363
PodelskiRybalchenko-TACAS2011-Fig1,TERMINATE,multi,1,0.767209
Sunset,UNKNOWN,multi,0,1.572244
TrueDiv_false-no-overflow_false-termination,UNKNOWN,multi,0,1.52279
TwoFloatInterv,unknown,multi,,0.770548
Urban-WST2013-Fig1,NONTERM,multi,0,0.723272
Waldkirch,TERMINATE,multi,1,0.7698
WhileDecr,TERMINATE,multi,1,0.818159
WhileIncrPart_false-no-overflow_false-termination,UNKNOWN,multi,0,1.469961
WhileIncr_false-no-overflow_false-termination,UNKNOWN,multi,0,3.725345
WhilePart,NONTERM,multi,0,0.766315
WhileSingle,NONTERM,multi,0,0.770665
WhileTrueInc_false-no-overflow_false-termination,UNKNOWN,multi,0,3.875147
