file_name,original_path,predicted_status,predicted_kind,category_folder,processing_time,is_consistent,repeat_results,raw_responses
1_30.bpl,LLM_Phase_Exp/4-nested-terminate/1_30.bpl,TERM,Single,TERM,30.33,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_148.bpl,LLM_Phase_Exp/4-nested-terminate/1_148.bpl,TERM,Single,TERM,130.79,False,"[('TERM', 'Single'), ('TERM', 'Other'), ('TERM', 'Other')]","['[TERM] Single', '[TERM] Other', '[TERM] Other']"
1_36.bpl,LLM_Phase_Exp/4-nested-terminate/1_36.bpl,TERM,Single,TERM,21.42,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_72.bpl,LLM_Phase_Exp/4-nested-terminate/2_72.bpl,TERM,Multi,TERM,62.55,False,"[('TERM', 'Multi'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Multi', '[TERM] Single', '[TERM] Single']"
1_Waldkirch.bpl,LLM_Phase_Exp/4-nested-terminate/1_Waldkirch.bpl,TERM,Single,TERM,12.5,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_PastaA6_false-no-overflow_true-termination.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaA6_false-no-overflow_true-termination.bpl,TERM,Single,TERM,21.87,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_166.bpl,LLM_Phase_Exp/4-nested-terminate/1_166.bpl,TERM,Single,TERM,66.85,False,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Multi')]","['[TERM] Single', '[TERM] Single', '[TERM] Multi']"
1_PastaA4.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaA4.bpl,TERM,Single,TERM,25.1,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_52.bpl,LLM_Phase_Exp/4-nested-terminate/1_52.bpl,TERM,Single,TERM,20.86,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_WhileDecr.bpl,LLM_Phase_Exp/4-nested-terminate/1_WhileDecr.bpl,TERM,Single,TERM,15.16,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_PastaA5_false-no-overflow_true-termination.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaA5_false-no-overflow_true-termination.bpl,TERM,Single,TERM,15.68,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_PastaB2.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaB2.bpl,TERM,Single,TERM,20.43,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_156.bpl,LLM_Phase_Exp/4-nested-terminate/2_156.bpl,TERM,Nested,TERM,85.67,False,"[('TERM', 'Nested'), ('TERM', 'Nested'), ('TERM', 'Single')]","['[TERM] Nested', '[TERM] Nested', '[TERM] Single']"
1_PastaC7_false-no-overflow.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaC7_false-no-overflow.bpl,TERM,Other,TERM,67.19,False,"[('TERM', 'Other'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Other', '[TERM] Single', '[TERM] Single']"
1_PastaB4.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaB4.bpl,TERM,Single,TERM,32.1,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_1.bpl,LLM_Phase_Exp/4-nested-terminate/1_1.bpl,TERM,Single,TERM,29.58,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_168.bpl,LLM_Phase_Exp/4-nested-terminate/1_168.bpl,TERM,Single,TERM,25.29,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_a.09_assume_false-no-overflow.bpl,LLM_Phase_Exp/4-nested-terminate/1_a.09_assume_false-no-overflow.bpl,TERM,Single,TERM,23.32,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_163.bpl,LLM_Phase_Exp/4-nested-terminate/1_163.bpl,TERM,Other,TERM,85.73,False,"[('TERM', 'Other'), ('TERM', 'Other'), ('TERM', 'Single')]","['[TERM] Other', '[TERM] Other', '[TERM] Single']"
1_152.bpl,LLM_Phase_Exp/4-nested-terminate/1_152.bpl,TERM,Single,TERM,76.66,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_57.bpl,LLM_Phase_Exp/4-nested-terminate/1_57.bpl,TERM,Single,TERM,26.7,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_132.bpl,LLM_Phase_Exp/4-nested-terminate/1_132.bpl,TERM,Single,TERM,14.54,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_b.03_assume.bpl,LLM_Phase_Exp/4-nested-terminate/2_b.03_assume.bpl,TERM,Single,TERM,33.47,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
3_2.bpl,LLM_Phase_Exp/4-nested-terminate/3_2.bpl,TERM,Multi,TERM,59.28,False,"[('TERM', 'Multi'), ('TERM', 'Nested'), ('TERM', 'Single')]","['[TERM] Multi', '[TERM] Nested', '[TERM] Single']"
1_b.03_assume.bpl,LLM_Phase_Exp/4-nested-terminate/1_b.03_assume.bpl,TERM,Single,TERM,41.39,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_153.bpl,LLM_Phase_Exp/4-nested-terminate/1_153.bpl,TERM,Other,TERM,90.53,True,"[('TERM', 'Other'), ('TERM', 'Other'), ('TERM', 'Other')]","['[TERM] Other', '[TERM] Other', '[TERM] Other']"
1_GulavaniGulwani-CAV2008-Fig1c.bpl,LLM_Phase_Exp/4-nested-terminate/1_GulavaniGulwani-CAV2008-Fig1c.bpl,TERM,Single,TERM,20.7,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_165.bpl,LLM_Phase_Exp/4-nested-terminate/1_165.bpl,TERM,Single,TERM,32.31,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_PastaB11_false-no-overflow_true-termination.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaB11_false-no-overflow_true-termination.bpl,TERM,Single,TERM,19.39,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_PastaB1.bpl,LLM_Phase_Exp/4-nested-terminate/1_PastaB1.bpl,TERM,Single,TERM,17.41,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_160.bpl,LLM_Phase_Exp/4-nested-terminate/1_160.bpl,TERM,Single,TERM,70.55,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_ChenFlurMukhopadhyay-SAS2012-Ex2.01.bpl,LLM_Phase_Exp/4-nested-terminate/2_ChenFlurMukhopadhyay-SAS2012-Ex2.01.bpl,TERM,Single,TERM,83.95,False,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Nested')]","['[TERM] Single', '[TERM] Single', '[TERM] Nested']"
2_ChenFlurMukhopadhyay-SAS2012-Ex3.04.bpl,LLM_Phase_Exp/4-nested-terminate/2_ChenFlurMukhopadhyay-SAS2012-Ex3.04.bpl,TERM,Multi,TERM,117.85,True,"[('TERM', 'Multi'), ('TERM', 'Multi'), ('TERM', 'Multi')]","['[TERM] Multi', '[TERM] Multi', '[TERM] Multi']"
1_58.bpl,LLM_Phase_Exp/4-nested-terminate/1_58.bpl,TERM,Single,TERM,25.69,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_66.bpl,LLM_Phase_Exp/4-nested-terminate/2_66.bpl,TERM,Multi,TERM,22.7,True,"[('TERM', 'Multi'), ('TERM', 'Multi'), ('TERM', 'Multi')]","['[TERM] Multi', '[TERM] Multi', '[TERM] Multi']"
1_29.bpl,LLM_Phase_Exp/4-nested-terminate/1_29.bpl,TERM,Single,TERM,36.02,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_127.bpl,LLM_Phase_Exp/4-nested-terminate/1_127.bpl,TERM,Single,TERM,31.45,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_161.bpl,LLM_Phase_Exp/4-nested-terminate/1_161.bpl,TERM,Multi,TERM,66.41,False,"[('TERM', 'Multi'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Multi', '[TERM] Single', '[TERM] Single']"
1_b.03_assume_false-no-overflow.bpl,LLM_Phase_Exp/4-nested-terminate/1_b.03_assume_false-no-overflow.bpl,TERM,Single,TERM,26.39,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_51.bpl,LLM_Phase_Exp/4-nested-terminate/2_51.bpl,TERM,Single,TERM,56.45,False,"[('TERM', 'Single'), ('TERM', 'Multi'), ('TERM', 'Multi')]","['[TERM] Single', '[TERM] Multi', '[TERM] Multi']"
2_ColonSipma-TACAS2001-Fig1.bpl,LLM_Phase_Exp/4-multi-terminate/2_ColonSipma-TACAS2001-Fig1.bpl,TERM,Single,TERM,131.34,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_PastaA7.bpl,LLM_Phase_Exp/4-multi-terminate/1_PastaA7.bpl,TERM,Single,TERM,43.14,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
1_PastaB7.bpl,LLM_Phase_Exp/4-multi-terminate/1_PastaB7.bpl,TERM,Single,TERM,23.85,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_157.bpl,LLM_Phase_Exp/4-multi-terminate/2_157.bpl,TERM,Single,TERM,62.32,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_AliasDarteFeautrierGonnord-SAS2010-terminate.bpl,LLM_Phase_Exp/4-multi-terminate/2_AliasDarteFeautrierGonnord-SAS2010-terminate.bpl,TERM,Single,TERM,133.16,False,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Other')]","['[TERM] Single', '[TERM] Single', '[TERM] Other']"
4_4NestedWith3Variables-2.bpl,LLM_Phase_Exp/4-multi-terminate/4_4NestedWith3Variables-2.bpl,TERM,Other,TERM,80.32,True,"[('TERM', 'Other'), ('TERM', 'Other'), ('TERM', 'Other')]","['[TERM] Other', '[TERM] Other', '[TERM] Other']"
4_AliasDarteFeautrierGonnord-SAS2010-exmini.bpl,LLM_Phase_Exp/4-multi-terminate/4_AliasDarteFeautrierGonnord-SAS2010-exmini.bpl,TERM,Single,TERM,82.52,True,"[('TERM', 'Single'), ('TERM', 'Single'), ('TERM', 'Single')]","['[TERM] Single', '[TERM] Single', '[TERM] Single']"
2_154.bpl,LLM_Phase_Exp/4-multi-terminate/2_154.bpl,TERM,Single,TERM,99.55,False,"[('TERM', 'Single'), ('TERM', 'Other'), ('TERM', 'Other')]","['[TERM] Single', '[TERM] Other', '[TERM] Other']"
4_7.bpl,LLM_Phase_Exp/4-multi-terminate/4_7.bpl,TERM,Multi,TERM,111.69,False,"[('TERM', 'Multi'), ('TERM', 'Nested'), ('TERM', 'Multi')]","['[TERM] Multi', '[TERM] Nested', '[TERM] Multi']"
