filename,category,claude3.7_nonterm_type,claude3.7_avg_time,claude3.7_consistent,claude3.7_results,claude3.7_times,gpt-4o_nonterm_type,gpt-4o_avg_time,gpt-4o_consistent,gpt-4o_results,gpt-4o_times,gpt-o4-mini_nonterm_type,gpt-o4-mini_avg_time,gpt-o4-mini_consistent,gpt-o4-mini_results,gpt-o4-mini_times
Binary_Search_true-termination.c,Other(Random),RECUR,6.93,True,"('RECUR', 'RECUR', 'RECUR')","('4.99', '9.57', '6.22')",RECUR,0.88,True,"('RECUR', 'RECUR', 'RECUR')","('0.79', '0.80', '1.04')",RECUR,19.80,True,"('RECUR', 'RECUR', 'RECUR')","('12.11', '26.73', '20.55')"
BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c,RECUR,RECUR,5.40,True,"('RECUR', 'RECUR', 'RECUR')","('6.06', '4.40', '5.73')",RECUR,0.83,False,"('DIVERGENT', 'RECUR', 'RECUR')","('0.83', '0.86', '0.79')",DIVERGENT,13.33,False,"('DIVERGENT', 'RECUR', 'DIVERGENT')","('14.27', '11.06', '14.66')"
Cairo_nondet_false-termination.c,Divergent,DIVERGENT,5.51,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.46', '5.89', '5.18')",DIVERGENT,0.81,False,"('DIVERGENT', 'DIVERGENT', 'OTHER')","('0.97', '0.73', '0.73')",DIVERGENT,11.18,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('13.02', '9.49', '11.02')"
Cairo_step2_false-termination.c,Divergent,DIVERGENT,3.05,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('1.52', '1.52', '6.11')",DIVERGENT,0.97,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.89', '0.82', '1.22')",DIVERGENT,6.35,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('8.82', '7.53', '2.69')"
ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c,Other(Random),RECUR,4.97,False,"('OTHER', 'RECUR', 'RECUR')","('4.60', '4.93', '5.38')",OTHER,0.79,False,"('OTHER', 'RECUR', 'OTHER')","('0.79', '0.80', '0.77')",OTHER,8.89,True,"('OTHER', 'OTHER', 'OTHER')","('7.65', '13.01', '6.00')"
ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,GEOMETRIC,DIVERGENT,5.12,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.41', '5.41', '5.54')",DIVERGENT,0.96,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.88', '0.82', '1.18')",DIVERGENT,10.79,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('8.55', '7.12', '16.71')"
ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c,GEOMETRIC,GEOMETRIC,7.02,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('8.35', '7.26', '5.44')",GEOMETRIC,0.95,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('1.14', '0.89', '0.81')",DIVERGENT,17.96,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('14.61', '16.67', '22.60')"
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c,GEOMETRIC,RECUR,5.78,False,"('RECUR', 'RECUR', 'GEOMETRIC')","('4.65', '7.71', '4.97')",GEOMETRIC,0.88,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('0.76', '0.93', '0.96')",RECUR,25.75,True,"('RECUR', 'RECUR', 'RECUR')","('27.23', '23.03', '27.00')"
ChenFlurMukhopadhyay-SAS2012-Ex2.05_false-termination.c,GEOMETRIC,GEOMETRIC,7.29,False,"('GEOMETRIC', 'GEOMETRIC', 'RECUR')","('6.40', '6.72', '8.75')",GEOMETRIC,0.89,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('0.88', '0.89', '0.89')",RECUR,21.70,False,"('GEOMETRIC', 'RECUR', 'RECUR')","('30.43', '18.44', '16.24')"
ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,RECUR,RECUR,4.01,False,"('RECUR', 'DIVERGENT', 'RECUR')","('1.55', '5.28', '5.21')",GEOMETRIC,0.86,False,"('DIVERGENT', 'GEOMETRIC', 'GEOMETRIC')","('0.91', '0.86', '0.80')",RECUR,18.68,True,"('RECUR', 'RECUR', 'RECUR')","('16.85', '22.17', '17.02')"
ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c,RECUR,RECUR,8.10,True,"('RECUR', 'RECUR', 'RECUR')","('8.21', '10.23', '5.86')",GEOMETRIC,0.75,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('0.78', '0.74', '0.74')",DIVERGENT,12.86,False,"('RECUR', 'DIVERGENT', 'DIVERGENT')","('13.06', '12.78', '12.74')"
ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c,RECUR,DIVERGENT,5.07,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.10', '5.86', '5.26')",DIVERGENT,1.09,False,"('RECUR', 'DIVERGENT', 'DIVERGENT')","('0.71', '1.02', '1.54')",DIVERGENT,6.35,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('6.77', '5.61', '6.68')"
ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c,GEOMETRIC,RECUR,4.81,False,"('DIVERGENT', 'RECUR', 'RECUR')","('4.49', '5.21', '4.71')",RECUR,1.03,True,"('RECUR', 'RECUR', 'RECUR')","('1.57', '0.82', '0.71')",DIVERGENT,14.47,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('14.76', '15.10', '13.57')"
ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-termination.c,GEOMETRIC,DIVERGENT,6.05,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.90', '7.30', '5.95')",DIVERGENT,1.06,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('1.57', '0.87', '0.74')",DIVERGENT,9.04,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.61', '8.41', '8.10')"
ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c,GEOMETRIC,DIVERGENT,6.62,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('6.43', '4.98', '8.44')",DIVERGENT,0.85,False,"('GEOMETRIC', 'DIVERGENT', 'DIVERGENT')","('0.86', '0.79', '0.90')",DIVERGENT,17.49,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('20.86', '15.07', '16.52')"
Choose.c,Divergent,DIVERGENT,7.70,False,"('DIVERGENT', 'DIVERGENT', 'RECUR')","('6.91', '8.79', '7.40')",DIVERGENT,1.01,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.75', '1.56', '0.72')",DIVERGENT,8.84,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('7.90', '6.73', '11.89')"
ChooseLife.c,RECUR,RECUR,6.15,True,"('RECUR', 'RECUR', 'RECUR')","('5.57', '6.54', '6.35')",RECUR,0.74,True,"('RECUR', 'RECUR', 'RECUR')","('0.74', '0.75', '0.74')",RECUR,10.04,True,"('RECUR', 'RECUR', 'RECUR')","('10.48', '9.71', '9.93')"
ComplInterv2.c,RECUR,RECUR,5.17,True,"('RECUR', 'RECUR', 'RECUR')","('4.86', '6.36', '4.30')",RECUR,0.80,True,"('RECUR', 'RECUR', 'RECUR')","('0.87', '0.80', '0.73')",DIVERGENT,9.69,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('11.26', '9.85', '7.95')"
ComplInterv3.c,Divergent,DIVERGENT,5.14,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.58', '4.77', '5.06')",GEOMETRIC,0.84,False,"('GEOMETRIC', 'DIVERGENT', 'RECUR')","('0.85', '0.79', '0.88')",DIVERGENT,9.59,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('9.13', '11.78', '7.84')"
ComplxStruc.c,Divergent,DIVERGENT,7.23,False,"('DIVERGENT', 'RECUR', 'DIVERGENT')","('6.97', '7.34', '7.38')",GEOMETRIC,0.83,False,"('GEOMETRIC', 'OTHER', 'DIVERGENT')","('0.93', '0.79', '0.77')",DIVERGENT,18.71,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('20.34', '17.12', '18.68')"
ConvLower.c,RECUR,RECUR,4.60,True,"('RECUR', 'RECUR', 'RECUR')","('3.99', '6.12', '3.68')",DIVERGENT,0.93,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.84', '0.85', '1.09')",DIVERGENT,11.18,False,"('RECUR', 'DIVERGENT', 'DIVERGENT')","('8.10', '10.28', '15.17')"
Cousot.c,RECUR,DIVERGENT,6.12,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.23', '7.51', '5.62')",DIVERGENT,0.85,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.82', '0.90', '0.82')",DIVERGENT,5.97,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.53', '4.84', '8.54')"
DivWithoutMinus.c,Divergent,RECUR,6.73,True,"('RECUR', 'RECUR', 'RECUR')","('7.45', '6.85', '5.87')",RECUR,0.98,False,"('RECUR', 'RECUR', 'DIVERGENT')","('1.07', '0.74', '1.14')",DIVERGENT,15.83,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('19.77', '11.57', '16.14')"
Division_false-termination.c,RECUR,RECUR,5.23,True,"('RECUR', 'RECUR', 'RECUR')","('4.96', '5.35', '5.40')",RECUR,0.85,True,"('RECUR', 'RECUR', 'RECUR')","('0.95', '0.80', '0.80')",RECUR,11.95,False,"('DIVERGENT', 'RECUR', 'RECUR')","('9.18', '18.72', '7.95')"
Et2.c,GEOMETRIC,RECUR,5.78,True,"('RECUR', 'RECUR', 'RECUR')","('6.01', '5.13', '6.19')",DIVERGENT,0.92,False,"('GEOMETRIC', 'DIVERGENT', 'DIVERGENT')","('0.82', '0.78', '1.16')",RECUR,12.31,False,"('RECUR', 'RECUR', 'GEOMETRIC')","('7.81', '13.34', '15.78')"
Et4.c,GEOMETRIC,RECUR,7.08,False,"('RECUR', 'RECUR', 'DIVERGENT')","('7.27', '6.30', '7.66')",DIVERGENT,0.81,False,"('DIVERGENT', 'RECUR', 'DIVERGENT')","('0.96', '0.73', '0.74')",DIVERGENT,16.22,False,"('OTHER', 'DIVERGENT', 'DIVERGENT')","('21.64', '13.74', '13.27')"
Even.c,Divergent,DIVERGENT,4.73,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.58', '5.39', '4.22')",DIVERGENT,0.96,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('1.14', '0.75', '1.01')",DIVERGENT,9.51,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.01', '9.27', '9.24')"
Ex01.c,Divergent,DIVERGENT,4.41,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('3.67', '4.67', '4.89')",DIVERGENT,0.86,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.87', '0.93', '0.78')",DIVERGENT,5.55,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('7.59', '4.49', '4.58')"
Ex02.c,RECUR,RECUR,3.91,True,"('RECUR', 'RECUR', 'RECUR')","('3.95', '3.77', '4.01')",RECUR,0.87,False,"('DIVERGENT', 'RECUR', 'RECUR')","('0.89', '0.80', '0.92')",DIVERGENT,8.37,False,"('RECUR', 'DIVERGENT', 'DIVERGENT')","('4.49', '10.90', '9.72')"
Ex03.c,RECUR,RECUR,4.81,True,"('RECUR', 'RECUR', 'RECUR')","('5.17', '5.65', '3.61')",RECUR,1.03,True,"('RECUR', 'RECUR', 'RECUR')","('0.83', '1.19', '1.08')",RECUR,9.58,True,"('RECUR', 'RECUR', 'RECUR')","('9.44', '10.82', '8.47')"
Ex04.c,RECUR,DIVERGENT,3.79,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.43', '3.63', '3.32')",DIVERGENT,1.45,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.95', '2.28', '1.11')",DIVERGENT,4.45,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('3.26', '6.80', '3.30')"
Ex05.c,RECUR,OTHER,2.34,False,"('OTHER', 'OTHER', 'DIVERGENT')","('2.10', '2.21', '2.70')",OTHER,0.85,True,"('OTHER', 'OTHER', 'OTHER')","('0.89', '0.90', '0.74')",OTHER,6.59,False,"('OTHER', 'OTHER', 'DIVERGENT')","('8.09', '4.34', '7.33')"
Ex06.c,RECUR,RECUR,5.01,True,"('RECUR', 'RECUR', 'RECUR')","('5.17', '4.29', '5.57')",RECUR,1.01,True,"('RECUR', 'RECUR', 'RECUR')","('1.00', '0.90', '1.13')",RECUR,10.21,True,"('RECUR', 'RECUR', 'RECUR')","('11.57', '8.99', '10.08')"
Ex07.c,RECUR,RECUR,5.31,False,"('RECUR', 'OTHER', 'RECUR')","('4.53', '4.98', '6.41')",RECUR,0.79,True,"('RECUR', 'RECUR', 'RECUR')","('0.76', '0.73', '0.87')",RECUR,11.37,True,"('RECUR', 'RECUR', 'RECUR')","('9.43', '11.63', '13.07')"
Ex08.c,RECUR,RECUR,5.36,True,"('RECUR', 'RECUR', 'RECUR')","('6.43', '5.06', '4.60')",RECUR,0.85,True,"('RECUR', 'RECUR', 'RECUR')","('0.79', '0.76', '1.02')",RECUR,7.25,True,"('RECUR', 'RECUR', 'RECUR')","('8.09', '6.88', '6.79')"
Fibonacci.c,Divergent,RECUR,5.35,False,"('RECUR', 'GEOMETRIC', 'RECUR')","('7.13', '4.96', '3.97')",GEOMETRIC,0.86,False,"('GEOMETRIC', 'DIVERGENT', 'GEOMETRIC')","('0.89', '0.84', '0.85')",GEOMETRIC,12.06,False,"('DIVERGENT', 'GEOMETRIC', 'GEOMETRIC')","('13.75', '13.54', '8.89')"
Flip.c,RECUR,RECUR,4.32,True,"('RECUR', 'RECUR', 'RECUR')","('4.06', '4.04', '4.88')",RECUR,0.80,True,"('RECUR', 'RECUR', 'RECUR')","('0.80', '0.68', '0.91')",RECUR,8.10,True,"('RECUR', 'RECUR', 'RECUR')","('9.86', '7.03', '7.42')"
Flip2.c,RECUR,RECUR,6.49,True,"('RECUR', 'RECUR', 'RECUR')","('6.72', '6.18', '6.58')",RECUR,0.85,True,"('RECUR', 'RECUR', 'RECUR')","('0.83', '0.79', '0.92')",RECUR,10.36,True,"('RECUR', 'RECUR', 'RECUR')","('5.39', '14.21', '11.48')"
GCD.c,GEOMETRIC,RECUR,6.76,True,"('RECUR', 'RECUR', 'RECUR')","('6.19', '7.43', '6.67')",RECUR,0.83,True,"('RECUR', 'RECUR', 'RECUR')","('0.77', '0.95', '0.77')",RECUR,21.43,False,"('RECUR', 'OTHER', 'RECUR')","('22.17', '11.17', '30.96')"
GCD2.c,GEOMETRIC,RECUR,7.64,True,"('RECUR', 'RECUR', 'RECUR')","('8.54', '6.89', '7.49')",RECUR,0.95,False,"('RECUR', 'OTHER', 'RECUR')","('1.00', '0.83', '1.02')",OTHER,25.92,False,"('OTHER', 'RECUR', 'OTHER')","('27.83', '27.14', '22.78')"
Gauss.c,Divergent,DIVERGENT,5.26,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('6.10', '5.63', '4.06')",DIVERGENT,0.88,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.91', '0.91', '0.81')",DIVERGENT,7.69,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('7.30', '8.31', '7.45')"
Hanoi_2vars_false-termination.c,GEOMETRIC,DIVERGENT,5.29,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.63', '5.46', '5.78')",DIVERGENT,0.81,False,"('DIVERGENT', 'DIVERGENT', 'RECUR')","('0.81', '0.79', '0.81')",DIVERGENT,8.37,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('6.26', '9.65', '9.19')"
Hanoi_3vars_false-termination.c,GEOMETRIC,GEOMETRIC,5.65,False,"('GEOMETRIC', 'GEOMETRIC', 'DIVERGENT')","('5.85', '5.90', '5.20')",GEOMETRIC,0.83,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('0.83', '0.86', '0.81')",DIVERGENT,9.69,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('6.70', '9.33', '13.02')"
Hanoi_plus_false-termination.c,Divergent,DIVERGENT,6.12,False,"('GEOMETRIC', 'DIVERGENT', 'DIVERGENT')","('7.24', '5.26', '5.87')",GEOMETRIC,0.80,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('0.76', '0.78', '0.87')",DIVERGENT,14.02,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('16.14', '10.81', '15.10')"
HarrisLalNoriRajamani-SAS2010-Fig2_false-termination.c,Divergent,DIVERGENT,6.16,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.90', '6.48', '7.09')",DIVERGENT,0.90,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.89', '1.01', '0.78')",DIVERGENT,9.65,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.58', '8.43', '9.93')"
HenzingerJhalaMajumdarSutre-POPL2002-LockingExample_false-termination.c,FunctionCall,DIVERGENT,6.35,False,"('DIVERGENT', 'RECUR', 'DIVERGENT')","('5.88', '5.93', '7.24')",RECUR,0.80,False,"('RECUR', 'RECUR', 'OTHER')","('0.75', '0.75', '0.89')",DIVERGENT,12.19,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('8.25', '9.09', '19.24')"
Lcm.c,Divergent,DIVERGENT,6.39,False,"('DIVERGENT', 'DIVERGENT', 'RECUR')","('5.75', '7.06', '6.37')",RECUR,0.77,False,"('DIVERGENT', 'RECUR', 'RECUR')","('0.74', '0.85', '0.72')",DIVERGENT,10.56,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.39', '12.37', '8.92')"
LeikeHeizmann-WST2014-Ex5_false-termination.c,Divergent,RECUR,7.09,True,"('RECUR', 'RECUR', 'RECUR')","('6.98', '6.91', '7.37')",RECUR,0.93,True,"('RECUR', 'RECUR', 'RECUR')","('0.97', '1.01', '0.82')",DIVERGENT,14.70,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.44', '22.86', '10.78')"
LeikeHeizmann-WST2014-Ex6_false-termination.c,Divergent,GEOMETRIC,5.01,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('4.56', '5.33', '5.13')",GEOMETRIC,0.76,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('0.78', '0.74', '0.75')",GEOMETRIC,5.61,True,"('GEOMETRIC', 'GEOMETRIC', 'GEOMETRIC')","('3.91', '7.10', '5.81')"
Loop.c,RECUR,RECUR,3.55,False,"('RECUR', 'RECUR', 'DIVERGENT')","('3.24', '2.72', '4.68')",RECUR,0.75,False,"('RECUR', 'OTHER', 'RECUR')","('0.70', '0.83', '0.73')",DIVERGENT,7.40,False,"('RECUR', 'DIVERGENT', 'DIVERGENT')","('7.25', '6.67', '8.29')"
Madrid_false-termination.c,RECUR,RECUR,2.27,True,"('RECUR', 'RECUR', 'RECUR')","('2.41', '0.99', '3.40')",OTHER,0.76,True,"('OTHER', 'OTHER', 'OTHER')","('0.79', '0.81', '0.70')",OTHER,6.48,False,"('OTHER', 'RECUR', 'OTHER')","('7.06', '4.59', '7.79')"
Marbie1.c,RECUR,DIVERGENT,4.09,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('3.65', '3.85', '4.76')",DIVERGENT,0.83,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('0.78', '0.88', '0.82')",DIVERGENT,10.90,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('22.45', '5.55', '4.71')"
Marbie2.c,RECUR,DIVERGENT,4.27,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.19', '4.37', '4.24')",OTHER,0.77,False,"('OTHER', 'GEOMETRIC', 'OTHER')","('0.74', '0.81', '0.76')",DIVERGENT,4.58,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.35', '5.32', '4.06')"
Middle.c,Divergent,DIVERGENT,6.16,False,"('DIVERGENT', 'DIVERGENT', 'RECUR')","('5.44', '5.64', '7.39')",DIVERGENT,0.96,False,"('DIVERGENT', 'RECUR', 'DIVERGENT')","('1.13', '0.74', '1.00')",DIVERGENT,13.22,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('13.85', '13.26', '12.54')"
MirrorInterv.c,RECUR,RECUR,7.92,True,"('RECUR', 'RECUR', 'RECUR')","('8.14', '8.18', '7.45')",DIVERGENT,1.20,False,"('DIVERGENT', 'DIVERGENT', 'RECUR')","('0.82', '1.75', '1.04')",RECUR,17.12,False,"('DIVERGENT', 'RECUR', 'RECUR')","('28.55', '12.56', '10.24')"
MirrorIntervSim.c,RECUR,RECUR,3.44,True,"('RECUR', 'RECUR', 'RECUR')","('7.14', '1.67', '1.50')",RECUR,0.77,True,"('RECUR', 'RECUR', 'RECUR')","('0.71', '0.88', '0.71')",RECUR,10.47,True,"('RECUR', 'RECUR', 'RECUR')","('7.19', '11.27', '12.93')"
MutualRecursion_1a_false-termination.c,RECUR,RECUR,4.75,True,"('RECUR', 'RECUR', 'RECUR')","('4.47', '5.00', '4.79')",RECUR,0.75,True,"('RECUR', 'RECUR', 'RECUR')","('0.79', '0.72', '0.74')",RECUR,8.54,True,"('RECUR', 'RECUR', 'RECUR')","('9.05', '7.96', '8.60')"
Mysore_false-termination.c,Divergent,DIVERGENT,5.46,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('5.25', '5.29', '5.85')",GEOMETRIC,0.80,False,"('GEOMETRIC', 'GEOMETRIC', 'RECUR')","('0.81', '0.89', '0.72')",DIVERGENT,21.94,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('10.04', '25.04', '30.74')"
NO_00.c,RECUR,RECUR,3.71,False,"('RECUR', 'RECUR', 'DIVERGENT')","('3.25', '3.87', '4.02')",RECUR,0.96,False,"('RECUR', 'RECUR', 'OTHER')","('0.88', '1.10', '0.90')",RECUR,12.31,False,"('RECUR', 'DIVERGENT', 'RECUR')","('10.74', '9.25', '16.95')"
NO_01.c,RECUR,DIVERGENT,4.94,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('4.34', '5.27', '5.20')",RECUR,0.95,True,"('RECUR', 'RECUR', 'RECUR')","('0.87', '0.77', '1.21')",DIVERGENT,10.77,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('13.48', '11.29', '7.55')"
NO_02.c,RECUR,RECUR,4.88,True,"('RECUR', 'RECUR', 'RECUR')","('3.81', '5.15', '5.68')",RECUR,0.96,False,"('RECUR', 'RECUR', 'OTHER')","('1.03', '0.75', '1.11')",DIVERGENT,8.64,False,"('RECUR', 'DIVERGENT', 'DIVERGENT')","('11.59', '6.34', '8.00')"
NO_03.c,RECUR,DIVERGENT,4.57,False,"('DIVERGENT', 'RECUR', 'DIVERGENT')","('3.90', '5.03', '4.78')",RECUR,0.81,True,"('RECUR', 'RECUR', 'RECUR')","('0.67', '0.77', '0.98')",DIVERGENT,8.50,True,"('DIVERGENT', 'DIVERGENT', 'DIVERGENT')","('9.53', '5.95', '10.01')"
