file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,CPA-lasso_result,CPA-lasso_time,CPA-general_result,CPA-general_time,AProVE-online24,Ultimate-online,AProVE-online25,MuVal-online,Ultimate0122_result,Ultimate0122_time_taken,ET+CPA,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type
LeeJonesBen-Amram-POPL2001-Ex6_true-termination.c,,,YES,0.31,FAILED,0.445439577,MAYBE,2.15,FAILED,2.14,YES,YES,YES,YES,YES,5.62,Unknown,,0,0,0,False,False,True,False,True,40,C,recur,tail
svcomp_b.03_assume.c,unknown,UNKNOWN,MAYBE,0.25,YES,1.604349852,MAYBE,2.53,MAYBE,2.65,YES,YES,YES,YES,YES,3.76,Unknown,Linear,1,1,2,False,False,True,False,False,22,C,loop,
Masse-VMCAI2014-Fig1a_true-termination.c,failed,ERROR,YES,0.41,YES,2.27529192,MAYBE,2.45,MAYBE,2.88,YES,YES,YES,YES,YES,4.67,Unknown,Linear,1,1,1,False,False,True,False,False,26,C,loop,
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,unknown,UNKNOWN,YES,0.12,MAYBE,4.329362631,MAYBE,2.83,MAYBE,3.12,YES,YES,YES,YES,YES,3.86,Unknown,Linear,1,1,1,False,False,True,False,True,21,C,loop,
Bangalore_true-termination.c,unknown,UNKNOWN,YES,0.14,YES,0.985501289,YES,2.67,YES,3.04,YES,YES,YES,YES,YES,3.79,Terminate,Linear,1,1,1,False,False,True,False,False,23,C,loop,
Overflow.c,unknown,UNKNOWN,MAYBE,0.07,YES,0.819419384,YES,2.14,YES,2.56,YES,YES,YES,YES,YES,3.75,Terminate,Linear,1,1,1,False,False,True,False,False,14,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,Terminate,TERMINATE,MAYBE,0.69,YES,1.787369728,MAYBE,4.39,MAYBE,5.61,YES,YES,YES,YES,YES,3.77,Terminate,Linear,1,1,2,False,False,True,False,False,28,C,loop,
svcomp_b.18-alloca.c,unknown,"TERMINATE,UNKNOWN",FAILED,0.25,FAILED,0.470837831,MAYBE,2.81,MAYBE,3.93,YES,YES,YES,timeout,YES,5.73,Unknown,Nested,3,2,2,False,False,True,False,True,27,C,loop,
PastaB3.c,unknown,UNKNOWN,MAYBE,0.24,YES,1.462812185,MAYBE,2.77,MAYBE,3.01,YES,YES,YES,YES,YES,3.77,Unknown,Linear,1,1,2,False,False,True,False,False,18,C,loop,
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,unknown,UNKNOWN,MAYBE,1.0,YES,17.41599131,YES,9.28,YES,9.65,timeout,YES,YES,YES,TIMEOUT,300.01,Terminate,Linear,1,1,3,False,False,True,False,True,34,C,loop,
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c,unknown,UNKNOWN,MAYBE,8.09,NO,4.00972414,YES,9.49,YES,61.39,YES,MAYBE,MAYBE,YES,MAYBE,4.95,Terminate,Linear,1,1,1,False,False,True,False,True,19,C,loop,
svcomp_openbsd_cstrcmp_alloca.c,failed,ERROR,FAILED,0.19,FAILED,0.474326372,MAYBE,2.61,MAYBE,2.67,YES,MAYBE,YES,timeout,MAYBE,10.65,Unknown,Linear,1,1,2,False,False,True,True,True,37,C,loop,
svcomp_java_Continue1-alloca.c,unknown,UNKNOWN,FAILED,0.25,FAILED,0.348927021,MAYBE,2.55,MAYBE,2.3,YES,YES,YES,YES,YES,5.91,Unknown,Linear,1,1,1,False,False,True,False,True,15,C,loop,
LeikeHeizmann-TACAS2014-Fig1_true-termination.c,failed,ERROR,MAYBE,0.98,YES,1.62724638,YES,3.39,YES,4.42,YES,YES,YES,YES,YES,3.86,Terminate,Linear,1,1,1,False,False,True,False,False,22,C,loop,
svcomp_a.04.c,Terminate,TERMINATE,YES,0.2,YES,1.510835886,YES,2.97,YES,3.62,YES,YES,YES,YES,YES,3.77,Terminate,Linear,1,1,2,False,False,True,False,False,15,C,loop,
svcomp_HarrisLalNoriRajamani-2010SAS-Fig3_true-alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.47329092,MAYBE,2.74,MAYBE,2.97,YES,YES,YES,YES,YES,3.93,Unknown,Linear,1,1,1,False,False,True,False,True,23,C,loop,
svcomp_java_AG313-alloca.c,Terminate,TERMINATE,FAILED,0.24,FAILED,0.345540762,MAYBE,4.34,MAYBE,4.29,YES,YES,YES,YES,YES,4.25,Terminate,Linear,1,1,1,False,False,True,False,True,23,C,loop,
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,failed,ERROR,MAYBE,0.2,YES,2.413120031,YES,3.59,YES,4.37,YES,YES,YES,YES,YES,4.75,Terminate,Nested,2,2,2,False,False,True,False,True,30,C,loop,
AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,unknown,UNKNOWN,YES,0.11,YES,0.882511854,YES,2.83,YES,3.3,YES,YES,YES,YES,YES,3.68,Terminate,Linear,1,1,1,False,False,True,False,False,17,C,loop,
svcomp_flag-alloca.c,Terminate,TERMINATE,FAILED,0.23,FAILED,0.34813118,MAYBE,3.92,MAYBE,4.09,YES,YES,YES,YES,YES,6.25,Terminate,Linear,1,1,1,False,False,True,False,True,24,C,loop,
CookSeeZuleger-TACAS2013-Fig8a_true-termination.c,Terminate,TERMINATE,MAYBE,0.13,YES,4.528115749,YES,3.08,YES,3.6,YES,YES,YES,YES,YES,5.32,Terminate,Linear,1,1,1,False,False,True,False,False,24,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c,failed,ERROR,YES,0.53,YES,2.187636614,YES,4.88,YES,3.42,YES,YES,YES,YES,YES,4.05,Terminate,Linear,1,1,1,False,False,True,False,False,33,C,loop,
svcomp_mult_array_alloca.c,unknown,UNKNOWN,FAILED,0.19,FAILED,0.46764493,MAYBE,4.0,MAYBE,4.17,MAYBE,MAYBE,MAYBE,YES,MAYBE,11.95,Unknown,Multiple,2,1,4,False,False,True,True,True,20,C,loop,
BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,failed,ERROR,MAYBE,0.83,YES,1.605215311,YES,2.81,YES,3.27,YES,YES,YES,YES,YES,3.88,Terminate,Linear,1,1,1,False,False,True,False,False,23,C,loop,
HeizmannHoenickeLeikePodelski-ATVA2013-Fig7_true-termination.c,failed,ERROR,MAYBE,0.25,MAYBE,6.331309319,MAYBE,2.31,MAYBE,2.66,YES,MAYBE,YES,YES,YES,3.84,Unknown,Linear,1,1,2,True,False,True,True,False,26,C,loop,
svcomp_a.09_assume-alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.471039534,MAYBE,3.91,MAYBE,4.16,YES,YES,YES,YES,YES,4.25,Unknown,Linear,1,1,2,False,False,True,False,True,29,C,loop,
svcomp_b.14.c,Terminate,TERMINATE,YES,0.62,YES,2.049182177,YES,3.47,YES,4.08,YES,YES,YES,YES,YES,4.08,Terminate,Nested,2,2,2,False,False,True,False,True,18,C,loop,
CookSeeZuleger-TACAS2013-Fig7b_true-termination.c,unknown,UNKNOWN,YES,0.36,YES,102.230557,YES,4.41,YES,6.1,YES,YES,YES,timeout,YES,5.38,Terminate,Linear,1,1,3,False,False,True,False,True,28,C,loop,
svcomp_openbsd_cstrpbrk_alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.344490767,MAYBE,3.01,MAYBE,3.4,YES,MAYBE,YES,timeout,MAYBE,10.16,Unknown,Nested,2,2,4,False,False,True,True,True,43,C,loop,
afterrec_2calls_false-unreach-call.c,,,MAYBE,0.09,FAILED,0.434861183,MAYBE,2.09,FAILED,2.15,YES,MAYBE,YES,error,YES,3.86,Unknown,,0,0,0,False,False,True,False,False,22,C,recur,non-tail
svcomp_twisted-alloca.c,failed,ERROR,FAILED,0.25,FAILED,0.351254463,MAYBE,6.22,MAYBE,6.53,YES,YES,YES,YES,YES,19.24,Unknown,Multiple,2,1,3,False,False,True,False,True,34,C,loop,
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,unknown,UNKNOWN,MAYBE,2.26,YES,8.775921345,YES,2.72,YES,4.94,YES,YES,YES,YES,YES,3.92,Terminate,Linear,1,1,5,False,False,True,False,True,31,C,loop,
svcomp_a.06-alloca.c,unknown,UNKNOWN,FAILED,0.25,FAILED,0.483912468,MAYBE,3.79,MAYBE,4.78,YES,YES,YES,YES,YES,4.23,Unknown,Linear,1,1,3,False,False,True,False,True,25,C,loop,
svcomp_java_Nested.c,failed,"ERROR,TERMINATE",YES,0.6,YES,2.028608322,YES,4.52,YES,5.22,YES,YES,YES,YES,YES,4.84,Terminate,Multiple,2,1,2,False,False,True,False,False,10,C,loop,
PastaB7.c,unknown,UNKNOWN,YES,0.11,YES,1.312035322,YES,2.91,YES,3.56,YES,YES,YES,YES,YES,3.75,Terminate,Linear,1,1,3,False,False,True,False,True,19,C,loop,
svcomp_b.06.c,unknown,UNKNOWN,YES,0.27,YES,1.271632433,YES,2.79,YES,3.58,YES,YES,YES,YES,YES,3.81,Terminate,Linear,1,1,1,False,False,True,False,True,16,C,loop,
rec_counter3.c,failed,ERROR,MAYBE,0.24,FAILED,0.441800833,MAYBE,2.2,MAYBE,2.24,YES,YES,YES,error,YES,4.88,Unknown,Multiple,2,1,2,False,False,True,False,False,24,C,loop,non-tail
svcomp_cstrspn_true_alloca.c,failed,ERROR,FAILED,0.25,FAILED,0.340161085,MAYBE,3.9,MAYBE,4.16,YES,MAYBE,YES,timeout,MAYBE,11.4,Unknown,Nested,2,2,3,False,False,True,True,True,41,C,loop,
svcomp_BrockschmidtCookFuhs-2013CAV-Fig1_true-alloca.c,unknown,UNKNOWN,FAILED,0.25,FAILED,0.457106829,MAYBE,3.78,MAYBE,4.26,YES,YES,YES,YES,YES,7.84,Unknown,Nested,2,2,3,False,False,True,False,True,15,C,loop,
id_i10_o10_false-unreach-call.c,,,YES,0.18,FAILED,0.444696665,MAYBE,1.69,FAILED,1.75,YES,MAYBE,YES,YES,YES,4.74,Unknown,,0,0,0,False,False,True,False,False,15,C,recur,non-tail
svcomp_openbsd_cstpcpy_alloca.c,failed,ERROR,FAILED,0.24,FAILED,0.480821848,MAYBE,3.36,MAYBE,3.49,YES,MAYBE,YES,timeout,MAYBE,9.31,Unknown,Linear,1,1,2,False,False,True,True,True,27,C,loop,
Arrays01-EquivalentConstantIndices_true-termination.c,failed,ERROR,MAYBE,0.1,NO,1.301597357,MAYBE,96.32,MAYBE,96.15,YES,YES,YES,YES,YES,3.71,Unknown,Linear,1,1,1,False,False,True,True,False,16,C,loop,
svcomp_fermat.c,unknown,UNKNOWN,YES,0.7,YES,20.46997285,FAILED,284.5,FAILED,285.24,YES,YES,YES,timeout,YES,262.25,Unknown,Linear,1,1,0,True,True,True,False,True,26,C,loop,
svcomp_cstrlen_true-termination.c,failed,ERROR,MAYBE,0.25,FAILED,0.477126598,MAYBE,3.02,MAYBE,3.23,YES,MAYBE,YES,timeout,MAYBE,7.99,Unknown,Linear,1,1,1,False,False,True,True,True,37,C,loop,
AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c,unknown,UNKNOWN,MAYBE,6.62,YES,2.238676071,YES,2.65,YES,3.24,YES,YES,YES,YES,YES,3.67,Terminate,Linear,1,1,2,False,False,True,False,False,25,C,loop,
PastaA4.c,Terminate,TERMINATE,YES,0.16,YES,0.938995838,YES,2.93,YES,3.38,YES,YES,YES,YES,YES,3.72,Terminate,Linear,1,1,2,False,False,True,False,False,16,C,loop,
svcomp_openbsd_cstrncmp_alloca.c,unknown,UNKNOWN,FAILED,0.23,FAILED,0.342540264,MAYBE,3.58,MAYBE,3.58,YES,MAYBE,YES,timeout,MAYBE,11.74,Unknown,Linear,1,1,1,True,False,True,True,True,40,C,loop,
svcomp_Fibonacci01_true-unreach-call_modified.c,,,YES,0.13,FAILED,0.44308877,MAYBE,2.1,FAILED,2.14,YES,timeout,YES,error,TIMEOUT,300.02,Unknown,,0,0,0,False,False,True,False,False,37,C,recur,non-tail
MinusBuiltIn.c,unknown,UNKNOWN,MAYBE,0.47,YES,1.513674021,YES,2.83,YES,2.75,YES,YES,YES,YES,YES,3.88,Terminate,Linear,1,1,2,False,False,True,False,False,20,C,loop,
svcomp_a.04-alloca.c,unknown,UNKNOWN,FAILED,0.25,FAILED,0.475569725,MAYBE,3.53,MAYBE,3.37,YES,YES,YES,YES,YES,4.06,Unknown,Linear,1,1,2,False,False,True,False,True,22,C,loop,
Urban-WST2013-Fig2-modified1000_true-termination.c,unknown,UNKNOWN,YES,0.27,YES,2.079413414,MAYBE,277.7,MAYBE,275.34,YES,timeout,YES,YES,TIMEOUT,300.09,Unknown,Nested,2,2,2,False,False,True,False,False,27,C,loop,
4BitCounterPointer_true-termination.c,failed,ERROR,FAILED,0.24,FAILED,0.336890697,MAYBE,4.64,MAYBE,4.62,YES,YES,YES,YES,YES,7.93,Unknown,Linear,1,1,1,False,False,True,False,True,35,C,loop,
PodelskiRybalchenko-LICS2004-Fig2-TACAS2011-Fig3_true-termination.c,failed,ERROR,MAYBE,75.77,YES,19.37530518,YES,5.26,YES,6.06,YES,YES,YES,YES,TIMEOUT,300.08,Terminate,Linear,1,1,2,False,False,True,False,True,33,C,loop,
svcomp_openbsd_cstrstr_alloca.c,unknown,UNKNOWN,FAILED,0.25,FAILED,0.473761559,MAYBE,27.03,MAYBE,37.74,YES,MAYBE,YES,timeout,MAYBE,11.81,Unknown,Nested,4,2,7,True,False,True,True,True,72,C,loop,
easy1_true-termination.c,unknown,UNKNOWN,YES,0.17,YES,1.058041096,YES,3.51,YES,3.88,YES,YES,YES,YES,YES,6.08,Terminate,Linear,1,1,1,False,False,True,False,False,28,C,loop,
PastaB11.c,Terminate,TERMINATE,YES,0.24,YES,3.08027029,YES,2.96,YES,3.89,YES,YES,YES,YES,YES,4.2,Terminate,Linear,1,1,2,False,False,True,False,False,24,C,loop,
PastaB15.c,unknown,UNKNOWN,YES,0.27,YES,2.651130438,YES,3.57,YES,4.42,YES,YES,YES,YES,YES,4.14,Terminate,Nested,2,2,3,False,False,True,False,True,21,C,loop,
aaron2_true-termination.c,unknown,UNKNOWN,MAYBE,0.32,YES,0.931140184,YES,2.96,YES,3.44,YES,YES,YES,YES,YES,3.79,Terminate,Linear,1,1,3,False,False,True,False,True,24,C,loop,
svcomp_NoriSharma-2013FSE-Fig8_true-alloca.c,Terminate,TERMINATE,FAILED,0.25,FAILED,0.482120514,MAYBE,44.91,MAYBE,42.32,YES,YES,YES,YES,YES,6.33,Terminate,Linear,1,1,2,False,False,True,False,True,25,C,loop,
DivMinus.c,unknown,UNKNOWN,YES,0.29,YES,1.56734252,MAYBE,2.96,MAYBE,3.23,YES,YES,YES,YES,YES,3.88,Unknown,Linear,1,1,2,False,False,True,False,True,19,C,loop,
Nested.c,unknown,UNKNOWN,YES,0.29,YES,1.724766731,YES,4.53,YES,5.0,YES,YES,YES,YES,YES,4.02,Terminate,Nested,2,2,2,False,False,True,False,False,20,C,loop,
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c,Terminate,TERMINATE,YES,0.23,YES,8.686114311,YES,3.33,YES,4.21,YES,YES,YES,YES,YES,4.5,Terminate,Linear,1,1,2,False,False,True,False,True,24,C,loop,
HarrisLalNoriRajamani-SAS2010-Fig3_true-termination.c,failed,ERROR,MAYBE,0.48,YES,1.730995178,YES,2.82,YES,3.45,YES,YES,YES,YES,YES,3.74,Terminate,Linear,1,1,1,False,False,True,False,False,30,C,loop,
fibo_2calls_2_false-unreach-call.c,,,MAYBE,0.18,FAILED,0.320398569,MAYBE,2.04,FAILED,1.78,YES,MAYBE,YES,error,YES,5.89,Unknown,,0,0,0,False,False,True,False,False,42,C,recur,non-tail
AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,failed,ERROR,YES,0.24,YES,1.869081497,YES,6.4,TIMEOUT,300.04,YES,YES,YES,YES,YES,4.81,Terminate,Nested,2,2,2,False,False,True,False,True,21,C,loop,
svcomp_selectionsort_alloca.c,unknown,UNKNOWN,FAILED,0.24,FAILED,0.346008539,MAYBE,3.35,MAYBE,3.52,MAYBE,MAYBE,timeout,YES,YES,5.11,Unknown,Nested,2,2,3,False,False,True,True,True,32,C,loop,
svcomp_BrockschmidtCookFuhs-2013CAV-Introduction_true-alloca.c,unknown,UNKNOWN,FAILED,0.23,FAILED,0.472379923,MAYBE,3.07,MAYBE,3.21,YES,YES,YES,YES,YES,3.8,Unknown,Linear,1,1,1,False,False,False,False,True,12,C,loop,
Toulouse-MultiBranchesToLoop_true-termination.c,unknown,UNKNOWN,MAYBE,1.72,MAYBE,29.25172377,YES,5.04,TIMEOUT,300.05,YES,YES,YES,YES,YES,4.85,Terminate,Linear,1,1,2,False,False,True,False,True,65,C,loop,
